,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,PTS,TOV,PF,At Home,FGA,FGM,FG3A,FG3M,FTA,FTM,OREB,DREB,AST,STL,BLK,Opponent,Opponent PTS,Opponent FGM,Opponent FGA,Opponent FG_PCT,Opponent FG3M,Opponent FG3A,Opponent FG3_PCT,Opponent FTM,Opponent FTA,Opponent FT_PCT,Opponent OREB,Opponent DREB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,SEASON,Win,offensiveRating,defensiveRating,possessions,assistToTurnover,offensiveReboundPercentage,defensiveReboundPercentage,Opponent teamTricode,Opponent offensiveRating,Opponent defensiveRating,Opponent possessions,Opponent assistToTurnover,Opponent offensiveReboundPercentage,Opponent defensiveReboundPercentage
0,MIA,0021200002,2012-10-30,120,8,20,1,79,43,16,8,32,26,5,31,25,8,5,BOS,107,39,75,0.52,6,13,0.462,23,28,0.821,7,34,24,4,2,15,23,2012-13,1,122.4,110.3,98.0,3.13,0.0,0.0,BOS,110.3,122.4,97.0,1.5,0.0,0.0
0,WAS,0021200001,2012-10-30,84,12,19,0,90,32,32,8,20,12,18,21,26,11,10,CLE,94,36,79,0.456,7,20,0.35,15,22,0.682,18,36,22,7,5,20,21,2012-13,0,91.3,101.1,92.0,2.0,0.339,0.545,CLE,101.1,91.3,93.0,1.05,0.455,0.661
0,BOS,0021200002,2012-10-30,107,15,23,0,75,39,13,6,28,23,7,34,24,4,2,MIA,120,43,79,0.544,8,16,0.5,26,32,0.813,5,31,25,8,5,8,20,2012-13,0,110.3,122.4,97.0,1.5,0.0,0.0,MIA,122.4,110.3,98.0,3.13,0.0,0.0
0,CLE,0021200001,2012-10-30,94,20,21,1,79,36,20,7,22,15,18,36,22,7,5,WAS,84,32,90,0.356,8,32,0.25,12,20,0.6,18,21,26,11,10,12,19,2012-13,1,101.1,91.3,93.0,1.05,0.455,0.661,WAS,91.3,101.1,92.0,2.0,0.339,0.545
0,DAL,0021200003,2012-10-30,99,11,25,0,85,40,15,5,18,14,9,31,22,9,5,LAL,91,38,77,0.494,3,13,0.231,12,31,0.387,15,31,24,6,5,14,21,2012-13,1,110.0,102.2,90.0,1.83,0.0,0.653,LAL,102.2,110.0,89.0,1.71,0.347,0.0
0,LAL,0021200003,2012-10-30,91,14,21,1,77,38,13,3,31,12,15,31,24,6,5,DAL,99,40,85,0.471,5,15,0.333,14,18,0.778,9,31,22,9,5,11,25,2012-13,0,102.2,110.0,89.0,1.71,0.347,0.0,DAL,110.0,102.2,90.0,1.83,0.0,0.653
0,GSW,0021200010,2012-10-31,87,18,20,0,86,33,17,5,23,16,17,32,19,9,3,PHX,85,32,80,0.4,4,21,0.19,17,22,0.773,11,33,16,10,12,18,23,2012-13,1,93.5,91.4,93.0,1.06,0.386,0.68,PHX,91.4,93.5,93.0,0.89,0.32,0.614
0,SAS,0021200008,2012-10-31,99,15,21,0,80,38,20,6,26,17,10,33,22,9,8,NOH,95,35,80,0.438,4,17,0.235,21,23,0.913,9,34,26,7,6,13,20,2012-13,1,103.1,97.9,96.0,1.38,0.239,0.745,NOH,97.9,103.1,97.0,1.73,0.255,0.761
0,LAL,0021200012,2012-10-31,106,24,29,0,72,36,18,8,32,26,15,30,21,6,2,POR,116,42,83,0.506,9,20,0.45,23,28,0.821,10,20,19,10,5,12,20,2012-13,0,111.6,120.8,95.0,0.84,0.45,0.727,POR,120.8,111.6,96.0,1.58,0.273,0.55
0,PHI,0021200005,2012-10-31,84,15,14,1,85,30,25,7,21,17,14,33,18,13,11,DEN,75,33,88,0.375,4,18,0.222,5,11,0.455,16,38,19,9,5,20,22,2012-13,1,88.4,79.8,95.0,1.13,0.298,0.627,DEN,79.8,88.4,94.0,0.86,0.373,0.702
0,LAC,0021200011,2012-10-31,101,22,27,1,74,38,15,5,29,20,8,31,25,12,9,MEM,92,33,86,0.384,2,14,0.143,24,30,0.8,17,27,24,14,4,18,25,2012-13,1,100.0,92.0,101.0,1.14,0.275,0.6,MEM,92.0,100.0,100.0,1.14,0.4,0.725
0,NOH,0021200008,2012-10-31,95,13,20,1,80,35,17,4,23,21,9,34,26,7,6,SAS,99,38,80,0.475,6,20,0.3,17,26,0.654,10,33,22,9,8,15,21,2012-13,0,97.9,103.1,97.0,1.73,0.255,0.761,SAS,103.1,97.9,96.0,1.38,0.239,0.745
0,DAL,0021200009,2012-10-31,94,16,32,0,85,32,22,11,26,19,8,32,20,8,5,UTA,113,38,89,0.427,6,14,0.429,31,42,0.738,20,41,24,10,8,14,25,2012-13,0,94.0,110.8,100.0,1.25,0.218,0.579,UTA,110.8,94.0,102.0,1.71,0.421,0.782
0,MEM,0021200011,2012-10-31,92,18,25,0,86,33,14,2,30,24,17,27,24,14,4,LAC,101,38,74,0.514,5,15,0.333,20,29,0.69,8,31,25,12,9,22,27,2012-13,0,92.0,100.0,100.0,1.14,0.4,0.725,LAC,100.0,92.0,101.0,1.14,0.275,0.6
0,PHX,0021200010,2012-10-31,85,18,23,1,80,32,21,4,22,17,11,33,16,10,12,GSW,87,33,86,0.384,5,17,0.294,16,23,0.696,17,32,19,9,3,18,20,2012-13,0,91.4,93.5,93.0,0.89,0.32,0.614,GSW,93.5,91.4,93.0,1.06,0.386,0.68
0,CHI,0021200007,2012-10-31,93,18,19,1,79,33,9,2,33,25,14,32,21,8,10,SAC,87,34,84,0.405,6,17,0.353,13,16,0.813,11,29,14,10,5,19,29,2012-13,1,94.9,89.7,98.0,1.17,0.313,0.686,SAC,89.7,94.9,97.0,0.67,0.314,0.688
0,UTA,0021200009,2012-10-31,113,14,25,1,89,38,14,6,42,31,20,41,24,10,8,DAL,94,32,85,0.376,11,22,0.5,19,26,0.731,8,32,20,8,5,16,32,2012-13,1,110.8,94.0,102.0,1.71,0.421,0.782,DAL,94.0,110.8,100.0,1.25,0.218,0.579
0,POR,0021200012,2012-10-31,116,12,20,1,83,42,20,9,28,23,10,20,19,10,5,LAL,106,36,72,0.5,8,18,0.444,26,32,0.813,15,30,21,6,2,24,29,2012-13,1,120.8,111.6,96.0,1.58,0.273,0.55,LAL,111.6,120.8,95.0,0.84,0.45,0.727
0,DEN,0021200005,2012-10-31,75,20,22,0,88,33,18,4,11,5,16,38,19,9,5,PHI,84,30,85,0.353,7,25,0.28,17,21,0.81,14,33,18,13,11,15,14,2012-13,0,79.8,88.4,94.0,0.86,0.373,0.702,PHI,88.4,79.8,95.0,1.13,0.298,0.627
0,HOU,0021200006,2012-10-31,105,20,24,0,79,39,27,10,23,17,12,33,28,12,3,DET,96,35,79,0.443,6,16,0.375,20,26,0.769,10,26,21,12,4,16,15,2012-13,1,108.2,100.0,97.0,1.4,0.349,0.745,DET,100.0,108.2,96.0,1.31,0.255,0.651
0,TOR,0021200004,2012-10-31,88,10,18,1,91,33,17,6,19,16,15,27,18,12,8,IND,90,37,78,0.474,5,11,0.455,11,16,0.688,9,37,22,3,10,18,16,2012-13,0,96.7,98.9,91.0,1.8,0.0,0.682,IND,98.9,96.7,91.0,1.16,0.318,0.0
0,IND,0021200004,2012-10-31,90,18,16,0,78,37,11,5,16,11,9,37,22,3,10,TOR,88,33,91,0.363,6,17,0.353,16,19,0.842,15,27,18,12,8,10,18,2012-13,1,98.9,96.7,91.0,1.16,0.318,0.0,TOR,96.7,98.9,91.0,1.8,0.0,0.682
0,SAC,0021200007,2012-10-31,87,19,29,0,84,34,17,6,16,13,11,29,14,10,5,CHI,93,33,79,0.418,2,9,0.222,25,33,0.758,14,32,21,8,10,18,19,2012-13,0,89.7,94.9,97.0,0.67,0.314,0.688,CHI,94.9,89.7,98.0,1.17,0.313,0.686
0,DET,0021200006,2012-10-31,96,16,15,1,79,35,16,6,26,20,10,26,21,12,4,HOU,105,39,79,0.494,10,27,0.37,17,23,0.739,12,33,28,12,3,20,24,2012-13,0,100.0,108.2,96.0,1.31,0.255,0.651,HOU,108.2,100.0,97.0,1.4,0.349,0.745
0,OKC,0021200014,2012-11-01,84,18,20,0,77,29,17,7,23,19,12,36,18,6,5,SAS,86,35,79,0.443,5,19,0.263,11,16,0.688,6,33,27,9,4,13,21,2012-13,0,91.3,93.5,92.0,1.0,0.275,0.844,SAS,93.5,91.3,92.0,2.08,0.156,0.725
0,SAS,0021200014,2012-11-01,86,13,21,1,79,35,19,5,16,11,6,33,27,9,4,OKC,84,29,77,0.377,7,17,0.412,19,23,0.826,12,36,18,6,5,18,20,2012-13,1,93.5,91.3,92.0,2.08,0.156,0.725,OKC,91.3,93.5,92.0,1.0,0.275,0.844
0,CHI,0021200019,2012-11-02,115,17,21,0,69,44,10,4,30,23,5,36,34,7,4,CLE,86,32,79,0.405,8,20,0.4,14,27,0.519,11,22,23,7,1,17,25,2012-13,1,121.1,89.6,95.0,2.0,0.0,0.736,CLE,89.6,121.1,96.0,1.35,0.264,0.0
0,MIA,0021200020,2012-11-02,84,21,18,0,71,33,20,7,13,11,7,34,18,4,5,NYK,104,36,84,0.429,19,36,0.528,13,15,0.867,13,28,27,10,0,12,22,2012-13,0,92.3,114.3,91.0,0.86,0.231,0.72,NYK,114.3,92.3,91.0,1.93,0.28,0.769
0,HOU,0021200018,2012-11-02,109,21,18,0,90,38,30,8,29,25,23,35,22,8,2,ATL,102,40,85,0.471,7,22,0.318,15,17,0.882,7,29,23,12,4,13,26,2012-13,1,109.0,103.0,100.0,1.05,0.0,0.0,ATL,103.0,109.0,99.0,1.77,0.0,0.0
0,CLE,0021200019,2012-11-02,86,17,25,1,79,32,20,8,27,14,11,22,23,7,1,CHI,115,44,69,0.638,4,10,0.4,23,30,0.767,5,36,34,7,4,17,21,2012-13,0,89.6,121.1,96.0,1.35,0.264,0.0,CHI,121.1,89.6,95.0,2.0,0.0,0.736
