,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,PTS,TOV,PF,At Home,FGA,FGM,FG3A,FG3M,FTA,FTM,OREB,DREB,AST,STL,BLK,Opponent,Opponent PTS,Opponent FGM,Opponent FGA,Opponent FG_PCT,Opponent FG3M,Opponent FG3A,Opponent FG3_PCT,Opponent FTM,Opponent FTA,Opponent FT_PCT,Opponent OREB,Opponent DREB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,SEASON,Opponent Win,Win,offensiveRating,defensiveRating,possessions,assistToTurnover,offensiveReboundPercentage,defensiveReboundPercentage,Opponent teamTricode,Opponent offensiveRating,Opponent defensiveRating,Opponent possessions,Opponent assistToTurnover,Opponent offensiveReboundPercentage,Opponent defensiveReboundPercentage
0,LAC,0021900002,2019-10-22,112,14,25,1,81,42,31,11,24,17,11,34,24,8,5,LAL,102,37,85,0.435,13,33,0.394,15,21,0.714,9,32,20,4,7,14,24,2019-20,0,1,115.5,105.2,97.0,1.71,0.256,0.72,LAL,105.2,115.5,97.0,1.33,0.28,0.744
0,LAL,0021900002,2019-10-22,102,14,24,0,85,37,33,13,21,15,9,32,20,4,7,LAC,112,42,81,0.519,11,31,0.355,17,24,0.708,11,34,24,8,5,14,25,2019-20,1,0,105.2,115.5,97.0,1.33,0.28,0.744,LAC,115.5,105.2,97.0,1.71,0.256,0.72
0,TOR,0021900001,2019-10-22,130,16,24,1,103,42,40,14,38,32,16,41,23,7,3,NOP,122,43,102,0.422,19,45,0.422,17,20,0.85,16,37,30,4,9,19,34,2019-20,0,1,113.0,108.9,115.0,1.35,0.4,0.729,NOP,108.9,113.0,112.0,1.58,0.271,0.6
0,NOP,0021900001,2019-10-22,122,19,34,0,102,43,45,19,20,17,16,37,30,4,9,TOR,130,42,103,0.408,14,40,0.35,32,38,0.842,16,41,23,7,3,16,24,2019-20,1,0,108.9,113.0,112.0,1.58,0.271,0.6,TOR,113.0,108.9,115.0,1.35,0.4,0.729
0,OKC,0021900011,2019-10-23,95,13,23,0,83,32,27,10,31,21,7,41,15,5,4,UTA,100,40,90,0.444,6,24,0.25,14,20,0.7,11,38,15,4,5,11,31,2019-20,1,0,94.1,99.0,101.0,0.94,0.232,0.796,UTA,99.0,94.1,101.0,1.36,0.204,0.768
0,NYK,0021900010,2019-10-23,111,14,32,0,94,44,30,10,18,13,5,34,24,16,1,SAS,120,42,83,0.506,7,21,0.333,29,36,0.806,10,41,22,6,5,21,18,2019-20,1,0,100.9,110.1,110.0,1.71,0.137,0.778,SAS,110.1,100.9,109.0,1.05,0.222,0.863
0,IND,0021900004,2019-10-23,110,15,28,1,89,41,21,8,24,20,10,26,26,8,6,DET,119,41,78,0.526,11,24,0.458,26,33,0.788,10,35,26,5,6,18,21,2019-20,1,0,106.8,115.5,103.0,1.73,0.26,0.725,DET,115.5,106.8,103.0,1.44,0.275,0.74
0,WAS,0021900009,2019-10-23,100,17,32,0,93,37,41,11,18,15,11,36,26,6,3,DAL,108,35,76,0.461,11,36,0.306,27,33,0.818,5,41,17,6,5,19,22,2019-20,1,0,96.2,103.8,104.0,1.53,0.259,0.818,DAL,103.8,96.2,104.0,0.85,0.182,0.741
0,MIN,0021900006,2019-10-23,127,13,22,0,108,46,43,13,28,22,12,40,23,9,4,BKN,126,48,101,0.475,15,34,0.441,15,26,0.577,10,38,19,8,9,16,30,2019-20,0,1,106.7,107.7,119.0,1.77,0.274,0.78,BKN,107.7,106.7,117.0,1.19,0.22,0.726
0,POR,0021900013,2019-10-23,100,20,25,1,87,36,28,7,23,21,13,35,13,9,4,DEN,108,34,81,0.42,18,32,0.563,22,27,0.815,11,34,24,11,4,19,23,2019-20,1,0,98.0,104.9,102.0,0.65,0.314,0.74,DEN,104.9,98.0,103.0,1.2,0.26,0.686
