,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
0,Jayson Tatum,1628369,23,47,45,15,45,0.5,7,6,5,"Jayson Tatum, Derrick White, Robert Williams III, Grant Williams, Payton Pritchard",47,16,26,2,17,0.4895833333333333,11,2021-22,BOS,23.93617021276596,13,43
1,Derrick White,1628401,23,47,45,9,45,0.375,8,3,2,"Jayson Tatum, Derrick White, Robert Williams III, Grant Williams, Payton Pritchard",47,16,26,2,17,0.4895833333333333,11,2021-22,BOS,14.361702127659575,11,43
2,Robert Williams III,1629057,23,47,45,7,45,0.5,6,0,2,"Jayson Tatum, Derrick White, Robert Williams III, Grant Williams, Payton Pritchard",47,16,26,2,17,0.4895833333333333,11,2021-22,BOS,11.170212765957446,6,43
3,Grant Williams,1629684,23,47,45,6,45,0.75,3,0,2,"Jayson Tatum, Derrick White, Robert Williams III, Grant Williams, Payton Pritchard",47,16,26,2,17,0.4895833333333333,11,2021-22,BOS,9.574468085106384,3,43
4,Payton Pritchard,1630202,23,47,45,10,45,0.5,2,8,0,"Jayson Tatum, Derrick White, Robert Williams III, Grant Williams, Payton Pritchard",47,16,26,2,17,0.4895833333333333,11,2021-22,BOS,15.957446808510639,10,43
5,Jayson Tatum,1628369,12,28,28,12,27,0.4230769230769231,8,4,5,"Jayson Tatum, Derrick White, Daniel Theis, Grant Williams, Marcus Smart",29,10,16,0,9,0.4827586206896552,11,2021-22,BOS,32.142857142857146,12,25
6,Derrick White,1628401,12,28,28,0,27,0.0,0,2,0,"Jayson Tatum, Derrick White, Daniel Theis, Grant Williams, Marcus Smart",29,10,16,0,9,0.4827586206896552,11,2021-22,BOS,0.0,2,25
7,Daniel Theis,1628464,12,28,28,9,27,0.75,4,1,2,"Jayson Tatum, Derrick White, Daniel Theis, Grant Williams, Marcus Smart",29,10,16,0,9,0.4827586206896552,11,2021-22,BOS,24.107142857142858,5,25
8,Grant Williams,1629684,12,28,28,2,27,1.0,0,0,2,"Jayson Tatum, Derrick White, Daniel Theis, Grant Williams, Marcus Smart",29,10,16,0,9,0.4827586206896552,11,2021-22,BOS,5.357142857142857,0,25
9,Marcus Smart,203935,12,28,28,6,27,0.42857142857142855,4,2,2,"Jayson Tatum, Derrick White, Daniel Theis, Grant Williams, Marcus Smart",29,10,16,0,9,0.4827586206896552,11,2021-22,BOS,16.071428571428573,6,25
10,Jaylen Brown,1627759,5,10,11,0,4,0.0,0,0,0,"Jaylen Brown, Jayson Tatum, Derrick White, Payton Pritchard, Al Horford",18,0,1,6,9,0.9,0,2021-22,BOS,0.0,0,10
11,Jayson Tatum,1628369,5,10,11,3,4,0.5,1,2,0,"Jaylen Brown, Jayson Tatum, Derrick White, Payton Pritchard, Al Horford",18,0,1,6,9,0.9,0,2021-22,BOS,22.5,3,10
12,Derrick White,1628401,5,10,11,6,4,1.5,0,2,0,"Jaylen Brown, Jayson Tatum, Derrick White, Payton Pritchard, Al Horford",18,0,1,6,9,0.9,0,2021-22,BOS,45.0,2,10
13,Payton Pritchard,1630202,5,10,11,0,4,0.0,0,2,0,"Jaylen Brown, Jayson Tatum, Derrick White, Payton Pritchard, Al Horford",18,0,1,6,9,0.9,0,2021-22,BOS,0.0,2,10
14,Al Horford,201143,5,10,11,9,4,1.5,0,3,0,"Jaylen Brown, Jayson Tatum, Derrick White, Payton Pritchard, Al Horford",18,0,1,6,9,0.9,0,2021-22,BOS,67.5,3,10
15,Jaylen Brown,1627759,4,7,6,5,7,0.625,3,1,0,"Jaylen Brown, Robert Williams III, Grant Williams, Payton Pritchard, Al Horford",7,2,10,1,1,0.3181818181818182,0,2021-22,BOS,53.57142857142857,4,11
16,Robert Williams III,1629057,4,7,6,2,7,0.3333333333333333,3,0,0,"Jaylen Brown, Robert Williams III, Grant Williams, Payton Pritchard, Al Horford",7,2,10,1,1,0.3181818181818182,0,2021-22,BOS,21.428571428571427,3,11
17,Grant Williams,1629684,4,7,6,0,7,0.0,3,0,0,"Jaylen Brown, Robert Williams III, Grant Williams, Payton Pritchard, Al Horford",7,2,10,1,1,0.3181818181818182,0,2021-22,BOS,0.0,3,11
18,Payton Pritchard,1630202,4,7,6,0,7,0.0,0,0,0,"Jaylen Brown, Robert Williams III, Grant Williams, Payton Pritchard, Al Horford",7,2,10,1,1,0.3181818181818182,0,2021-22,BOS,0.0,0,11
19,Al Horford,201143,4,7,6,0,7,0.0,1,0,0,"Jaylen Brown, Robert Williams III, Grant Williams, Payton Pritchard, Al Horford",7,2,10,1,1,0.3181818181818182,0,2021-22,BOS,0.0,1,11
20,Jaylen Brown,1627759,13,27,23,12,22,0.6,4,6,0,"Jaylen Brown, Jayson Tatum, Derrick White, Robert Williams III, Payton Pritchard",29,7,14,5,10,0.6041666666666666,0,2021-22,BOS,33.333333333333336,10,24
21,Jayson Tatum,1628369,13,27,23,5,22,0.4166666666666667,5,1,0,"Jaylen Brown, Jayson Tatum, Derrick White, Robert Williams III, Payton Pritchard",29,7,14,5,10,0.6041666666666666,0,2021-22,BOS,13.88888888888889,6,24
22,Derrick White,1628401,13,27,23,3,22,1.5,0,1,0,"Jaylen Brown, Jayson Tatum, Derrick White, Robert Williams III, Payton Pritchard",29,7,14,5,10,0.6041666666666666,0,2021-22,BOS,8.333333333333334,1,24
23,Robert Williams III,1629057,13,27,23,4,22,1.0,2,0,0,"Jaylen Brown, Jayson Tatum, Derrick White, Robert Williams III, Payton Pritchard",29,7,14,5,10,0.6041666666666666,0,2021-22,BOS,11.11111111111111,2,24
24,Payton Pritchard,1630202,13,27,23,5,22,0.5,3,2,0,"Jaylen Brown, Jayson Tatum, Derrick White, Robert Williams III, Payton Pritchard",29,7,14,5,10,0.6041666666666666,0,2021-22,BOS,13.88888888888889,5,24
25,Jayson Tatum,1628369,8,16,17,5,13,0.4166666666666667,1,3,4,"Jayson Tatum, Grant Williams, Payton Pritchard, Al Horford, Marcus Smart",22,2,2,5,14,0.6111111111111112,4,2021-22,BOS,23.4375,4,16
26,Grant Williams,1629684,8,16,17,6,13,1.0,0,3,0,"Jayson Tatum, Grant Williams, Payton Pritchard, Al Horford, Marcus Smart",22,2,2,5,14,0.6111111111111112,4,2021-22,BOS,28.125,3,16
27,Payton Pritchard,1630202,8,16,17,9,13,0.75,0,6,0,"Jayson Tatum, Grant Williams, Payton Pritchard, Al Horford, Marcus Smart",22,2,2,5,14,0.6111111111111112,4,2021-22,BOS,42.1875,6,16
28,Al Horford,201143,8,16,17,0,13,0.0,0,1,0,"Jayson Tatum, Grant Williams, Payton Pritchard, Al Horford, Marcus Smart",22,2,2,5,14,0.6111111111111112,4,2021-22,BOS,0.0,1,16
29,Marcus Smart,203935,8,16,17,2,13,0.5,1,1,0,"Jayson Tatum, Grant Williams, Payton Pritchard, Al Horford, Marcus Smart",22,2,2,5,14,0.6111111111111112,4,2021-22,BOS,9.375,2,16
30,Jaylen Brown,1627759,2,3,4,3,9,1.5,0,1,0,"Jaylen Brown, Jayson Tatum, Robert Williams III, Payton Pritchard, Al Horford",3,0,1,1,2,0.5,0,2021-22,BOS,75.0,1,3
31,Jayson Tatum,1628369,2,3,4,0,9,0.0,1,0,0,"Jaylen Brown, Jayson Tatum, Robert Williams III, Payton Pritchard, Al Horford",3,0,1,1,2,0.5,0,2021-22,BOS,0.0,1,3
32,Robert Williams III,1629057,2,3,4,0,9,0.0,0,0,0,"Jaylen Brown, Jayson Tatum, Robert Williams III, Payton Pritchard, Al Horford",3,0,1,1,2,0.5,0,2021-22,BOS,0.0,0,3
33,Payton Pritchard,1630202,2,3,4,0,9,0.0,0,0,0,"Jaylen Brown, Jayson Tatum, Robert Williams III, Payton Pritchard, Al Horford",3,0,1,1,2,0.5,0,2021-22,BOS,0.0,0,3
34,Al Horford,201143,2,3,4,0,9,0.0,0,1,0,"Jaylen Brown, Jayson Tatum, Robert Williams III, Payton Pritchard, Al Horford",3,0,1,1,2,0.5,0,2021-22,BOS,0.0,1,3
35,Daniel Theis,1628464,2,5,5,0,2,0.0,0,0,0,"Daniel Theis, Grant Williams, Aaron Nesmith, Payton Pritchard, Nik Stauskas",7,2,3,0,0,0.7,5,2021-22,BOS,0.0,0,3
36,Grant Williams,1629684,2,5,5,3,2,0.75,1,0,3,"Daniel Theis, Grant Williams, Aaron Nesmith, Payton Pritchard, Nik Stauskas",7,2,3,0,0,0.7,5,2021-22,BOS,45.0,1,3
