,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
0,Jaylen Brown,1627759,3,7,7,6,10,0.75,1,1,4,"Jaylen Brown, Jayson Tatum, Payton Pritchard, Al Horford, Dennis Schroder",6,0,1,1,2,0.6,4,2021-22,BOS,64.28571428571429,2,3
1,Jayson Tatum,1628369,3,7,7,0,10,0.0,0,1,0,"Jaylen Brown, Jayson Tatum, Payton Pritchard, Al Horford, Dennis Schroder",6,0,1,1,2,0.6,4,2021-22,BOS,0.0,1,3
2,Payton Pritchard,1630202,3,7,7,0,10,0.0,0,0,0,"Jaylen Brown, Jayson Tatum, Payton Pritchard, Al Horford, Dennis Schroder",6,0,1,1,2,0.6,4,2021-22,BOS,0.0,0,3
3,Al Horford,201143,3,7,7,0,10,0.0,0,0,0,"Jaylen Brown, Jayson Tatum, Payton Pritchard, Al Horford, Dennis Schroder",6,0,1,1,2,0.6,4,2021-22,BOS,0.0,0,3
4,Dennis Schroder,203471,3,7,7,0,10,0.0,0,0,0,"Jaylen Brown, Jayson Tatum, Payton Pritchard, Al Horford, Dennis Schroder",6,0,1,1,2,0.6,4,2021-22,BOS,0.0,0,3
5,Daniel Theis,1628464,3,6,6,2,9,1.0,1,0,0,"Daniel Theis, Aaron Nesmith, Payton Pritchard, Brodric Thomas, Sam Hauser",8,1,1,2,2,1.3333333333333333,0,2021-22,BOS,25.0,1,3
6,Aaron Nesmith,1630174,3,6,6,3,9,1.5,0,1,0,"Daniel Theis, Aaron Nesmith, Payton Pritchard, Brodric Thomas, Sam Hauser",8,1,1,2,2,1.3333333333333333,0,2021-22,BOS,37.5,1,3
7,Payton Pritchard,1630202,3,6,6,0,9,0.0,0,0,0,"Daniel Theis, Aaron Nesmith, Payton Pritchard, Brodric Thomas, Sam Hauser",8,1,1,2,2,1.3333333333333333,0,2021-22,BOS,0.0,0,3
8,Brodric Thomas,1630271,3,6,6,0,9,0.0,0,0,0,"Daniel Theis, Aaron Nesmith, Payton Pritchard, Brodric Thomas, Sam Hauser",8,1,1,2,2,1.3333333333333333,0,2021-22,BOS,0.0,0,3
9,Sam Hauser,1630573,3,6,6,3,9,1.5,0,1,0,"Daniel Theis, Aaron Nesmith, Payton Pritchard, Brodric Thomas, Sam Hauser",8,1,1,2,2,1.3333333333333333,0,2021-22,BOS,37.5,1,3
10,Jayson Tatum,1628369,3,6,6,4,5,0.6666666666666666,1,1,2,"Jayson Tatum, Romeo Langford, Aaron Nesmith, Al Horford, Dennis Schroder",9,1,3,2,3,0.6428571428571429,2,2021-22,BOS,50.0,2,6
11,Romeo Langford,1629641,3,6,6,0,5,0.0,1,0,0,"Jayson Tatum, Romeo Langford, Aaron Nesmith, Al Horford, Dennis Schroder",9,1,3,2,3,0.6428571428571429,2,2021-22,BOS,0.0,1,6
12,Aaron Nesmith,1630174,3,6,6,5,5,1.25,1,1,0,"Jayson Tatum, Romeo Langford, Aaron Nesmith, Al Horford, Dennis Schroder",9,1,3,2,3,0.6428571428571429,2,2021-22,BOS,62.5,2,6
13,Al Horford,201143,3,6,6,0,5,0.0,0,1,0,"Jayson Tatum, Romeo Langford, Aaron Nesmith, Al Horford, Dennis Schroder",9,1,3,2,3,0.6428571428571429,2,2021-22,BOS,0.0,1,6
14,Dennis Schroder,203471,3,6,6,0,5,0.0,0,0,0,"Jayson Tatum, Romeo Langford, Aaron Nesmith, Al Horford, Dennis Schroder",9,1,3,2,3,0.6428571428571429,2,2021-22,BOS,0.0,0,6
15,Josh Richardson,1626196,9,19,21,2,15,1.0,1,0,0,"Josh Richardson, Jaylen Brown, Grant Williams, Dennis Schroder, Marcus Smart",28,9,12,3,8,0.7,2,2021-22,BOS,7.894736842105263,1,20
