,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
0,Josh Richardson,1626196,22,45,45,15,50,0.9375,2,5,2,"Josh Richardson, Jayson Tatum, Robert Williams III, Grant Williams, Marcus Smart",60,14,21,8,18,0.686046511627907,11,2021-22,BOS,25.0,7,39
1,Jayson Tatum,1628369,22,45,45,25,50,0.75,8,6,5,"Josh Richardson, Jayson Tatum, Robert Williams III, Grant Williams, Marcus Smart",60,14,21,8,18,0.686046511627907,11,2021-22,BOS,41.666666666666664,14,39
2,Robert Williams III,1629057,22,45,45,8,50,0.5714285714285714,7,0,1,"Josh Richardson, Jayson Tatum, Robert Williams III, Grant Williams, Marcus Smart",60,14,21,8,18,0.686046511627907,11,2021-22,BOS,13.333333333333334,7,39
3,Grant Williams,1629684,22,45,45,6,50,0.375,3,5,1,"Josh Richardson, Jayson Tatum, Robert Williams III, Grant Williams, Marcus Smart",60,14,21,8,18,0.686046511627907,11,2021-22,BOS,10.0,8,39
4,Marcus Smart,203935,22,45,45,6,50,0.75,1,2,2,"Josh Richardson, Jayson Tatum, Robert Williams III, Grant Williams, Marcus Smart",60,14,21,8,18,0.686046511627907,11,2021-22,BOS,10.0,3,39
5,Luke Kornet,1628436,10,19,18,2,28,0.3333333333333333,3,0,0,"Luke Kornet, Grant Williams, Aaron Nesmith, Payton Pritchard, Sam Hauser",25,4,8,5,10,0.6578947368421053,2,2021-22,BOS,7.894736842105263,3,18
6,Grant Williams,1629684,10,19,18,9,28,0.6428571428571429,3,3,2,"Luke Kornet, Grant Williams, Aaron Nesmith, Payton Pritchard, Sam Hauser",25,4,8,5,10,0.6578947368421053,2,2021-22,BOS,35.526315789473685,6,18
7,Aaron Nesmith,1630174,10,19,18,5,28,0.625,1,3,0,"Luke Kornet, Grant Williams, Aaron Nesmith, Payton Pritchard, Sam Hauser",25,4,8,5,10,0.6578947368421053,2,2021-22,BOS,19.736842105263158,4,18
8,Payton Pritchard,1630202,10,19,18,0,28,0.0,1,1,0,"Luke Kornet, Grant Williams, Aaron Nesmith, Payton Pritchard, Sam Hauser",25,4,8,5,10,0.6578947368421053,2,2021-22,BOS,0.0,2,18
9,Sam Hauser,1630573,10,19,18,9,28,1.5,0,3,0,"Luke Kornet, Grant Williams, Aaron Nesmith, Payton Pritchard, Sam Hauser",25,4,8,5,10,0.6578947368421053,2,2021-22,BOS,35.526315789473685,3,18
10,Josh Richardson,1626196,4,8,8,4,10,0.5,2,2,0,"Josh Richardson, Jayson Tatum, Robert Williams III, Grant Williams, Payton Pritchard",7,2,3,1,4,0.5,0,2021-22,BOS,37.5,4,7
11,Jayson Tatum,1628369,4,8,8,0,10,0.0,0,1,0,"Josh Richardson, Jayson Tatum, Robert Williams III, Grant Williams, Payton Pritchard",7,2,3,1,4,0.5,0,2021-22,BOS,0.0,1,7
12,Robert Williams III,1629057,4,8,8,0,10,0.0,1,0,0,"Josh Richardson, Jayson Tatum, Robert Williams III, Grant Williams, Payton Pritchard",7,2,3,1,4,0.5,0,2021-22,BOS,0.0,1,7
13,Grant Williams,1629684,4,8,8,3,10,1.5,0,1,0,"Josh Richardson, Jayson Tatum, Robert Williams III, Grant Williams, Payton Pritchard",7,2,3,1,4,0.5,0,2021-22,BOS,28.125,1,7
14,Payton Pritchard,1630202,4,8,8,0,10,0.0,0,0,0,"Josh Richardson, Jayson Tatum, Robert Williams III, Grant Williams, Payton Pritchard",7,2,3,1,4,0.5,0,2021-22,BOS,0.0,0,7
15,Derrick White,1628401,4,9,8,7,6,0.875,3,1,1,"Derrick White, Robert Williams III, Grant Williams, Aaron Nesmith, Marcus Smart",12,4,6,1,4,0.6,1,2021-22,BOS,58.333333333333336,4,10
16,Robert Williams III,1629057,4,9,8,0,6,0.0,0,0,0,"Derrick White, Robert Williams III, Grant Williams, Aaron Nesmith, Marcus Smart",12,4,6,1,4,0.6,1,2021-22,BOS,0.0,0,10
17,Grant Williams,1629684,4,9,8,2,6,0.5,1,1,0,"Derrick White, Robert Williams III, Grant Williams, Aaron Nesmith, Marcus Smart",12,4,6,1,4,0.6,1,2021-22,BOS,16.666666666666668,2,10
18,Aaron Nesmith,1630174,4,9,8,0,6,0.0,2,0,0,"Derrick White, Robert Williams III, Grant Williams, Aaron Nesmith, Marcus Smart",12,4,6,1,4,0.6,1,2021-22,BOS,0.0,2,10
19,Marcus Smart,203935,4,9,8,3,6,0.75,0,2,0,"Derrick White, Robert Williams III, Grant Williams, Aaron Nesmith, Marcus Smart",12,4,6,1,4,0.6,1,2021-22,BOS,25.0,2,10
20,Jaylen Brown,1627759,5,10,11,6,14,0.5,4,1,1,"Jaylen Brown, Robert Williams III, Grant Williams, Payton Pritchard, Marcus Smart",15,4,8,2,4,0.5833333333333334,1,2021-22,BOS,45.0,5,12
21,Robert Williams III,1629057,5,10,11,2,14,0.5,2,0,0,"Jaylen Brown, Robert Williams III, Grant Williams, Payton Pritchard, Marcus Smart",15,4,8,2,4,0.5833333333333334,1,2021-22,BOS,15.0,2,12
