,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
0,Jamal Murray,1627750,14,27,27,9,24,0.6666666666666666,4,2,1,"Jamal Murray, Monte Morris, Torrey Craig, Mason Plumlee, Nikola Jokic",31,11,16,2,7,0.625,3,2018-19,DEN,25.0,6,23
1,Monte Morris,1628420,14,27,27,0,24,0.0,1,2,0,"Jamal Murray, Monte Morris, Torrey Craig, Mason Plumlee, Nikola Jokic",31,11,16,2,7,0.625,3,2018-19,DEN,0.0,3,23
2,Torrey Craig,1628470,14,27,27,6,24,0.6,2,3,0,"Jamal Murray, Monte Morris, Torrey Craig, Mason Plumlee, Nikola Jokic",31,11,16,2,7,0.625,3,2018-19,DEN,16.666666666666668,5,23
3,Mason Plumlee,203486,14,27,27,4,24,0.6666666666666666,2,0,2,"Jamal Murray, Monte Morris, Torrey Craig, Mason Plumlee, Nikola Jokic",31,11,16,2,7,0.625,3,2018-19,DEN,11.11111111111111,2,23
4,Nikola Jokic,203999,14,27,27,12,24,0.8571428571428571,7,0,0,"Jamal Murray, Monte Morris, Torrey Craig, Mason Plumlee, Nikola Jokic",31,11,16,2,7,0.625,3,2018-19,DEN,33.333333333333336,7,23
5,Monte Morris,1628420,3,7,6,0,11,0.0,0,0,0,"Monte Morris, Torrey Craig, Paul Millsap, Will Barton, Nikola Jokic",5,2,7,0,1,0.2777777777777778,2,2018-19,DEN,0.0,0,8
6,Torrey Craig,1628470,3,7,6,2,11,1.0,1,0,0,"Monte Morris, Torrey Craig, Paul Millsap, Will Barton, Nikola Jokic",5,2,7,0,1,0.2777777777777778,2,2018-19,DEN,21.428571428571427,1,8
7,Paul Millsap,200794,3,7,6,0,11,0.0,1,0,0,"Monte Morris, Torrey Craig, Paul Millsap, Will Barton, Nikola Jokic",5,2,7,0,1,0.2777777777777778,2,2018-19,DEN,0.0,1,8
8,Will Barton,203115,3,7,6,1,11,0.125,2,1,2,"Monte Morris, Torrey Craig, Paul Millsap, Will Barton, Nikola Jokic",5,2,7,0,1,0.2777777777777778,2,2018-19,DEN,10.714285714285714,3,8
9,Nikola Jokic,203999,3,7,6,2,11,0.3333333333333333,3,0,0,"Monte Morris, Torrey Craig, Paul Millsap, Will Barton, Nikola Jokic",5,2,7,0,1,0.2777777777777778,2,2018-19,DEN,21.428571428571427,3,8
10,Malik Beasley,1627736,2,6,7,0,12,0.0,0,0,0,"Malik Beasley, Jamal Murray, Torrey Craig, Mason Plumlee, Gary Harris",2,0,0,0,3,0.25,2,2018-19,DEN,0.0,0,3
11,Jamal Murray,1627750,2,6,7,0,12,0.0,0,1,0,"Malik Beasley, Jamal Murray, Torrey Craig, Mason Plumlee, Gary Harris",2,0,0,0,3,0.25,2,2018-19,DEN,0.0,1,3
12,Torrey Craig,1628470,2,6,7,0,12,0.0,0,0,0,"Malik Beasley, Jamal Murray, Torrey Craig, Mason Plumlee, Gary Harris",2,0,0,0,3,0.25,2,2018-19,DEN,0.0,0,3
13,Mason Plumlee,203486,2,6,7,0,12,0.0,0,1,0,"Malik Beasley, Jamal Murray, Torrey Craig, Mason Plumlee, Gary Harris",2,0,0,0,3,0.25,2,2018-19,DEN,0.0,1,3
14,Gary Harris,203914,2,6,7,2,12,0.5,0,1,2,"Malik Beasley, Jamal Murray, Torrey Craig, Mason Plumlee, Gary Harris",2,0,0,0,3,0.25,2,2018-19,DEN,25.0,1,3
15,Juancho Hernangomez,1627823,7,15,12,2,6,1.0,0,0,2,"Juancho Hernangomez, Monte Morris, Torrey Craig, Mason Plumlee, Nikola Jokic",19,3,8,2,3,0.6785714285714286,7,2018-19,DEN,10.0,0,11
16,Monte Morris,1628420,7,15,12,0,6,0.0,1,0,0,"Juancho Hernangomez, Monte Morris, Torrey Craig, Mason Plumlee, Nikola Jokic",19,3,8,2,3,0.6785714285714286,7,2018-19,DEN,0.0,1,11
17,Torrey Craig,1628470,7,15,12,6,6,1.0,0,3,0,"Juancho Hernangomez, Monte Morris, Torrey Craig, Mason Plumlee, Nikola Jokic",19,3,8,2,3,0.6785714285714286,7,2018-19,DEN,30.0,3,11
18,Mason Plumlee,203486,7,15,12,0,6,0.0,1,0,0,"Juancho Hernangomez, Monte Morris, Torrey Craig, Mason Plumlee, Nikola Jokic",19,3,8,2,3,0.6785714285714286,7,2018-19,DEN,0.0,1,11
19,Nikola Jokic,203999,7,15,12,11,6,0.6875,6,0,5,"Juancho Hernangomez, Monte Morris, Torrey Craig, Mason Plumlee, Nikola Jokic",19,3,8,2,3,0.6785714285714286,7,2018-19,DEN,55.0,6,11
20,Trey Lyles,1626168,2,4,4,0,2,0.0,0,0,0,"Trey Lyles, Malik Beasley, Jamal Murray, Juancho Hernangomez, Paul Millsap",3,0,2,1,1,0.5,0,2018-19,DEN,0.0,0,3
21,Malik Beasley,1627736,2,4,4,3,2,1.5,0,1,0,"Trey Lyles, Malik Beasley, Jamal Murray, Juancho Hernangomez, Paul Millsap",3,0,2,1,1,0.5,0,2018-19,DEN,56.25,1,3
22,Jamal Murray,1627750,2,4,4,0,2,0.0,1,0,0,"Trey Lyles, Malik Beasley, Jamal Murray, Juancho Hernangomez, Paul Millsap",3,0,2,1,1,0.5,0,2018-19,DEN,0.0,1,3
23,Juancho Hernangomez,1627823,2,4,4,0,2,0.0,0,0,0,"Trey Lyles, Malik Beasley, Jamal Murray, Juancho Hernangomez, Paul Millsap",3,0,2,1,1,0.5,0,2018-19,DEN,0.0,0,3
24,Paul Millsap,200794,2,4,4,0,2,0.0,1,0,0,"Trey Lyles, Malik Beasley, Jamal Murray, Juancho Hernangomez, Paul Millsap",3,0,2,1,1,0.5,0,2018-19,DEN,0.0,1,3
25,Malik Beasley,1627736,7,14,19,6,20,0.6,2,3,0,"Malik Beasley, Jamal Murray, Torrey Craig, Paul Millsap, Mason Plumlee",21,3,7,3,4,0.75,7,2018-19,DEN,32.142857142857146,5,11
26,Jamal Murray,1627750,7,14,19,5,20,0.8333333333333334,2,1,0,"Malik Beasley, Jamal Murray, Torrey Craig, Paul Millsap, Mason Plumlee",21,3,7,3,4,0.75,7,2018-19,DEN,26.785714285714285,3,11
27,Torrey Craig,1628470,7,14,19,0,20,0.0,0,0,0,"Malik Beasley, Jamal Murray, Torrey Craig, Paul Millsap, Mason Plumlee",21,3,7,3,4,0.75,7,2018-19,DEN,0.0,0,11
28,Paul Millsap,200794,7,14,19,10,20,1.0,2,0,7,"Malik Beasley, Jamal Murray, Torrey Craig, Paul Millsap, Mason Plumlee",21,3,7,3,4,0.75,7,2018-19,DEN,53.57142857142857,2,11
29,Mason Plumlee,203486,7,14,19,0,20,0.0,1,0,0,"Malik Beasley, Jamal Murray, Torrey Craig, Paul Millsap, Mason Plumlee",21,3,7,3,4,0.75,7,2018-19,DEN,0.0,1,11
30,Trey Lyles,1626168,5,8,10,2,8,0.5,1,1,0,"Trey Lyles, Malik Beasley, Jamal Murray, Juancho Hernangomez, Monte Morris",9,3,3,1,7,0.45,0,2018-19,DEN,18.75,2,10
31,Malik Beasley,1627736,5,8,10,0,8,0.0,0,0,0,"Trey Lyles, Malik Beasley, Jamal Murray, Juancho Hernangomez, Monte Morris",9,3,3,1,7,0.45,0,2018-19,DEN,0.0,0,10
32,Jamal Murray,1627750,5,8,10,4,8,0.5,2,2,0,"Trey Lyles, Malik Beasley, Jamal Murray, Juancho Hernangomez, Monte Morris",9,3,3,1,7,0.45,0,2018-19,DEN,37.5,4,10
33,Juancho Hernangomez,1627823,5,8,10,0,8,0.0,0,2,0,"Trey Lyles, Malik Beasley, Jamal Murray, Juancho Hernangomez, Monte Morris",9,3,3,1,7,0.45,0,2018-19,DEN,0.0,2,10
34,Monte Morris,1628420,5,8,10,3,8,0.75,0,2,0,"Trey Lyles, Malik Beasley, Jamal Murray, Juancho Hernangomez, Monte Morris",9,3,3,1,7,0.45,0,2018-19,DEN,28.125,2,10
35,Trey Lyles,1626168,29,57,59,13,64,0.4642857142857143,6,6,4,"Trey Lyles, Jamal Murray, Juancho Hernangomez, Torrey Craig, Nikola Jokic",68,22,37,4,14,0.5892857142857143,13,2018-19,DEN,17.105263157894736,12,51
