,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
0,Stephen Curry,201939,3,8,7,2,10,0.3333333333333333,3,0,0,"Stephen Curry, Klay Thompson, Harrison Barnes, Leandro Barbosa, Andre Iguodala",12,4,6,1,3,0.6666666666666666,1,2014-15,GSW,18.75,3,9
1,Klay Thompson,202691,3,8,7,0,10,0.0,0,2,0,"Stephen Curry, Klay Thompson, Harrison Barnes, Leandro Barbosa, Andre Iguodala",12,4,6,1,3,0.6666666666666666,1,2014-15,GSW,0.0,2,9
2,Harrison Barnes,203084,3,8,7,5,10,1.25,2,0,1,"Stephen Curry, Klay Thompson, Harrison Barnes, Leandro Barbosa, Andre Iguodala",12,4,6,1,3,0.6666666666666666,1,2014-15,GSW,46.875,2,9
3,Leandro Barbosa,2571,3,8,7,0,10,0.0,0,0,0,"Stephen Curry, Klay Thompson, Harrison Barnes, Leandro Barbosa, Andre Iguodala",12,4,6,1,3,0.6666666666666666,1,2014-15,GSW,0.0,0,9
4,Andre Iguodala,2738,3,8,7,5,10,1.25,1,1,0,"Stephen Curry, Klay Thompson, Harrison Barnes, Leandro Barbosa, Andre Iguodala",12,4,6,1,3,0.6666666666666666,1,2014-15,GSW,46.875,2,9
5,Stephen Curry,201939,8,16,16,13,17,1.3,2,2,3,"Stephen Curry, Klay Thompson, Harrison Barnes, Festus Ezeli, Draymond Green",20,4,8,3,6,0.6666666666666666,3,2014-15,GSW,60.9375,4,14
6,Klay Thompson,202691,8,16,16,5,17,0.625,2,2,0,"Stephen Curry, Klay Thompson, Harrison Barnes, Festus Ezeli, Draymond Green",20,4,8,3,6,0.6666666666666666,3,2014-15,GSW,23.4375,4,14
7,Harrison Barnes,203084,8,16,16,0,17,0.0,2,1,0,"Stephen Curry, Klay Thompson, Harrison Barnes, Festus Ezeli, Draymond Green",20,4,8,3,6,0.6666666666666666,3,2014-15,GSW,0.0,3,14
8,Festus Ezeli,203105,8,16,16,2,17,1.0,1,0,0,"Stephen Curry, Klay Thompson, Harrison Barnes, Festus Ezeli, Draymond Green",20,4,8,3,6,0.6666666666666666,3,2014-15,GSW,9.375,1,14
9,Draymond Green,203110,8,16,16,0,17,0.0,1,1,0,"Stephen Curry, Klay Thompson, Harrison Barnes, Festus Ezeli, Draymond Green",20,4,8,3,6,0.6666666666666666,3,2014-15,GSW,0.0,2,14
10,Brandon Rush,201575,2,4,4,0,3,0.0,1,0,0,"Brandon Rush, Justin Holiday, James Michael McAdoo, Leandro Barbosa, Shaun Livingston",3,0,1,1,1,0.75,0,2014-15,GSW,0.0,1,2
11,Justin Holiday,203200,2,4,4,3,3,1.5,0,1,0,"Brandon Rush, Justin Holiday, James Michael McAdoo, Leandro Barbosa, Shaun Livingston",3,0,1,1,1,0.75,0,2014-15,GSW,56.25,1,2
