,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
0,Andrew Bogut,101106,2,4,3,0,2,0.0,0,0,0,"Andrew Bogut, David Lee, Brandon Rush, Klay Thompson, Shaun Livingston",7,2,3,1,1,0.875,0,2014-15,GSW,0.0,0,4
1,David Lee,101135,2,4,3,0,2,0.0,0,0,0,"Andrew Bogut, David Lee, Brandon Rush, Klay Thompson, Shaun Livingston",7,2,3,1,1,0.875,0,2014-15,GSW,0.0,0,4
2,Brandon Rush,201575,2,4,3,0,2,0.0,0,0,0,"Andrew Bogut, David Lee, Brandon Rush, Klay Thompson, Shaun Livingston",7,2,3,1,1,0.875,0,2014-15,GSW,0.0,0,4
3,Klay Thompson,202691,2,4,3,7,2,1.1666666666666667,2,1,0,"Andrew Bogut, David Lee, Brandon Rush, Klay Thompson, Shaun Livingston",7,2,3,1,1,0.875,0,2014-15,GSW,131.25,3,4
4,Shaun Livingston,2733,2,4,3,0,2,0.0,1,0,0,"Andrew Bogut, David Lee, Brandon Rush, Klay Thompson, Shaun Livingston",7,2,3,1,1,0.875,0,2014-15,GSW,0.0,1,4
5,David Lee,101135,22,44,47,5,72,0.4166666666666667,4,0,4,"David Lee, Marreese Speights, Klay Thompson, Shaun Livingston, Andre Iguodala",40,13,33,3,7,0.46511627906976744,7,2014-15,GSW,8.522727272727273,4,40
6,Marreese Speights,201578,22,44,47,12,72,0.42857142857142855,14,0,0,"David Lee, Marreese Speights, Klay Thompson, Shaun Livingston, Andre Iguodala",40,13,33,3,7,0.46511627906976744,7,2014-15,GSW,20.454545454545453,14,40
7,Klay Thompson,202691,22,44,47,17,72,0.5,11,5,3,"David Lee, Marreese Speights, Klay Thompson, Shaun Livingston, Andre Iguodala",40,13,33,3,7,0.46511627906976744,7,2014-15,GSW,28.977272727272727,16,40
8,Shaun Livingston,2733,22,44,47,0,72,0.0,3,0,0,"David Lee, Marreese Speights, Klay Thompson, Shaun Livingston, Andre Iguodala",40,13,33,3,7,0.46511627906976744,7,2014-15,GSW,0.0,3,40
9,Andre Iguodala,2738,22,44,47,6,72,1.0,1,2,0,"David Lee, Marreese Speights, Klay Thompson, Shaun Livingston, Andre Iguodala",40,13,33,3,7,0.46511627906976744,7,2014-15,GSW,10.227272727272727,3,40
10,Marreese Speights,201578,7,14,13,4,20,0.6666666666666666,3,0,0,"Marreese Speights, Stephen Curry, Klay Thompson, Draymond Green, Shaun Livingston",14,5,9,1,3,0.5384615384615384,2,2014-15,GSW,21.428571428571427,3,12
11,Stephen Curry,201939,7,14,13,2,20,0.3333333333333333,2,1,0,"Marreese Speights, Stephen Curry, Klay Thompson, Draymond Green, Shaun Livingston",14,5,9,1,3,0.5384615384615384,2,2014-15,GSW,10.714285714285714,3,12
12,Klay Thompson,202691,7,14,13,6,20,0.5,3,2,2,"Marreese Speights, Stephen Curry, Klay Thompson, Draymond Green, Shaun Livingston",14,5,9,1,3,0.5384615384615384,2,2014-15,GSW,32.142857142857146,5,12
13,Draymond Green,203110,7,14,13,0,20,0.0,0,0,0,"Marreese Speights, Stephen Curry, Klay Thompson, Draymond Green, Shaun Livingston",14,5,9,1,3,0.5384615384615384,2,2014-15,GSW,0.0,0,12
14,Shaun Livingston,2733,7,14,13,2,20,1.0,1,0,0,"Marreese Speights, Stephen Curry, Klay Thompson, Draymond Green, Shaun Livingston",14,5,9,1,3,0.5384615384615384,2,2014-15,GSW,10.714285714285714,1,12
15,Stephen Curry,201939,2,3,5,2,9,1.0,1,0,0,"Stephen Curry, Klay Thompson, Harrison Barnes, Draymond Green, Justin Holiday",2,1,1,0,0,1.0,0,2014-15,GSW,50.0,1,1
16,Klay Thompson,202691,2,3,5,0,9,0.0,0,0,0,"Stephen Curry, Klay Thompson, Harrison Barnes, Draymond Green, Justin Holiday",2,1,1,0,0,1.0,0,2014-15,GSW,0.0,0,1
17,Harrison Barnes,203084,2,3,5,0,9,0.0,0,0,0,"Stephen Curry, Klay Thompson, Harrison Barnes, Draymond Green, Justin Holiday",2,1,1,0,0,1.0,0,2014-15,GSW,0.0,0,1
18,Draymond Green,203110,2,3,5,0,9,0.0,0,0,0,"Stephen Curry, Klay Thompson, Harrison Barnes, Draymond Green, Justin Holiday",2,1,1,0,0,1.0,0,2014-15,GSW,0.0,0,1
19,Justin Holiday,203200,2,3,5,0,9,0.0,0,0,0,"Stephen Curry, Klay Thompson, Harrison Barnes, Draymond Green, Justin Holiday",2,1,1,0,0,1.0,0,2014-15,GSW,0.0,0,1
20,David Lee,101135,25,48,53,11,60,0.5,10,0,2,"David Lee, Harrison Barnes, Leandro Barbosa, Shaun Livingston, Andre Iguodala",32,14,39,1,8,0.3333333333333333,2,2014-15,GSW,17.1875,10,47
21,Harrison Barnes,203084,25,48,53,2,60,0.125,6,2,0,"David Lee, Harrison Barnes, Leandro Barbosa, Shaun Livingston, Andre Iguodala",32,14,39,1,8,0.3333333333333333,2,2014-15,GSW,3.125,8,47
22,Leandro Barbosa,2571,25,48,53,9,60,0.32142857142857145,11,3,0,"David Lee, Harrison Barnes, Leandro Barbosa, Shaun Livingston, Andre Iguodala",32,14,39,1,8,0.3333333333333333,2,2014-15,GSW,14.0625,14,47
23,Shaun Livingston,2733,25,48,53,8,60,0.4,10,0,0,"David Lee, Harrison Barnes, Leandro Barbosa, Shaun Livingston, Andre Iguodala",32,14,39,1,8,0.3333333333333333,2,2014-15,GSW,12.5,10,47
24,Andre Iguodala,2738,25,48,53,2,60,0.2,2,3,0,"David Lee, Harrison Barnes, Leandro Barbosa, Shaun Livingston, Andre Iguodala",32,14,39,1,8,0.3333333333333333,2,2014-15,GSW,3.125,5,47
25,Stephen Curry,201939,4,9,10,5,8,0.8333333333333334,2,1,0,"Stephen Curry, Draymond Green, Justin Holiday, Shaun Livingston, Andre Iguodala",9,1,5,2,5,0.4090909090909091,2,2014-15,GSW,41.666666666666664,3,10
26,Draymond Green,203110,4,9,10,4,8,0.5,1,2,2,"Stephen Curry, Draymond Green, Justin Holiday, Shaun Livingston, Andre Iguodala",9,1,5,2,5,0.4090909090909091,2,2014-15,GSW,33.333333333333336,3,10
27,Justin Holiday,203200,4,9,10,0,8,0.0,0,2,0,"Stephen Curry, Draymond Green, Justin Holiday, Shaun Livingston, Andre Iguodala",9,1,5,2,5,0.4090909090909091,2,2014-15,GSW,0.0,2,10
28,Shaun Livingston,2733,4,9,10,0,8,0.0,1,0,0,"Stephen Curry, Draymond Green, Justin Holiday, Shaun Livingston, Andre Iguodala",9,1,5,2,5,0.4090909090909091,2,2014-15,GSW,0.0,1,10
29,Andre Iguodala,2738,4,9,10,0,8,0.0,1,0,0,"Stephen Curry, Draymond Green, Justin Holiday, Shaun Livingston, Andre Iguodala",9,1,5,2,5,0.4090909090909091,2,2014-15,GSW,0.0,1,10
30,Marreese Speights,201578,4,8,7,4,12,1.0,2,0,0,"Marreese Speights, Stephen Curry, Klay Thompson, James Michael McAdoo, Andre Iguodala",10,3,3,1,2,0.8333333333333334,2,2014-15,GSW,37.5,2,5
31,Stephen Curry,201939,4,8,7,3,12,0.75,0,2,0,"Marreese Speights, Stephen Curry, Klay Thompson, James Michael McAdoo, Andre Iguodala",10,3,3,1,2,0.8333333333333334,2,2014-15,GSW,28.125,2,5
32,Klay Thompson,202691,4,8,7,2,12,1.0,1,0,0,"Marreese Speights, Stephen Curry, Klay Thompson, James Michael McAdoo, Andre Iguodala",10,3,3,1,2,0.8333333333333334,2,2014-15,GSW,18.75,1,5
33,James Michael McAdoo,203949,4,8,7,1,12,0.5,0,0,2,"Marreese Speights, Stephen Curry, Klay Thompson, James Michael McAdoo, Andre Iguodala",10,3,3,1,2,0.8333333333333334,2,2014-15,GSW,9.375,0,5
34,Andre Iguodala,2738,4,8,7,0,12,0.0,0,0,0,"Marreese Speights, Stephen Curry, Klay Thompson, James Michael McAdoo, Andre Iguodala",10,3,3,1,2,0.8333333333333334,2,2014-15,GSW,0.0,0,5
35,David Lee,101135,4,9,10,4,12,0.6666666666666666,3,0,0,"David Lee, Klay Thompson, Draymond Green, Leandro Barbosa, Andre Iguodala",13,4,7,1,3,0.5909090909090909,2,2014-15,GSW,33.333333333333336,3,10
