,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
0,Terry Rozier,1626179,2,3,3,0,3,0.0,0,0,0,"Terry Rozier, Semi Ojeleye, Al Horford, Marcus Morris, Aron Baynes",0,0,2,0,1,0.0,0,2017-18,BOS,0.0,0,3
1,Semi Ojeleye,1628400,2,3,3,0,3,0.0,0,0,0,"Terry Rozier, Semi Ojeleye, Al Horford, Marcus Morris, Aron Baynes",0,0,2,0,1,0.0,0,2017-18,BOS,0.0,0,3
2,Al Horford,201143,2,3,3,0,3,0.0,0,0,0,"Terry Rozier, Semi Ojeleye, Al Horford, Marcus Morris, Aron Baynes",0,0,2,0,1,0.0,0,2017-18,BOS,0.0,0,3
3,Marcus Morris,202694,2,3,3,0,3,0.0,1,0,0,"Terry Rozier, Semi Ojeleye, Al Horford, Marcus Morris, Aron Baynes",0,0,2,0,1,0.0,0,2017-18,BOS,0.0,1,3
4,Aron Baynes,203382,2,3,3,0,3,0.0,1,1,0,"Terry Rozier, Semi Ojeleye, Al Horford, Marcus Morris, Aron Baynes",0,0,2,0,1,0.0,0,2017-18,BOS,0.0,2,3
5,Terry Rozier,1626179,8,15,14,8,13,1.3333333333333333,0,2,2,"Terry Rozier, Jaylen Brown, Al Horford, Marcus Morris, Shane Larkin",15,2,8,3,8,0.4411764705882353,2,2017-18,BOS,40.0,2,16
6,Jaylen Brown,1627759,8,15,14,5,13,0.625,2,2,0,"Terry Rozier, Jaylen Brown, Al Horford, Marcus Morris, Shane Larkin",15,2,8,3,8,0.4411764705882353,2,2017-18,BOS,25.0,4,16
7,Al Horford,201143,8,15,14,2,13,0.3333333333333333,3,0,0,"Terry Rozier, Jaylen Brown, Al Horford, Marcus Morris, Shane Larkin",15,2,8,3,8,0.4411764705882353,2,2017-18,BOS,10.0,3,16
8,Marcus Morris,202694,8,15,14,0,13,0.0,3,2,0,"Terry Rozier, Jaylen Brown, Al Horford, Marcus Morris, Shane Larkin",15,2,8,3,8,0.4411764705882353,2,2017-18,BOS,0.0,5,16
9,Shane Larkin,203499,8,15,14,0,13,0.0,0,2,0,"Terry Rozier, Jaylen Brown, Al Horford, Marcus Morris, Shane Larkin",15,2,8,3,8,0.4411764705882353,2,2017-18,BOS,0.0,2,16
10,Guerschon Yabusele,1627824,3,6,8,0,8,0.0,0,1,0,"Guerschon Yabusele, Jayson Tatum, Greg Monroe, Marcus Morris, Shane Larkin",3,1,4,0,2,0.21428571428571427,2,2017-18,BOS,0.0,1,6
11,Jayson Tatum,1628369,3,6,8,0,8,0.0,1,1,0,"Guerschon Yabusele, Jayson Tatum, Greg Monroe, Marcus Morris, Shane Larkin",3,1,4,0,2,0.21428571428571427,2,2017-18,BOS,0.0,2,6
12,Greg Monroe,202328,3,6,8,2,8,1.0,1,0,0,"Guerschon Yabusele, Jayson Tatum, Greg Monroe, Marcus Morris, Shane Larkin",3,1,4,0,2,0.21428571428571427,2,2017-18,BOS,25.0,1,6
13,Marcus Morris,202694,3,6,8,1,8,0.16666666666666666,2,0,2,"Guerschon Yabusele, Jayson Tatum, Greg Monroe, Marcus Morris, Shane Larkin",3,1,4,0,2,0.21428571428571427,2,2017-18,BOS,12.5,2,6
