,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
0,Terry Rozier,1626179,49,88,91,19,96,0.475,8,11,2,"Terry Rozier, Jayson Tatum, Al Horford, Aron Baynes, Marcus Smart",101,17,34,17,43,0.5872093023255814,19,2017-18,BOS,16.193181818181817,19,77
1,Jayson Tatum,1628369,49,88,91,33,96,0.6111111111111112,14,9,9,"Terry Rozier, Jayson Tatum, Al Horford, Aron Baynes, Marcus Smart",101,17,34,17,43,0.5872093023255814,19,2017-18,BOS,28.125,23,77
2,Al Horford,201143,49,88,91,12,96,0.5454545454545454,8,2,2,"Terry Rozier, Jayson Tatum, Al Horford, Aron Baynes, Marcus Smart",101,17,34,17,43,0.5872093023255814,19,2017-18,BOS,10.227272727272727,10,77
3,Aron Baynes,203382,49,88,91,20,96,0.8333333333333334,1,9,4,"Terry Rozier, Jayson Tatum, Al Horford, Aron Baynes, Marcus Smart",101,17,34,17,43,0.5872093023255814,19,2017-18,BOS,17.045454545454547,10,77
4,Marcus Smart,203935,49,88,91,17,96,0.53125,3,12,2,"Terry Rozier, Jayson Tatum, Al Horford, Aron Baynes, Marcus Smart",101,17,34,17,43,0.5872093023255814,19,2017-18,BOS,14.488636363636363,15,77
5,Jayson Tatum,1628369,11,22,24,10,27,0.8333333333333334,2,2,4,"Jayson Tatum, Al Horford, Marcus Morris, Aron Baynes, Marcus Smart",30,8,11,3,7,0.7142857142857143,6,2017-18,BOS,34.09090909090909,4,18
6,Al Horford,201143,11,22,24,2,27,0.5,1,0,2,"Jayson Tatum, Al Horford, Marcus Morris, Aron Baynes, Marcus Smart",30,8,11,3,7,0.7142857142857143,6,2017-18,BOS,6.818181818181818,1,18
7,Marcus Morris,202694,11,22,24,7,27,0.875,2,2,0,"Jayson Tatum, Al Horford, Marcus Morris, Aron Baynes, Marcus Smart",30,8,11,3,7,0.7142857142857143,6,2017-18,BOS,23.863636363636363,4,18
8,Aron Baynes,203382,11,22,24,2,27,0.5,2,0,0,"Jayson Tatum, Al Horford, Marcus Morris, Aron Baynes, Marcus Smart",30,8,11,3,7,0.7142857142857143,6,2017-18,BOS,6.818181818181818,2,18
9,Marcus Smart,203935,11,22,24,9,27,0.6428571428571429,4,3,0,"Jayson Tatum, Al Horford, Marcus Morris, Aron Baynes, Marcus Smart",30,8,11,3,7,0.7142857142857143,6,2017-18,BOS,30.681818181818183,7,18
