,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA,Season Type
0,0,0.0,0.0,Terry Rozier,1626179,34,59,62,23,74,0.6388888888888888,10,7,2,"Terry Rozier, Jayson Tatum, Semi Ojeleye, Daniel Theis, Marcus Smart",66,17,33,7,23,0.532258064516129,13,2017-18,BOS,29.23728813559322,17,56,Regular Season
1,1,1.0,1.0,Jayson Tatum,1628369,34,59,62,14,74,0.7,4,3,6,"Terry Rozier, Jayson Tatum, Semi Ojeleye, Daniel Theis, Marcus Smart",66,17,33,7,23,0.532258064516129,13,2017-18,BOS,17.796610169491526,7,56,Regular Season
2,2,2.0,2.0,Semi Ojeleye,1628400,34,59,62,6,74,0.375,3,5,0,"Terry Rozier, Jayson Tatum, Semi Ojeleye, Daniel Theis, Marcus Smart",66,17,33,7,23,0.532258064516129,13,2017-18,BOS,7.627118644067797,8,56,Regular Season
3,3,3.0,3.0,Daniel Theis,1628464,34,59,62,8,74,0.4,9,1,0,"Terry Rozier, Jayson Tatum, Semi Ojeleye, Daniel Theis, Marcus Smart",66,17,33,7,23,0.532258064516129,13,2017-18,BOS,10.169491525423728,10,56,Regular Season
4,4,4.0,4.0,Marcus Smart,203935,34,59,62,15,74,0.46875,7,7,5,"Terry Rozier, Jayson Tatum, Semi Ojeleye, Daniel Theis, Marcus Smart",66,17,33,7,23,0.532258064516129,13,2017-18,BOS,19.06779661016949,14,56,Regular Season
5,5,5.0,5.0,Terry Rozier,1626179,25,50,45,5,57,0.4166666666666667,5,0,2,"Terry Rozier, Jayson Tatum, Al Horford, Kyrie Irving, Marcus Morris",66,15,29,5,10,0.66,24,2017-18,BOS,7.5,5,39,Regular Season
6,6,6.0,6.0,Jayson Tatum,1628369,25,50,45,15,57,0.75,5,3,5,"Terry Rozier, Jayson Tatum, Al Horford, Kyrie Irving, Marcus Morris",66,15,29,5,10,0.66,24,2017-18,BOS,22.5,8,39,Regular Season
7,7,7.0,7.0,Al Horford,201143,25,50,45,10,57,0.625,5,3,0,"Terry Rozier, Jayson Tatum, Al Horford, Kyrie Irving, Marcus Morris",66,15,29,5,10,0.66,24,2017-18,BOS,15.0,8,39,Regular Season
8,8,8.0,8.0,Kyrie Irving,202681,25,50,45,28,57,0.7368421052631579,10,2,15,"Terry Rozier, Jayson Tatum, Al Horford, Kyrie Irving, Marcus Morris",66,15,29,5,10,0.66,24,2017-18,BOS,42.0,12,39,Regular Season
9,9,9.0,9.0,Marcus Morris,202694,25,50,45,8,57,0.5714285714285714,4,2,2,"Terry Rozier, Jayson Tatum, Al Horford, Kyrie Irving, Marcus Morris",66,15,29,5,10,0.66,24,2017-18,BOS,12.0,6,39,Regular Season
10,10,10.0,10.0,Terry Rozier,1626179,21,43,40,9,53,0.75,3,3,0,"Terry Rozier, Al Horford, Kyrie Irving, Marcus Morris, Marcus Smart",41,10,29,5,12,0.4659090909090909,6,2017-18,BOS,15.69767441860465,6,41,Regular Season
11,11,11.0,11.0,Al Horford,201143,21,43,40,14,53,0.5384615384615384,9,2,4,"Terry Rozier, Al Horford, Kyrie Irving, Marcus Morris, Marcus Smart",41,10,29,5,12,0.4659090909090909,6,2017-18,BOS,24.41860465116279,11,41,Regular Season
12,12,12.0,12.0,Kyrie Irving,202681,21,43,40,4,53,0.2,8,1,2,"Terry Rozier, Al Horford, Kyrie Irving, Marcus Morris, Marcus Smart",41,10,29,5,12,0.4659090909090909,6,2017-18,BOS,6.976744186046512,9,41,Regular Season
13,13,13.0,13.0,Marcus Morris,202694,21,43,40,9,53,0.5,5,4,0,"Terry Rozier, Al Horford, Kyrie Irving, Marcus Morris, Marcus Smart",41,10,29,5,12,0.4659090909090909,6,2017-18,BOS,15.69767441860465,9,41,Regular Season
14,14,14.0,14.0,Marcus Smart,203935,21,43,40,5,53,0.4166666666666667,4,2,0,"Terry Rozier, Al Horford, Kyrie Irving, Marcus Morris, Marcus Smart",41,10,29,5,12,0.4659090909090909,6,2017-18,BOS,8.720930232558139,6,41,Regular Season
15,15,15.0,15.0,Terry Rozier,1626179,30,59,58,15,54,0.625,3,6,6,"Terry Rozier, Jayson Tatum, Semi Ojeleye, Daniel Theis, Shane Larkin",67,12,29,8,18,0.5877192982456141,23,2017-18,BOS,19.06779661016949,9,47,Regular Season
16,16,16.0,16.0,Jayson Tatum,1628369,30,59,58,23,54,0.6388888888888888,12,3,6,"Terry Rozier, Jayson Tatum, Semi Ojeleye, Daniel Theis, Shane Larkin",67,12,29,8,18,0.5877192982456141,23,2017-18,BOS,29.23728813559322,15,47,Regular Season
17,17,17.0,17.0,Semi Ojeleye,1628400,30,59,58,7,54,0.7,2,3,1,"Terry Rozier, Jayson Tatum, Semi Ojeleye, Daniel Theis, Shane Larkin",67,12,29,8,18,0.5877192982456141,23,2017-18,BOS,8.898305084745763,5,47,Regular Season
18,18,18.0,18.0,Daniel Theis,1628464,30,59,58,13,54,0.7222222222222222,6,1,6,"Terry Rozier, Jayson Tatum, Semi Ojeleye, Daniel Theis, Shane Larkin",67,12,29,8,18,0.5877192982456141,23,2017-18,BOS,16.52542372881356,7,47,Regular Season
19,19,19.0,19.0,Shane Larkin,203499,30,59,58,9,54,0.3461538461538461,6,5,4,"Terry Rozier, Jayson Tatum, Semi Ojeleye, Daniel Theis, Shane Larkin",67,12,29,8,18,0.5877192982456141,23,2017-18,BOS,11.440677966101696,11,47,Regular Season
20,20,20.0,20.0,Jaylen Brown,1627759,20,39,40,11,54,0.6875,4,3,2,"Jaylen Brown, Daniel Theis, Al Horford, Kyrie Irving, Marcus Smart",50,11,20,6,15,0.625,11,2017-18,BOS,21.15384615384616,7,35,Regular Season
21,21,21.0,21.0,Daniel Theis,1628464,20,39,40,10,54,0.8333333333333334,3,2,2,"Jaylen Brown, Daniel Theis, Al Horford, Kyrie Irving, Marcus Smart",50,11,20,6,15,0.625,11,2017-18,BOS,19.23076923076923,5,35,Regular Season
22,22,22.0,22.0,Al Horford,201143,20,39,40,5,54,0.5,1,3,2,"Jaylen Brown, Daniel Theis, Al Horford, Kyrie Irving, Marcus Smart",50,11,20,6,15,0.625,11,2017-18,BOS,9.615384615384617,4,35,Regular Season
23,23,23.0,23.0,Kyrie Irving,202681,20,39,40,20,54,0.5882352941176471,10,5,5,"Jaylen Brown, Daniel Theis, Al Horford, Kyrie Irving, Marcus Smart",50,11,20,6,15,0.625,11,2017-18,BOS,38.46153846153846,15,35,Regular Season
24,24,24.0,24.0,Marcus Smart,203935,20,39,40,4,54,0.5,2,2,0,"Jaylen Brown, Daniel Theis, Al Horford, Kyrie Irving, Marcus Smart",50,11,20,6,15,0.625,11,2017-18,BOS,7.6923076923076925,4,35,Regular Season
25,25,25.0,25.0,Jaylen Brown,1627759,51,100,102,28,82,0.9333333333333332,8,6,4,"Jaylen Brown, Al Horford, Kyrie Irving, Aron Baynes, Marcus Smart",118,27,58,18,35,0.6020408163265306,12,2017-18,BOS,21.0,14,93,Regular Season
26,26,26.0,26.0,Al Horford,201143,51,100,102,22,82,0.6875,6,10,0,"Jaylen Brown, Al Horford, Kyrie Irving, Aron Baynes, Marcus Smart",118,27,58,18,35,0.6020408163265306,12,2017-18,BOS,16.5,16,93,Regular Season
27,27,27.0,27.0,Kyrie Irving,202681,51,100,102,40,82,0.5555555555555556,24,11,2,"Jaylen Brown, Al Horford, Kyrie Irving, Aron Baynes, Marcus Smart",118,27,58,18,35,0.6020408163265306,12,2017-18,BOS,30.0,35,93,Regular Season
28,28,28.0,28.0,Aron Baynes,203382,51,100,102,14,82,0.3888888888888889,16,1,2,"Jaylen Brown, Al Horford, Kyrie Irving, Aron Baynes, Marcus Smart",118,27,58,18,35,0.6020408163265306,12,2017-18,BOS,10.5,17,93,Regular Season
29,29,29.0,29.0,Marcus Smart,203935,51,100,102,14,82,0.5384615384615384,4,7,4,"Jaylen Brown, Al Horford, Kyrie Irving, Aron Baynes, Marcus Smart",118,27,58,18,35,0.6020408163265306,12,2017-18,BOS,10.5,11,93,Regular Season
30,30,30.0,30.0,Jaylen Brown,1627759,41,87,88,32,87,0.6153846153846154,14,11,2,"Jaylen Brown, Semi Ojeleye, Al Horford, Kyrie Irving, Marcus Smart",109,27,45,14,34,0.6337209302325582,15,2017-18,BOS,27.58620689655172,25,79,Regular Season
31,31,31.0,31.0,Semi Ojeleye,1628400,41,87,88,12,87,0.5,2,9,2,"Jaylen Brown, Semi Ojeleye, Al Horford, Kyrie Irving, Marcus Smart",109,27,45,14,34,0.6337209302325582,15,2017-18,BOS,10.344827586206897,11,79,Regular Season
32,32,32.0,32.0,Al Horford,201143,41,87,88,22,87,0.9166666666666666,7,4,2,"Jaylen Brown, Semi Ojeleye, Al Horford, Kyrie Irving, Marcus Smart",109,27,45,14,34,0.6337209302325582,15,2017-18,BOS,18.96551724137931,11,79,Regular Season
33,33,33.0,33.0,Kyrie Irving,202681,41,87,88,39,87,0.6724137931034483,16,9,9,"Jaylen Brown, Semi Ojeleye, Al Horford, Kyrie Irving, Marcus Smart",109,27,45,14,34,0.6337209302325582,15,2017-18,BOS,33.62068965517241,25,79,Regular Season
34,34,34.0,34.0,Marcus Smart,203935,41,87,88,4,87,0.2857142857142857,6,1,0,"Jaylen Brown, Semi Ojeleye, Al Horford, Kyrie Irving, Marcus Smart",109,27,45,14,34,0.6337209302325582,15,2017-18,BOS,3.4482758620689653,7,79,Regular Season
