,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
0,Andrew Bogut,101106,40,75,83,8,78,0.8,5,0,0,"Andrew Bogut, Stephen Curry, Klay Thompson, Harrison Barnes, Draymond Green",91,28,50,9,18,0.6232876712328768,11,2012-13,GSW,8.0,5,68
1,Stephen Curry,201939,40,75,83,24,78,0.5714285714285714,13,5,7,"Andrew Bogut, Stephen Curry, Klay Thompson, Harrison Barnes, Draymond Green",91,28,50,9,18,0.6232876712328768,11,2012-13,GSW,24.0,18,68
2,Klay Thompson,202691,40,75,83,26,78,0.5909090909090909,15,7,0,"Andrew Bogut, Stephen Curry, Klay Thompson, Harrison Barnes, Draymond Green",91,28,50,9,18,0.6232876712328768,11,2012-13,GSW,26.0,22,68
3,Harrison Barnes,203084,40,75,83,17,78,0.6071428571428571,9,3,4,"Andrew Bogut, Stephen Curry, Klay Thompson, Harrison Barnes, Draymond Green",91,28,50,9,18,0.6232876712328768,11,2012-13,GSW,17.0,12,68
4,Draymond Green,203110,40,75,83,16,78,0.7272727272727273,8,3,0,"Andrew Bogut, Stephen Curry, Klay Thompson, Harrison Barnes, Draymond Green",91,28,50,9,18,0.6232876712328768,11,2012-13,GSW,16.0,11,68
5,Andrew Bogut,101106,13,24,25,4,31,1.0,2,0,0,"Andrew Bogut, Jarrett Jack, Carl Landry, Stephen Curry, Harrison Barnes",35,10,15,2,3,0.7391304347826086,11,2012-13,GSW,12.5,2,18
6,Jarrett Jack,101127,13,24,25,5,31,0.625,1,0,6,"Andrew Bogut, Jarrett Jack, Carl Landry, Stephen Curry, Harrison Barnes",35,10,15,2,3,0.7391304347826086,11,2012-13,GSW,15.625,1,18
7,Carl Landry,201171,13,24,25,11,31,0.7857142857142857,6,0,2,"Andrew Bogut, Jarrett Jack, Carl Landry, Stephen Curry, Harrison Barnes",35,10,15,2,3,0.7391304347826086,11,2012-13,GSW,34.375,6,18
8,Stephen Curry,201939,13,24,25,6,31,0.5,3,2,1,"Andrew Bogut, Jarrett Jack, Carl Landry, Stephen Curry, Harrison Barnes",35,10,15,2,3,0.7391304347826086,11,2012-13,GSW,18.75,5,18
9,Harrison Barnes,203084,13,24,25,9,31,0.9,3,1,2,"Andrew Bogut, Jarrett Jack, Carl Landry, Stephen Curry, Harrison Barnes",35,10,15,2,3,0.7391304347826086,11,2012-13,GSW,28.125,4,18
10,Andrew Bogut,101106,20,40,41,10,41,0.5,10,0,0,"Andrew Bogut, Stephen Curry, Klay Thompson, Harrison Barnes, Festus Ezeli",44,14,30,4,5,0.5972222222222222,4,2012-13,GSW,18.75,10,35
11,Stephen Curry,201939,20,40,41,17,41,0.7272727272727273,6,5,1,"Andrew Bogut, Stephen Curry, Klay Thompson, Harrison Barnes, Festus Ezeli",44,14,30,4,5,0.5972222222222222,4,2012-13,GSW,31.875,11,35
12,Klay Thompson,202691,20,40,41,5,41,0.5,4,0,3,"Andrew Bogut, Stephen Curry, Klay Thompson, Harrison Barnes, Festus Ezeli",44,14,30,4,5,0.5972222222222222,4,2012-13,GSW,9.375,4,35
13,Harrison Barnes,203084,20,40,41,12,41,0.75,8,0,0,"Andrew Bogut, Stephen Curry, Klay Thompson, Harrison Barnes, Festus Ezeli",44,14,30,4,5,0.5972222222222222,4,2012-13,GSW,22.5,8,35
14,Festus Ezeli,203105,20,40,41,0,41,0.0,2,0,0,"Andrew Bogut, Stephen Curry, Klay Thompson, Harrison Barnes, Festus Ezeli",44,14,30,4,5,0.5972222222222222,4,2012-13,GSW,0.0,2,35
