,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
0,Carl Landry,201171,22,43,42,8,42,0.36363636363636365,11,0,0,"Carl Landry, Stephen Curry, Klay Thompson, Harrison Barnes, Festus Ezeli",42,14,28,3,12,0.4883720930232558,7,2012-13,GSW,13.953488372093023,11,40
1,Stephen Curry,201939,22,43,42,9,42,0.4090909090909091,4,6,2,"Carl Landry, Stephen Curry, Klay Thompson, Harrison Barnes, Festus Ezeli",42,14,28,3,12,0.4883720930232558,7,2012-13,GSW,15.69767441860465,10,40
2,Klay Thompson,202691,22,43,42,7,42,0.5,4,3,0,"Carl Landry, Stephen Curry, Klay Thompson, Harrison Barnes, Festus Ezeli",42,14,28,3,12,0.4883720930232558,7,2012-13,GSW,12.209302325581396,7,40
3,Harrison Barnes,203084,22,43,42,9,42,0.6428571428571429,3,3,3,"Carl Landry, Stephen Curry, Klay Thompson, Harrison Barnes, Festus Ezeli",42,14,28,3,12,0.4883720930232558,7,2012-13,GSW,15.69767441860465,6,40
4,Festus Ezeli,203105,22,43,42,9,42,0.6428571428571429,6,0,2,"Carl Landry, Stephen Curry, Klay Thompson, Harrison Barnes, Festus Ezeli",42,14,28,3,12,0.4883720930232558,7,2012-13,GSW,15.69767441860465,6,40
5,Jarrett Jack,101127,30,59,55,8,44,0.35,7,3,1,"Jarrett Jack, David Lee, Carl Landry, Draymond Green, Richard Jefferson",54,18,31,4,13,0.5760869565217391,7,2012-13,GSW,10.169491525423728,10,44
6,David Lee,101135,30,59,55,16,44,0.7272727272727273,10,0,2,"Jarrett Jack, David Lee, Carl Landry, Draymond Green, Richard Jefferson",54,18,31,4,13,0.5760869565217391,7,2012-13,GSW,20.338983050847457,10,44
7,Carl Landry,201171,30,59,55,13,44,0.7222222222222222,9,0,1,"Jarrett Jack, David Lee, Carl Landry, Draymond Green, Richard Jefferson",54,18,31,4,13,0.5760869565217391,7,2012-13,GSW,16.52542372881356,9,44
8,Draymond Green,203110,30,59,55,5,44,0.5,1,4,0,"Jarrett Jack, David Lee, Carl Landry, Draymond Green, Richard Jefferson",54,18,31,4,13,0.5760869565217391,7,2012-13,GSW,6.3559322033898304,5,44
9,Richard Jefferson,2210,30,59,55,12,44,0.5454545454545454,4,6,3,"Jarrett Jack, David Lee, Carl Landry, Draymond Green, Richard Jefferson",54,18,31,4,13,0.5760869565217391,7,2012-13,GSW,15.254237288135593,10,44
10,Jarrett Jack,101127,42,79,85,11,94,0.4583333333333333,8,3,2,"Jarrett Jack, David Lee, Stephen Curry, Klay Thompson, Andris Biedrins",76,20,50,9,24,0.47468354430379744,11,2012-13,GSW,10.443037974683545,11,74
11,David Lee,101135,42,79,85,13,94,0.3611111111111111,17,0,2,"Jarrett Jack, David Lee, Stephen Curry, Klay Thompson, Andris Biedrins",76,20,50,9,24,0.47468354430379744,11,2012-13,GSW,12.341772151898734,17,74
12,Stephen Curry,201939,42,79,85,21,94,0.45454545454545453,12,8,5,"Jarrett Jack, David Lee, Stephen Curry, Klay Thompson, Andris Biedrins",76,20,50,9,24,0.47468354430379744,11,2012-13,GSW,19.936708860759495,20,74
13,Klay Thompson,202691,42,79,85,31,94,0.5740740740740741,13,13,2,"Jarrett Jack, David Lee, Stephen Curry, Klay Thompson, Andris Biedrins",76,20,50,9,24,0.47468354430379744,11,2012-13,GSW,29.430379746835442,26,74
14,Andris Biedrins,2740,42,79,85,0,94,0.0,0,0,0,"Jarrett Jack, David Lee, Stephen Curry, Klay Thompson, Andris Biedrins",76,20,50,9,24,0.47468354430379744,11,2012-13,GSW,0.0,0,74
15,Jarrett Jack,101127,124,244,245,50,259,0.5681818181818182,33,9,5,"Jarrett Jack, David Lee, Carl Landry, Stephen Curry, Harrison Barnes",288,90,170,22,47,0.6,53,2012-13,GSW,15.368852459016393,42,217
16,David Lee,101135,124,244,245,71,259,0.6228070175438597,51,0,14,"Jarrett Jack, David Lee, Carl Landry, Stephen Curry, Harrison Barnes",288,90,170,22,47,0.6,53,2012-13,GSW,21.82377049180328,51,217
17,Carl Landry,201171,124,244,245,48,259,0.8571428571428571,24,0,12,"Jarrett Jack, David Lee, Carl Landry, Stephen Curry, Harrison Barnes",288,90,170,22,47,0.6,53,2012-13,GSW,14.754098360655737,24,217
18,Stephen Curry,201939,124,244,245,70,259,0.5645161290322581,32,27,6,"Jarrett Jack, David Lee, Carl Landry, Stephen Curry, Harrison Barnes",288,90,170,22,47,0.6,53,2012-13,GSW,21.516393442622952,59,217
19,Harrison Barnes,203084,124,244,245,49,259,0.5,30,11,16,"Jarrett Jack, David Lee, Carl Landry, Stephen Curry, Harrison Barnes",288,90,170,22,47,0.6,53,2012-13,GSW,15.061475409836065,41,217
20,David Lee,101135,517,1010,1002,279,1053,0.5244360902255639,238,1,59,"David Lee, Stephen Curry, Klay Thompson, Harrison Barnes, Festus Ezeli",1085,341,692,87,218,0.5450861195542046,180,2012-13,GSW,20.717821782178216,239,910
21,Stephen Curry,201939,517,1010,1002,299,1053,0.6415929203539823,136,76,44,"David Lee, Stephen Curry, Klay Thompson, Harrison Barnes, Festus Ezeli",1085,341,692,87,218,0.5450861195542046,180,2012-13,GSW,22.202970297029704,212,910
22,Klay Thompson,202691,517,1010,1002,267,1053,0.5493827160493827,128,102,27,"David Lee, Stephen Curry, Klay Thompson, Harrison Barnes, Festus Ezeli",1085,341,692,87,218,0.5450861195542046,180,2012-13,GSW,19.826732673267326,230,910
23,Harrison Barnes,203084,517,1010,1002,163,1053,0.4851190476190476,114,39,33,"David Lee, Stephen Curry, Klay Thompson, Harrison Barnes, Festus Ezeli",1085,341,692,87,218,0.5450861195542046,180,2012-13,GSW,12.103960396039604,153,910
24,Festus Ezeli,203105,517,1010,1002,77,1053,0.4583333333333333,76,0,17,"David Lee, Stephen Curry, Klay Thompson, Harrison Barnes, Festus Ezeli",1085,341,692,87,218,0.5450861195542046,180,2012-13,GSW,5.717821782178218,76,910
25,Jarrett Jack,101127,26,47,46,8,61,0.4444444444444444,4,4,2,"Jarrett Jack, David Lee, Stephen Curry, Harrison Barnes, Festus Ezeli",39,12,36,5,13,0.39,2,2012-13,GSW,12.76595744680851,8,49
26,David Lee,101135,26,47,46,6,61,0.3333333333333333,9,0,0,"Jarrett Jack, David Lee, Stephen Curry, Harrison Barnes, Festus Ezeli",39,12,36,5,13,0.39,2,2012-13,GSW,9.574468085106384,9,49
27,Stephen Curry,201939,26,47,46,10,61,0.3125,9,7,0,"Jarrett Jack, David Lee, Stephen Curry, Harrison Barnes, Festus Ezeli",39,12,36,5,13,0.39,2,2012-13,GSW,15.957446808510639,16,49
28,Harrison Barnes,203084,26,47,46,11,61,0.4583333333333333,10,2,0,"Jarrett Jack, David Lee, Stephen Curry, Harrison Barnes, Festus Ezeli",39,12,36,5,13,0.39,2,2012-13,GSW,17.5531914893617,12,49
29,Festus Ezeli,203105,26,47,46,4,61,0.5,4,0,0,"Jarrett Jack, David Lee, Stephen Curry, Harrison Barnes, Festus Ezeli",39,12,36,5,13,0.39,2,2012-13,GSW,6.382978723404255,4,49
30,David Lee,101135,175,348,347,93,347,0.5344827586206896,79,0,17,"David Lee, Stephen Curry, Klay Thompson, Harrison Barnes, Andris Biedrins",364,112,243,28,65,0.5339233038348082,68,2012-13,GSW,20.04310344827586,79,308
31,Stephen Curry,201939,175,348,347,122,347,0.594059405940594,59,33,22,"David Lee, Stephen Curry, Klay Thompson, Harrison Barnes, Andris Biedrins",364,112,243,28,65,0.5339233038348082,68,2012-13,GSW,26.29310344827586,92,308
32,Klay Thompson,202691,175,348,347,68,347,0.4358974358974359,54,20,8,"David Lee, Stephen Curry, Klay Thompson, Harrison Barnes, Andris Biedrins",364,112,243,28,65,0.5339233038348082,68,2012-13,GSW,14.655172413793103,74,308
33,Harrison Barnes,203084,175,348,347,71,347,0.5546875,45,12,14,"David Lee, Stephen Curry, Klay Thompson, Harrison Barnes, Andris Biedrins",364,112,243,28,65,0.5339233038348082,68,2012-13,GSW,15.301724137931034,57,308
34,Andris Biedrins,2740,175,348,347,10,347,0.5555555555555556,6,0,7,"David Lee, Stephen Curry, Klay Thompson, Harrison Barnes, Andris Biedrins",364,112,243,28,65,0.5339233038348082,68,2012-13,GSW,2.1551724137931036,6,308
35,Jarrett Jack,101127,64,119,121,41,131,0.7884615384615384,17,6,6,"Jarrett Jack, David Lee, Carl Landry, Stephen Curry, Draymond Green",139,46,88,10,23,0.5791666666666667,20,2012-13,GSW,25.840336134453782,23,111
