,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
0,Alex Caruso,1627936,14,27,26,4,26,0.5,2,1,2,"Alex Caruso, Kyle Kuzma, Rajon Rondo, Markieff Morris, Anthony Davis",34,8,16,2,9,0.5483870967741935,14,2019-20,LAL,11.11111111111111,3,25
1,Kyle Kuzma,1628398,14,27,26,3,26,0.5,0,3,0,"Alex Caruso, Kyle Kuzma, Rajon Rondo, Markieff Morris, Anthony Davis",34,8,16,2,9,0.5483870967741935,14,2019-20,LAL,8.333333333333334,3,25
2,Rajon Rondo,200765,14,27,26,4,26,0.3333333333333333,5,1,1,"Alex Caruso, Kyle Kuzma, Rajon Rondo, Markieff Morris, Anthony Davis",34,8,16,2,9,0.5483870967741935,14,2019-20,LAL,11.11111111111111,6,25
3,Markieff Morris,202693,14,27,26,0,26,0.0,0,3,0,"Alex Caruso, Kyle Kuzma, Rajon Rondo, Markieff Morris, Anthony Davis",34,8,16,2,9,0.5483870967741935,14,2019-20,LAL,0.0,3,25
4,Anthony Davis,203076,14,27,26,23,26,0.7666666666666667,9,1,11,"Alex Caruso, Kyle Kuzma, Rajon Rondo, Markieff Morris, Anthony Davis",34,8,16,2,9,0.5483870967741935,14,2019-20,LAL,63.888888888888886,10,25
5,Alex Caruso,1627936,18,37,38,4,33,0.2857142857142857,2,4,2,"Alex Caruso, Kyle Kuzma, Markieff Morris, Anthony Davis, Kentavious Caldwell-Pope",34,9,20,2,14,0.4146341463414634,15,2019-20,LAL,8.108108108108109,6,34
6,Kyle Kuzma,1628398,18,37,38,11,33,0.6111111111111112,4,3,4,"Alex Caruso, Kyle Kuzma, Markieff Morris, Anthony Davis, Kentavious Caldwell-Pope",34,9,20,2,14,0.4146341463414634,15,2019-20,LAL,22.2972972972973,7,34
7,Markieff Morris,202693,18,37,38,2,33,0.25,2,2,0,"Alex Caruso, Kyle Kuzma, Markieff Morris, Anthony Davis, Kentavious Caldwell-Pope",34,9,20,2,14,0.4146341463414634,15,2019-20,LAL,4.054054054054054,4,34
8,Anthony Davis,203076,18,37,38,15,33,0.5357142857142857,9,1,9,"Alex Caruso, Kyle Kuzma, Markieff Morris, Anthony Davis, Kentavious Caldwell-Pope",34,9,20,2,14,0.4146341463414634,15,2019-20,LAL,30.405405405405407,10,34
9,Kentavious Caldwell-Pope,203484,18,37,38,2,33,0.14285714285714285,3,4,0,"Alex Caruso, Kyle Kuzma, Markieff Morris, Anthony Davis, Kentavious Caldwell-Pope",34,9,20,2,14,0.4146341463414634,15,2019-20,LAL,4.054054054054054,7,34
10,Alex Caruso,1627936,2,4,5,0,2,0.0,0,0,0,"Alex Caruso, Kyle Kuzma, Anthony Davis, LeBron James, Dwight Howard",2,1,3,0,1,0.25,0,2019-20,LAL,0.0,0,4
11,Kyle Kuzma,1628398,2,4,5,2,2,1.0,1,0,0,"Alex Caruso, Kyle Kuzma, Anthony Davis, LeBron James, Dwight Howard",2,1,3,0,1,0.25,0,2019-20,LAL,37.5,1,4
12,Anthony Davis,203076,2,4,5,0,2,0.0,1,0,0,"Alex Caruso, Kyle Kuzma, Anthony Davis, LeBron James, Dwight Howard",2,1,3,0,1,0.25,0,2019-20,LAL,0.0,1,4
13,LeBron James,2544,2,4,5,0,2,0.0,1,1,0,"Alex Caruso, Kyle Kuzma, Anthony Davis, LeBron James, Dwight Howard",2,1,3,0,1,0.25,0,2019-20,LAL,0.0,2,4
14,Dwight Howard,2730,2,4,5,0,2,0.0,0,0,0,"Alex Caruso, Kyle Kuzma, Anthony Davis, LeBron James, Dwight Howard",2,1,3,0,1,0.25,0,2019-20,LAL,0.0,0,4
