,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
0,Jared Dudley,201162,4,9,9,3,13,1.5,0,1,0,"Jared Dudley, Avery Bradley, Kentavious Caldwell-Pope, LeBron James, Dwight Howard",11,2,5,2,5,0.5,2,2019-20,LAL,25.0,1,10
1,Avery Bradley,202340,4,9,9,0,13,0.0,0,1,0,"Jared Dudley, Avery Bradley, Kentavious Caldwell-Pope, LeBron James, Dwight Howard",11,2,5,2,5,0.5,2,2019-20,LAL,0.0,1,10
2,Kentavious Caldwell-Pope,203484,4,9,9,3,13,1.5,0,1,0,"Jared Dudley, Avery Bradley, Kentavious Caldwell-Pope, LeBron James, Dwight Howard",11,2,5,2,5,0.5,2,2019-20,LAL,25.0,1,10
3,LeBron James,2544,4,9,9,2,13,0.25,2,2,0,"Jared Dudley, Avery Bradley, Kentavious Caldwell-Pope, LeBron James, Dwight Howard",11,2,5,2,5,0.5,2,2019-20,LAL,16.666666666666668,4,10
4,Dwight Howard,2730,4,9,9,3,13,0.375,3,0,2,"Jared Dudley, Avery Bradley, Kentavious Caldwell-Pope, LeBron James, Dwight Howard",11,2,5,2,5,0.5,2,2019-20,LAL,25.0,3,10
5,Avery Bradley,202340,2,5,5,0,4,0.0,0,0,0,"Avery Bradley, Markieff Morris, Anthony Davis, Kentavious Caldwell-Pope, LeBron James",6,2,3,0,1,0.6,2,2019-20,LAL,0.0,0,4
6,Markieff Morris,202693,2,5,5,2,4,1.0,1,0,0,"Avery Bradley, Markieff Morris, Anthony Davis, Kentavious Caldwell-Pope, LeBron James",6,2,3,0,1,0.6,2,2019-20,LAL,30.0,1,4
7,Anthony Davis,203076,2,5,5,2,4,0.5,1,0,2,"Avery Bradley, Markieff Morris, Anthony Davis, Kentavious Caldwell-Pope, LeBron James",6,2,3,0,1,0.6,2,2019-20,LAL,30.0,1,4
8,Kentavious Caldwell-Pope,203484,2,5,5,0,4,0.0,0,0,0,"Avery Bradley, Markieff Morris, Anthony Davis, Kentavious Caldwell-Pope, LeBron James",6,2,3,0,1,0.6,2,2019-20,LAL,0.0,0,4
9,LeBron James,2544,2,5,5,2,4,0.5,1,1,0,"Avery Bradley, Markieff Morris, Anthony Davis, Kentavious Caldwell-Pope, LeBron James",6,2,3,0,1,0.6,2,2019-20,LAL,30.0,2,4
