,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
0,Rajon Rondo,200765,6,13,15,2,12,1.0,1,0,0,"Rajon Rondo, Jared Dudley, Kentavious Caldwell-Pope, LeBron James, Dwight Howard",15,5,6,1,4,0.6818181818181818,2,2019-20,LAL,11.538461538461538,1,10
1,Jared Dudley,201162,6,13,15,0,12,0.0,0,0,0,"Rajon Rondo, Jared Dudley, Kentavious Caldwell-Pope, LeBron James, Dwight Howard",15,5,6,1,4,0.6818181818181818,2,2019-20,LAL,0.0,0,10
2,Kentavious Caldwell-Pope,203484,6,13,15,0,12,0.0,0,0,0,"Rajon Rondo, Jared Dudley, Kentavious Caldwell-Pope, LeBron James, Dwight Howard",15,5,6,1,4,0.6818181818181818,2,2019-20,LAL,0.0,0,10
3,LeBron James,2544,6,13,15,7,12,0.5,3,4,0,"Rajon Rondo, Jared Dudley, Kentavious Caldwell-Pope, LeBron James, Dwight Howard",15,5,6,1,4,0.6818181818181818,2,2019-20,LAL,40.38461538461539,7,10
4,Dwight Howard,2730,6,13,15,6,12,1.0,2,0,2,"Rajon Rondo, Jared Dudley, Kentavious Caldwell-Pope, LeBron James, Dwight Howard",15,5,6,1,4,0.6818181818181818,2,2019-20,LAL,34.61538461538461,2,10
5,Quinn Cook,1626188,5,8,10,0,7,0.0,1,1,0,"Quinn Cook, Kyle Kuzma, Jared Dudley, JaVale McGee, Troy Daniels",11,2,3,2,5,0.6111111111111112,2,2019-20,LAL,0.0,2,8
6,Kyle Kuzma,1628398,5,8,10,2,7,0.5,1,1,0,"Quinn Cook, Kyle Kuzma, Jared Dudley, JaVale McGee, Troy Daniels",11,2,3,2,5,0.6111111111111112,2,2019-20,LAL,18.75,2,8
7,Jared Dudley,201162,5,8,10,0,7,0.0,0,1,0,"Quinn Cook, Kyle Kuzma, Jared Dudley, JaVale McGee, Troy Daniels",11,2,3,2,5,0.6111111111111112,2,2019-20,LAL,0.0,1,8
8,JaVale McGee,201580,5,8,10,4,7,1.0,0,1,2,"Quinn Cook, Kyle Kuzma, Jared Dudley, JaVale McGee, Troy Daniels",11,2,3,2,5,0.6111111111111112,2,2019-20,LAL,37.5,1,8
9,Troy Daniels,203584,5,8,10,5,7,1.25,1,1,0,"Quinn Cook, Kyle Kuzma, Jared Dudley, JaVale McGee, Troy Daniels",11,2,3,2,5,0.6111111111111112,2,2019-20,LAL,46.875,2,8
10,Alex Caruso,1627936,2,4,4,0,7,0.0,0,0,0,"Alex Caruso, Anthony Davis, Kentavious Caldwell-Pope, Troy Daniels, LeBron James",2,1,5,0,0,0.2,0,2019-20,LAL,0.0,0,5
11,Anthony Davis,203076,2,4,4,2,7,0.5,2,0,0,"Alex Caruso, Anthony Davis, Kentavious Caldwell-Pope, Troy Daniels, LeBron James",2,1,5,0,0,0.2,0,2019-20,LAL,37.5,2,5
12,Kentavious Caldwell-Pope,203484,2,4,4,0,7,0.0,0,0,0,"Alex Caruso, Anthony Davis, Kentavious Caldwell-Pope, Troy Daniels, LeBron James",2,1,5,0,0,0.2,0,2019-20,LAL,0.0,0,5
13,Troy Daniels,203584,2,4,4,0,7,0.0,0,0,0,"Alex Caruso, Anthony Davis, Kentavious Caldwell-Pope, Troy Daniels, LeBron James",2,1,5,0,0,0.2,0,2019-20,LAL,0.0,0,5
14,LeBron James,2544,2,4,4,0,7,0.0,3,0,0,"Alex Caruso, Anthony Davis, Kentavious Caldwell-Pope, Troy Daniels, LeBron James",2,1,5,0,0,0.2,0,2019-20,LAL,0.0,3,5
15,Alex Caruso,1627936,60,124,119,18,102,0.6428571428571429,10,4,1,"Alex Caruso, Kyle Kuzma, Rajon Rondo, LeBron James, Dwight Howard",152,50,74,14,31,0.6909090909090909,14,2019-20,LAL,10.887096774193548,14,105
16,Kyle Kuzma,1628398,60,124,119,28,102,0.5384615384615384,18,7,3,"Alex Caruso, Kyle Kuzma, Rajon Rondo, LeBron James, Dwight Howard",152,50,74,14,31,0.6909090909090909,14,2019-20,LAL,16.93548387096774,25,105
17,Rajon Rondo,200765,60,124,119,30,102,0.7894736842105263,9,10,0,"Alex Caruso, Kyle Kuzma, Rajon Rondo, LeBron James, Dwight Howard",152,50,74,14,31,0.6909090909090909,14,2019-20,LAL,18.14516129032258,19,105
18,LeBron James,2544,60,124,119,53,102,0.7162162162162162,25,10,6,"Alex Caruso, Kyle Kuzma, Rajon Rondo, LeBron James, Dwight Howard",152,50,74,14,31,0.6909090909090909,14,2019-20,LAL,32.056451612903224,35,105
19,Dwight Howard,2730,60,124,119,23,102,0.8214285714285714,12,0,4,"Alex Caruso, Kyle Kuzma, Rajon Rondo, LeBron James, Dwight Howard",152,50,74,14,31,0.6909090909090909,14,2019-20,LAL,13.911290322580646,12,105
20,Alex Caruso,1627936,8,14,18,3,28,0.75,1,1,1,"Alex Caruso, Rajon Rondo, Avery Bradley, LeBron James, Dwight Howard",17,6,11,1,3,0.5666666666666667,4,2019-20,LAL,16.071428571428573,2,14
21,Rajon Rondo,200765,8,14,18,2,28,0.2,3,1,2,"Alex Caruso, Rajon Rondo, Avery Bradley, LeBron James, Dwight Howard",17,6,11,1,3,0.5666666666666667,4,2019-20,LAL,10.714285714285714,4,14
22,Avery Bradley,202340,8,14,18,2,28,0.5,2,0,0,"Alex Caruso, Rajon Rondo, Avery Bradley, LeBron James, Dwight Howard",17,6,11,1,3,0.5666666666666667,4,2019-20,LAL,10.714285714285714,2,14
23,LeBron James,2544,8,14,18,10,28,1.0,4,1,1,"Alex Caruso, Rajon Rondo, Avery Bradley, LeBron James, Dwight Howard",17,6,11,1,3,0.5666666666666667,4,2019-20,LAL,53.57142857142857,5,14
24,Dwight Howard,2730,8,14,18,0,28,0.0,1,0,0,"Alex Caruso, Rajon Rondo, Avery Bradley, LeBron James, Dwight Howard",17,6,11,1,3,0.5666666666666667,4,2019-20,LAL,0.0,1,14
25,Danny Green,201980,41,82,87,16,96,0.7272727272727273,5,6,0,"Danny Green, Anthony Davis, Kentavious Caldwell-Pope, LeBron James, Dwight Howard",109,32,51,8,28,0.5869565217391305,32,2019-20,LAL,14.634146341463415,11,79
26,Anthony Davis,203076,41,82,87,27,96,0.5869565217391305,14,5,10,"Danny Green, Anthony Davis, Kentavious Caldwell-Pope, LeBron James, Dwight Howard",109,32,51,8,28,0.5869565217391305,32,2019-20,LAL,24.695121951219512,19,79
27,Kentavious Caldwell-Pope,203484,41,82,87,22,96,0.65625,3,12,3,"Danny Green, Anthony Davis, Kentavious Caldwell-Pope, LeBron James, Dwight Howard",109,32,51,8,28,0.5869565217391305,32,2019-20,LAL,20.121951219512194,15,79
28,LeBron James,2544,41,82,87,28,96,0.4827586206896552,20,5,10,"Danny Green, Anthony Davis, Kentavious Caldwell-Pope, LeBron James, Dwight Howard",109,32,51,8,28,0.5869565217391305,32,2019-20,LAL,25.609756097560975,25,79
29,Dwight Howard,2730,41,82,87,16,96,0.6153846153846154,9,0,9,"Danny Green, Anthony Davis, Kentavious Caldwell-Pope, LeBron James, Dwight Howard",109,32,51,8,28,0.5869565217391305,32,2019-20,LAL,14.634146341463415,9,79
30,Kostas Antetokounmpo,1628961,6,13,14,4,14,1.0,2,0,0,"Kostas Antetokounmpo, Talen Horton-Tucker, Jared Dudley, Dion Waiters, JR Smith",20,7,8,2,3,0.9090909090909091,0,2019-20,LAL,23.076923076923077,2,11
31,Talen Horton-Tucker,1629659,6,13,14,4,14,1.0,2,0,0,"Kostas Antetokounmpo, Talen Horton-Tucker, Jared Dudley, Dion Waiters, JR Smith",20,7,8,2,3,0.9090909090909091,0,2019-20,LAL,23.076923076923077,2,11
32,Jared Dudley,201162,6,13,14,3,14,1.5,0,1,0,"Kostas Antetokounmpo, Talen Horton-Tucker, Jared Dudley, Dion Waiters, JR Smith",20,7,8,2,3,0.9090909090909091,0,2019-20,LAL,17.307692307692307,1,11
33,Dion Waiters,203079,6,13,14,7,14,0.875,3,1,0,"Kostas Antetokounmpo, Talen Horton-Tucker, Jared Dudley, Dion Waiters, JR Smith",20,7,8,2,3,0.9090909090909091,0,2019-20,LAL,40.38461538461539,4,11
34,JR Smith,2747,6,13,14,2,14,0.5,1,1,0,"Kostas Antetokounmpo, Talen Horton-Tucker, Jared Dudley, Dion Waiters, JR Smith",20,7,8,2,3,0.9090909090909091,0,2019-20,LAL,11.538461538461538,2,11
35,Kyle Kuzma,1628398,5,11,10,2,7,0.3333333333333333,3,0,0,"Kyle Kuzma, Rajon Rondo, Markieff Morris, Kentavious Caldwell-Pope, Dwight Howard",9,3,6,1,4,0.45,0,2019-20,LAL,13.636363636363637,3,10
36,Rajon Rondo,200765,5,11,10,2,7,0.3333333333333333,2,1,0,"Kyle Kuzma, Rajon Rondo, Markieff Morris, Kentavious Caldwell-Pope, Dwight Howard",9,3,6,1,4,0.45,0,2019-20,LAL,13.636363636363637,3,10
37,Markieff Morris,202693,5,11,10,0,7,0.0,0,0,0,"Kyle Kuzma, Rajon Rondo, Markieff Morris, Kentavious Caldwell-Pope, Dwight Howard",9,3,6,1,4,0.45,0,2019-20,LAL,0.0,0,10
38,Kentavious Caldwell-Pope,203484,5,11,10,5,7,0.625,1,3,0,"Kyle Kuzma, Rajon Rondo, Markieff Morris, Kentavious Caldwell-Pope, Dwight Howard",9,3,6,1,4,0.45,0,2019-20,LAL,34.09090909090909,4,10
39,Dwight Howard,2730,5,11,10,0,7,0.0,0,0,0,"Kyle Kuzma, Rajon Rondo, Markieff Morris, Kentavious Caldwell-Pope, Dwight Howard",9,3,6,1,4,0.45,0,2019-20,LAL,0.0,0,10
40,Talen Horton-Tucker,1629659,6,14,14,3,19,0.3,2,3,0,"Talen Horton-Tucker, JaVale McGee, Danny Green, Markieff Morris, LeBron James",19,3,7,4,7,0.6785714285714286,1,2019-20,LAL,16.071428571428573,5,14
41,JaVale McGee,201580,6,14,14,2,19,0.5,2,0,0,"Talen Horton-Tucker, JaVale McGee, Danny Green, Markieff Morris, LeBron James",19,3,7,4,7,0.6785714285714286,1,2019-20,LAL,10.714285714285714,2,14
42,Danny Green,201980,6,14,14,0,19,0.0,0,1,0,"Talen Horton-Tucker, JaVale McGee, Danny Green, Markieff Morris, LeBron James",19,3,7,4,7,0.6785714285714286,1,2019-20,LAL,0.0,1,14
43,Markieff Morris,202693,6,14,14,9,19,1.5,0,3,0,"Talen Horton-Tucker, JaVale McGee, Danny Green, Markieff Morris, LeBron James",19,3,7,4,7,0.6785714285714286,1,2019-20,LAL,48.214285714285715,3,14
44,LeBron James,2544,6,14,14,5,19,0.8333333333333334,3,0,1,"Talen Horton-Tucker, JaVale McGee, Danny Green, Markieff Morris, LeBron James",19,3,7,4,7,0.6785714285714286,1,2019-20,LAL,26.785714285714285,3,14
45,Kyle Kuzma,1628398,51,116,111,25,110,0.5434782608695652,6,14,6,"Kyle Kuzma, Danny Green, Avery Bradley, Anthony Davis, LeBron James",120,31,56,11,41,0.5405405405405406,32,2019-20,LAL,16.163793103448278,20,97
46,Danny Green,201980,51,116,111,6,110,0.23076923076923078,4,8,2,"Kyle Kuzma, Danny Green, Avery Bradley, Anthony Davis, LeBron James",120,31,56,11,41,0.5405405405405406,32,2019-20,LAL,3.8793103448275863,12,97
47,Avery Bradley,202340,51,116,111,9,110,0.5625,5,2,3,"Kyle Kuzma, Danny Green, Avery Bradley, Anthony Davis, LeBron James",120,31,56,11,41,0.5405405405405406,32,2019-20,LAL,5.818965517241379,7,97
48,Anthony Davis,203076,51,116,111,37,110,0.5441176470588235,25,6,6,"Kyle Kuzma, Danny Green, Avery Bradley, Anthony Davis, LeBron James",120,31,56,11,41,0.5405405405405406,32,2019-20,LAL,23.92241379310345,31,97
49,LeBron James,2544,51,116,111,43,110,0.6515151515151515,16,11,15,"Kyle Kuzma, Danny Green, Avery Bradley, Anthony Davis, LeBron James",120,31,56,11,41,0.5405405405405406,32,2019-20,LAL,27.801724137931036,27,97
50,Kyle Kuzma,1628398,5,10,11,3,10,0.75,0,2,0,"Kyle Kuzma, Markieff Morris, Dion Waiters, LeBron James, JR Smith",9,2,6,1,2,0.5,3,2019-20,LAL,22.5,2,8
51,Markieff Morris,202693,5,10,11,1,10,0.25,1,0,2,"Kyle Kuzma, Markieff Morris, Dion Waiters, LeBron James, JR Smith",9,2,6,1,2,0.5,3,2019-20,LAL,7.5,1,8
52,Dion Waiters,203079,5,10,11,0,10,0.0,1,0,0,"Kyle Kuzma, Markieff Morris, Dion Waiters, LeBron James, JR Smith",9,2,6,1,2,0.5,3,2019-20,LAL,0.0,1,8
53,LeBron James,2544,5,10,11,5,10,0.625,4,0,1,"Kyle Kuzma, Markieff Morris, Dion Waiters, LeBron James, JR Smith",9,2,6,1,2,0.5,3,2019-20,LAL,37.5,4,8
54,JR Smith,2747,5,10,11,0,10,0.0,0,0,0,"Kyle Kuzma, Markieff Morris, Dion Waiters, LeBron James, JR Smith",9,2,6,1,2,0.5,3,2019-20,LAL,0.0,0,8
55,Alex Caruso,1627936,13,28,28,0,23,0.0,3,1,2,"Alex Caruso, Kyle Kuzma, Markieff Morris, Kentavious Caldwell-Pope, Dwight Howard",32,11,19,2,6,0.5714285714285714,9,2019-20,LAL,0.0,4,25
56,Kyle Kuzma,1628398,13,28,28,12,23,0.5454545454545454,9,2,1,"Alex Caruso, Kyle Kuzma, Markieff Morris, Kentavious Caldwell-Pope, Dwight Howard",32,11,19,2,6,0.5714285714285714,9,2019-20,LAL,32.142857142857146,11,25
57,Markieff Morris,202693,13,28,28,8,23,1.0,2,2,0,"Alex Caruso, Kyle Kuzma, Markieff Morris, Kentavious Caldwell-Pope, Dwight Howard",32,11,19,2,6,0.5714285714285714,9,2019-20,LAL,21.428571428571427,4,25
58,Kentavious Caldwell-Pope,203484,13,28,28,4,23,0.5,3,1,1,"Alex Caruso, Kyle Kuzma, Markieff Morris, Kentavious Caldwell-Pope, Dwight Howard",32,11,19,2,6,0.5714285714285714,9,2019-20,LAL,10.714285714285714,4,25
59,Dwight Howard,2730,13,28,28,8,23,1.0,2,0,5,"Alex Caruso, Kyle Kuzma, Markieff Morris, Kentavious Caldwell-Pope, Dwight Howard",32,11,19,2,6,0.5714285714285714,9,2019-20,LAL,21.428571428571427,2,25
60,Quinn Cook,1626188,6,15,14,3,21,1.5,0,1,0,"Quinn Cook, JaVale McGee, Kentavious Caldwell-Pope, Troy Daniels, LeBron James",19,2,4,4,6,0.7916666666666666,4,2019-20,LAL,15.0,1,10
61,JaVale McGee,201580,6,15,14,4,21,0.6666666666666666,3,0,0,"Quinn Cook, JaVale McGee, Kentavious Caldwell-Pope, Troy Daniels, LeBron James",19,2,4,4,6,0.7916666666666666,4,2019-20,LAL,20.0,3,10
62,Kentavious Caldwell-Pope,203484,6,15,14,0,21,0.0,0,1,0,"Quinn Cook, JaVale McGee, Kentavious Caldwell-Pope, Troy Daniels, LeBron James",19,2,4,4,6,0.7916666666666666,4,2019-20,LAL,0.0,1,10
63,Troy Daniels,203584,6,15,14,3,21,1.5,0,1,0,"Quinn Cook, JaVale McGee, Kentavious Caldwell-Pope, Troy Daniels, LeBron James",19,2,4,4,6,0.7916666666666666,4,2019-20,LAL,15.0,1,10
64,LeBron James,2544,6,15,14,9,21,0.75,1,3,4,"Quinn Cook, JaVale McGee, Kentavious Caldwell-Pope, Troy Daniels, LeBron James",19,2,4,4,6,0.7916666666666666,4,2019-20,LAL,45.0,4,10
65,Rajon Rondo,200765,3,7,7,2,9,1.0,1,0,0,"Rajon Rondo, Danny Green, Anthony Davis, Kentavious Caldwell-Pope, Troy Daniels",15,3,4,3,4,0.9375,1,2019-20,LAL,21.428571428571427,1,8
66,Danny Green,201980,3,7,7,6,9,1.5,0,2,1,"Rajon Rondo, Danny Green, Anthony Davis, Kentavious Caldwell-Pope, Troy Daniels",15,3,4,3,4,0.9375,1,2019-20,LAL,64.28571428571429,2,8
67,Anthony Davis,203076,3,7,7,2,9,0.5,2,0,0,"Rajon Rondo, Danny Green, Anthony Davis, Kentavious Caldwell-Pope, Troy Daniels",15,3,4,3,4,0.9375,1,2019-20,LAL,21.428571428571427,2,8
68,Kentavious Caldwell-Pope,203484,3,7,7,5,9,1.25,1,1,0,"Rajon Rondo, Danny Green, Anthony Davis, Kentavious Caldwell-Pope, Troy Daniels",15,3,4,3,4,0.9375,1,2019-20,LAL,53.57142857142857,2,8
69,Troy Daniels,203584,3,7,7,0,9,0.0,0,1,0,"Rajon Rondo, Danny Green, Anthony Davis, Kentavious Caldwell-Pope, Troy Daniels",15,3,4,3,4,0.9375,1,2019-20,LAL,0.0,1,8
70,Quinn Cook,1626188,5,12,10,2,9,0.2,3,2,0,"Quinn Cook, Rajon Rondo, Jared Dudley, Troy Daniels, Dwight Howard",6,2,4,0,8,0.23076923076923078,2,2019-20,LAL,12.5,5,12
71,Rajon Rondo,200765,5,12,10,0,9,0.0,0,3,0,"Quinn Cook, Rajon Rondo, Jared Dudley, Troy Daniels, Dwight Howard",6,2,4,0,8,0.23076923076923078,2,2019-20,LAL,0.0,3,12
72,Jared Dudley,201162,5,12,10,0,9,0.0,0,0,0,"Quinn Cook, Rajon Rondo, Jared Dudley, Troy Daniels, Dwight Howard",6,2,4,0,8,0.23076923076923078,2,2019-20,LAL,0.0,0,12
73,Troy Daniels,203584,5,12,10,2,9,0.25,1,3,0,"Quinn Cook, Rajon Rondo, Jared Dudley, Troy Daniels, Dwight Howard",6,2,4,0,8,0.23076923076923078,2,2019-20,LAL,12.5,4,12
74,Dwight Howard,2730,5,12,10,2,9,1.0,0,0,2,"Quinn Cook, Rajon Rondo, Jared Dudley, Troy Daniels, Dwight Howard",6,2,4,0,8,0.23076923076923078,2,2019-20,LAL,12.5,0,12
75,Kyle Kuzma,1628398,12,27,24,11,19,0.6111111111111112,4,3,4,"Kyle Kuzma, JaVale McGee, Danny Green, Kentavious Caldwell-Pope, LeBron James",38,10,13,4,13,0.6333333333333333,8,2019-20,LAL,30.555555555555557,7,26
76,JaVale McGee,201580,12,27,24,6,19,1.0,2,0,2,"Kyle Kuzma, JaVale McGee, Danny Green, Kentavious Caldwell-Pope, LeBron James",38,10,13,4,13,0.6333333333333333,8,2019-20,LAL,16.666666666666668,2,26
77,Danny Green,201980,12,27,24,6,19,0.6,1,4,0,"Kyle Kuzma, JaVale McGee, Danny Green, Kentavious Caldwell-Pope, LeBron James",38,10,13,4,13,0.6333333333333333,8,2019-20,LAL,16.666666666666668,5,26
78,Kentavious Caldwell-Pope,203484,12,27,24,0,19,0.0,0,2,0,"Kyle Kuzma, JaVale McGee, Danny Green, Kentavious Caldwell-Pope, LeBron James",38,10,13,4,13,0.6333333333333333,8,2019-20,LAL,0.0,2,26
79,LeBron James,2544,12,27,24,15,19,0.6818181818181818,6,4,2,"Kyle Kuzma, JaVale McGee, Danny Green, Kentavious Caldwell-Pope, LeBron James",38,10,13,4,13,0.6333333333333333,8,2019-20,LAL,41.666666666666664,10,26
80,Alex Caruso,1627936,2,6,7,0,10,0.0,0,0,0,"Alex Caruso, Kyle Kuzma, Rajon Rondo, Danny Green, Anthony Davis",2,1,3,0,2,0.2,0,2019-20,LAL,0.0,0,5
