,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
0,O.J. Mayo,201564,23,44,41,6,34,0.3,9,1,0,"O.J. Mayo, John Henson, Khris Middleton, Michael Carter-Williams, Giannis Antetokounmpo",38,14,34,2,8,0.4222222222222222,6,2014-15,MIL,10.227272727272727,10,42
1,John Henson,203089,23,44,41,7,34,0.7,4,0,2,"O.J. Mayo, John Henson, Khris Middleton, Michael Carter-Williams, Giannis Antetokounmpo",38,14,34,2,8,0.4222222222222222,6,2014-15,MIL,11.931818181818182,4,42
2,Khris Middleton,203114,23,44,41,15,34,0.4411764705882353,9,6,4,"O.J. Mayo, John Henson, Khris Middleton, Michael Carter-Williams, Giannis Antetokounmpo",38,14,34,2,8,0.4222222222222222,6,2014-15,MIL,25.568181818181817,15,42
3,Michael Carter-Williams,203487,23,44,41,6,34,0.375,7,1,0,"O.J. Mayo, John Henson, Khris Middleton, Michael Carter-Williams, Giannis Antetokounmpo",38,14,34,2,8,0.4222222222222222,6,2014-15,MIL,10.227272727272727,8,42
4,Giannis Antetokounmpo,203507,23,44,41,4,34,0.4,5,0,0,"O.J. Mayo, John Henson, Khris Middleton, Michael Carter-Williams, Giannis Antetokounmpo",38,14,34,2,8,0.4222222222222222,6,2014-15,MIL,6.818181818181818,5,42
5,Jared Dudley,201162,24,46,45,9,34,0.6428571428571429,2,4,2,"Jared Dudley, O.J. Mayo, Jerryd Bayless, John Henson, Giannis Antetokounmpo",50,18,36,2,9,0.49019607843137253,13,2014-15,MIL,14.673913043478262,6,45
6,O.J. Mayo,201564,24,46,45,12,34,0.5,9,3,0,"Jared Dudley, O.J. Mayo, Jerryd Bayless, John Henson, Giannis Antetokounmpo",50,18,36,2,9,0.49019607843137253,13,2014-15,MIL,19.565217391304348,12,45
7,Jerryd Bayless,201573,24,46,45,10,34,0.38461538461538464,9,1,6,"Jared Dudley, O.J. Mayo, Jerryd Bayless, John Henson, Giannis Antetokounmpo",50,18,36,2,9,0.49019607843137253,13,2014-15,MIL,16.304347826086957,10,45
8,John Henson,203089,24,46,45,11,34,0.55,8,1,2,"Jared Dudley, O.J. Mayo, Jerryd Bayless, John Henson, Giannis Antetokounmpo",50,18,36,2,9,0.49019607843137253,13,2014-15,MIL,17.934782608695652,9,45
9,Giannis Antetokounmpo,203507,24,46,45,8,34,0.4444444444444444,8,0,3,"Jared Dudley, O.J. Mayo, Jerryd Bayless, John Henson, Giannis Antetokounmpo",50,18,36,2,9,0.49019607843137253,13,2014-15,MIL,13.043478260869565,8,45
10,Jerryd Bayless,201573,12,20,20,3,29,0.5,0,3,0,"Jerryd Bayless, Miles Plumlee, Jorge Gutierrez, Tyler Ennis, Johnny O'Bryant III",14,5,19,1,6,0.2692307692307692,2,2014-15,MIL,11.25,3,25
11,Miles Plumlee,203101,12,20,20,1,29,0.0625,7,0,2,"Jerryd Bayless, Miles Plumlee, Jorge Gutierrez, Tyler Ennis, Johnny O'Bryant III",14,5,19,1,6,0.2692307692307692,2,2014-15,MIL,3.75,7,25
12,Jorge Gutierrez,203268,12,20,20,2,29,0.5,2,0,0,"Jerryd Bayless, Miles Plumlee, Jorge Gutierrez, Tyler Ennis, Johnny O'Bryant III",14,5,19,1,6,0.2692307692307692,2,2014-15,MIL,7.5,2,25
13,Tyler Ennis,203898,12,20,20,2,29,0.2,2,3,0,"Jerryd Bayless, Miles Plumlee, Jorge Gutierrez, Tyler Ennis, Johnny O'Bryant III",14,5,19,1,6,0.2692307692307692,2,2014-15,MIL,7.5,5,25
14,Johnny O'Bryant III,203948,12,20,20,6,29,0.375,8,0,0,"Jerryd Bayless, Miles Plumlee, Jorge Gutierrez, Tyler Ennis, Johnny O'Bryant III",14,5,19,1,6,0.2692307692307692,2,2014-15,MIL,22.5,8,25
15,Ersan Ilyasova,101141,18,32,34,7,33,0.3888888888888889,5,4,0,"Ersan Ilyasova, John Henson, Khris Middleton, Michael Carter-Williams, Giannis Antetokounmpo",30,12,24,1,8,0.42857142857142855,7,2014-15,MIL,16.40625,9,32
16,John Henson,203089,18,32,34,6,33,0.75,4,0,1,"Ersan Ilyasova, John Henson, Khris Middleton, Michael Carter-Williams, Giannis Antetokounmpo",30,12,24,1,8,0.42857142857142855,7,2014-15,MIL,14.0625,4,32
17,Khris Middleton,203114,18,32,34,6,33,0.375,5,2,2,"Ersan Ilyasova, John Henson, Khris Middleton, Michael Carter-Williams, Giannis Antetokounmpo",30,12,24,1,8,0.42857142857142855,7,2014-15,MIL,14.0625,7,32
18,Michael Carter-Williams,203487,18,32,34,6,33,0.42857142857142855,5,1,2,"Ersan Ilyasova, John Henson, Khris Middleton, Michael Carter-Williams, Giannis Antetokounmpo",30,12,24,1,8,0.42857142857142855,7,2014-15,MIL,14.0625,6,32
19,Giannis Antetokounmpo,203507,18,32,34,5,33,0.35714285714285715,5,1,2,"Ersan Ilyasova, John Henson, Khris Middleton, Michael Carter-Williams, Giannis Antetokounmpo",30,12,24,1,8,0.42857142857142855,7,2014-15,MIL,11.71875,6,32
20,Jared Dudley,201162,24,45,42,5,40,0.35714285714285715,4,3,0,"Jared Dudley, O.J. Mayo, Jerryd Bayless, John Henson, Khris Middleton",42,10,26,6,15,0.4772727272727273,8,2014-15,MIL,8.333333333333334,7,41
21,O.J. Mayo,201564,24,45,42,13,40,0.5416666666666666,7,5,0,"Jared Dudley, O.J. Mayo, Jerryd Bayless, John Henson, Khris Middleton",42,10,26,6,15,0.4772727272727273,8,2014-15,MIL,21.666666666666668,12,41
22,Jerryd Bayless,201573,24,45,42,10,40,0.5,9,0,3,"Jared Dudley, O.J. Mayo, Jerryd Bayless, John Henson, Khris Middleton",42,10,26,6,15,0.4772727272727273,8,2014-15,MIL,16.666666666666668,9,41
23,John Henson,203089,24,45,42,8,40,0.5714285714285714,5,0,5,"Jared Dudley, O.J. Mayo, Jerryd Bayless, John Henson, Khris Middleton",42,10,26,6,15,0.4772727272727273,8,2014-15,MIL,13.333333333333334,5,41
24,Khris Middleton,203114,24,45,42,6,40,0.375,1,7,0,"Jared Dudley, O.J. Mayo, Jerryd Bayless, John Henson, Khris Middleton",42,10,26,6,15,0.4772727272727273,8,2014-15,MIL,10.0,8,41
25,Jared Dudley,201162,19,37,38,7,41,0.7,2,2,2,"Jared Dudley, O.J. Mayo, John Henson, Khris Middleton, Michael Carter-Williams",26,7,21,1,5,0.41935483870967744,12,2014-15,MIL,14.18918918918919,4,26
26,O.J. Mayo,201564,19,37,38,2,41,0.14285714285714285,3,3,2,"Jared Dudley, O.J. Mayo, John Henson, Khris Middleton, Michael Carter-Williams",26,7,21,1,5,0.41935483870967744,12,2014-15,MIL,4.054054054054054,6,26
27,John Henson,203089,19,37,38,1,41,0.08333333333333333,4,0,4,"Jared Dudley, O.J. Mayo, John Henson, Khris Middleton, Michael Carter-Williams",26,7,21,1,5,0.41935483870967744,12,2014-15,MIL,2.027027027027027,4,26
28,Khris Middleton,203114,19,37,38,7,41,0.875,3,0,3,"Jared Dudley, O.J. Mayo, John Henson, Khris Middleton, Michael Carter-Williams",26,7,21,1,5,0.41935483870967744,12,2014-15,MIL,14.18918918918919,3,26
29,Michael Carter-Williams,203487,19,37,38,9,41,0.5,9,0,1,"Jared Dudley, O.J. Mayo, John Henson, Khris Middleton, Michael Carter-Williams",26,7,21,1,5,0.41935483870967744,12,2014-15,MIL,18.243243243243242,9,26
30,Ersan Ilyasova,101141,74,146,142,20,153,0.29411764705882354,22,9,6,"Ersan Ilyasova, Khris Middleton, Michael Carter-Williams, Giannis Antetokounmpo, Zaza Pachulia",126,48,125,4,20,0.4117647058823529,21,2014-15,MIL,10.273972602739725,31,145
31,Khris Middleton,203114,74,146,142,28,153,0.45161290322580644,20,10,3,"Ersan Ilyasova, Khris Middleton, Michael Carter-Williams, Giannis Antetokounmpo, Zaza Pachulia",126,48,125,4,20,0.4117647058823529,21,2014-15,MIL,14.383561643835616,30,145
32,Michael Carter-Williams,203487,74,146,142,33,153,0.55,29,1,2,"Ersan Ilyasova, Khris Middleton, Michael Carter-Williams, Giannis Antetokounmpo, Zaza Pachulia",126,48,125,4,20,0.4117647058823529,21,2014-15,MIL,16.95205479452055,30,145
33,Giannis Antetokounmpo,203507,74,146,142,23,153,0.3709677419354839,28,0,8,"Ersan Ilyasova, Khris Middleton, Michael Carter-Williams, Giannis Antetokounmpo, Zaza Pachulia",126,48,125,4,20,0.4117647058823529,21,2014-15,MIL,11.815068493150685,28,145
34,Zaza Pachulia,2585,74,146,142,22,153,0.4074074074074074,26,0,2,"Ersan Ilyasova, Khris Middleton, Michael Carter-Williams, Giannis Antetokounmpo, Zaza Pachulia",126,48,125,4,20,0.4117647058823529,21,2014-15,MIL,11.301369863013699,26,145
35,Jason Terry,1891,10,20,19,0,17,0.0,1,0,0,"Jason Terry, Michael Beasley, Greg Monroe, Khris Middleton, Matthew Dellavedova",24,9,16,2,2,0.6666666666666666,0,2016-17,MIL,0.0,1,18
36,Michael Beasley,201563,10,20,19,5,17,0.8333333333333334,2,1,0,"Jason Terry, Michael Beasley, Greg Monroe, Khris Middleton, Matthew Dellavedova",24,9,16,2,2,0.6666666666666666,0,2016-17,MIL,18.75,3,18
37,Greg Monroe,202328,10,20,19,8,17,0.6666666666666666,6,0,0,"Jason Terry, Michael Beasley, Greg Monroe, Khris Middleton, Matthew Dellavedova",24,9,16,2,2,0.6666666666666666,0,2016-17,MIL,30.0,6,18
38,Khris Middleton,203114,10,20,19,8,17,0.6666666666666666,6,0,0,"Jason Terry, Michael Beasley, Greg Monroe, Khris Middleton, Matthew Dellavedova",24,9,16,2,2,0.6666666666666666,0,2016-17,MIL,30.0,6,18
39,Matthew Dellavedova,203521,10,20,19,3,17,0.75,1,1,0,"Jason Terry, Michael Beasley, Greg Monroe, Khris Middleton, Matthew Dellavedova",24,9,16,2,2,0.6666666666666666,0,2016-17,MIL,11.25,2,18
40,Malcolm Brogdon,1627763,12,19,19,5,11,0.625,3,1,0,"Malcolm Brogdon, Greg Monroe, Khris Middleton, Giannis Antetokounmpo, Matthew Dellavedova",21,8,15,1,3,0.525,5,2016-17,MIL,19.736842105263158,4,18
41,Greg Monroe,202328,12,19,19,2,11,0.5,2,0,0,"Malcolm Brogdon, Greg Monroe, Khris Middleton, Giannis Antetokounmpo, Matthew Dellavedova",21,8,15,1,3,0.525,5,2016-17,MIL,7.894736842105263,2,18
42,Khris Middleton,203114,12,19,19,6,11,0.6,4,0,2,"Malcolm Brogdon, Greg Monroe, Khris Middleton, Giannis Antetokounmpo, Matthew Dellavedova",21,8,15,1,3,0.525,5,2016-17,MIL,23.68421052631579,4,18
43,Giannis Antetokounmpo,203507,12,19,19,8,11,0.6666666666666666,4,1,3,"Malcolm Brogdon, Greg Monroe, Khris Middleton, Giannis Antetokounmpo, Matthew Dellavedova",21,8,15,1,3,0.525,5,2016-17,MIL,31.57894736842105,5,18
44,Matthew Dellavedova,203521,12,19,19,0,11,0.0,2,1,0,"Malcolm Brogdon, Greg Monroe, Khris Middleton, Giannis Antetokounmpo, Matthew Dellavedova",21,8,15,1,3,0.525,5,2016-17,MIL,0.0,3,18
45,Malcolm Brogdon,1627763,21,38,40,2,52,0.2,5,0,0,"Malcolm Brogdon, Greg Monroe, Khris Middleton, Tony Snell, Giannis Antetokounmpo",46,9,27,6,8,0.575,11,2016-17,MIL,3.9473684210526314,5,35
46,Greg Monroe,202328,21,38,40,14,52,0.6363636363636364,7,0,9,"Malcolm Brogdon, Greg Monroe, Khris Middleton, Tony Snell, Giannis Antetokounmpo",46,9,27,6,8,0.575,11,2016-17,MIL,27.63157894736842,7,35
47,Khris Middleton,203114,21,38,40,7,52,0.4375,5,2,2,"Malcolm Brogdon, Greg Monroe, Khris Middleton, Tony Snell, Giannis Antetokounmpo",46,9,27,6,8,0.575,11,2016-17,MIL,13.81578947368421,7,35
48,Tony Snell,203503,21,38,40,12,52,1.0,1,5,0,"Malcolm Brogdon, Greg Monroe, Khris Middleton, Tony Snell, Giannis Antetokounmpo",46,9,27,6,8,0.575,11,2016-17,MIL,23.68421052631579,6,35
49,Giannis Antetokounmpo,203507,21,38,40,11,52,0.55,9,1,0,"Malcolm Brogdon, Greg Monroe, Khris Middleton, Tony Snell, Giannis Antetokounmpo",46,9,27,6,8,0.575,11,2016-17,MIL,21.710526315789473,10,35
50,Thon Maker,1627748,88,169,168,31,171,0.5166666666666667,18,9,7,"Thon Maker, Malcolm Brogdon, Khris Middleton, Tony Snell, Giannis Antetokounmpo",176,47,94,20,48,0.569078947368421,28,2016-17,MIL,13.757396449704142,27,142
51,Malcolm Brogdon,1627763,88,169,168,28,171,0.7,9,11,0,"Thon Maker, Malcolm Brogdon, Khris Middleton, Tony Snell, Giannis Antetokounmpo",176,47,94,20,48,0.569078947368421,28,2016-17,MIL,12.42603550295858,20,142
52,Khris Middleton,203114,88,169,168,28,171,0.4032258064516129,21,10,4,"Thon Maker, Malcolm Brogdon, Khris Middleton, Tony Snell, Giannis Antetokounmpo",176,47,94,20,48,0.569078947368421,28,2016-17,MIL,12.42603550295858,31,142
53,Tony Snell,203503,88,169,168,34,171,0.7727272727272727,6,16,0,"Thon Maker, Malcolm Brogdon, Khris Middleton, Tony Snell, Giannis Antetokounmpo",176,47,94,20,48,0.569078947368421,28,2016-17,MIL,15.088757396449704,22,142
54,Giannis Antetokounmpo,203507,88,169,168,55,171,0.5612244897959183,40,2,17,"Thon Maker, Malcolm Brogdon, Khris Middleton, Tony Snell, Giannis Antetokounmpo",176,47,94,20,48,0.569078947368421,28,2016-17,MIL,24.40828402366864,42,142
55,Jason Terry,1891,12,21,20,2,16,0.3333333333333333,1,2,0,"Jason Terry, Michael Beasley, Greg Monroe, Giannis Antetokounmpo, Matthew Dellavedova",14,6,20,0,3,0.2916666666666667,2,2016-17,MIL,7.142857142857143,3,23
56,Michael Beasley,201563,12,21,20,2,16,0.16666666666666666,5,1,0,"Jason Terry, Michael Beasley, Greg Monroe, Giannis Antetokounmpo, Matthew Dellavedova",14,6,20,0,3,0.2916666666666667,2,2016-17,MIL,7.142857142857143,6,23
57,Greg Monroe,202328,12,21,20,6,16,0.5,5,0,2,"Jason Terry, Michael Beasley, Greg Monroe, Giannis Antetokounmpo, Matthew Dellavedova",14,6,20,0,3,0.2916666666666667,2,2016-17,MIL,21.428571428571427,5,23
58,Giannis Antetokounmpo,203507,12,21,20,2,16,0.25,4,0,0,"Jason Terry, Michael Beasley, Greg Monroe, Giannis Antetokounmpo, Matthew Dellavedova",14,6,20,0,3,0.2916666666666667,2,2016-17,MIL,7.142857142857143,4,23
59,Matthew Dellavedova,203521,12,21,20,2,16,0.2,5,0,0,"Jason Terry, Michael Beasley, Greg Monroe, Giannis Antetokounmpo, Matthew Dellavedova",14,6,20,0,3,0.2916666666666667,2,2016-17,MIL,7.142857142857143,5,23
