,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
0,Jared Dudley,201162,45,86,88,7,73,0.2692307692307692,8,5,0,"Jared Dudley, Jerryd Bayless, John Henson, Khris Middleton, Giannis Antetokounmpo",57,16,60,5,13,0.358974358974359,12,2014-15,MIL,6.104651162790698,13,73
1,Jerryd Bayless,201573,45,86,88,9,73,0.3,11,4,0,"Jared Dudley, Jerryd Bayless, John Henson, Khris Middleton, Giannis Antetokounmpo",57,16,60,5,13,0.358974358974359,12,2014-15,MIL,7.848837209302325,15,73
2,John Henson,203089,45,86,88,4,73,0.25,8,0,0,"Jared Dudley, Jerryd Bayless, John Henson, Khris Middleton, Giannis Antetokounmpo",57,16,60,5,13,0.358974358974359,12,2014-15,MIL,3.488372093023256,8,73
3,Khris Middleton,203114,45,86,88,16,73,0.46875,11,4,3,"Jared Dudley, Jerryd Bayless, John Henson, Khris Middleton, Giannis Antetokounmpo",57,16,60,5,13,0.358974358974359,12,2014-15,MIL,13.953488372093023,15,73
4,Giannis Antetokounmpo,203507,45,86,88,21,73,0.40384615384615385,22,0,9,"Jared Dudley, Jerryd Bayless, John Henson, Khris Middleton, Giannis Antetokounmpo",57,16,60,5,13,0.358974358974359,12,2014-15,MIL,18.313953488372093,22,73
5,Ersan Ilyasova,101141,57,115,115,20,110,0.5263157894736842,15,3,2,"Ersan Ilyasova, Brandon Knight, Khris Middleton, Giannis Antetokounmpo, Zaza Pachulia",115,37,81,8,19,0.5275229357798165,19,2014-15,MIL,13.043478260869565,18,100
6,Brandon Knight,202688,57,115,115,29,110,0.46774193548387094,20,8,7,"Ersan Ilyasova, Brandon Knight, Khris Middleton, Giannis Antetokounmpo, Zaza Pachulia",115,37,81,8,19,0.5275229357798165,19,2014-15,MIL,18.91304347826087,28,100
7,Khris Middleton,203114,57,115,115,36,110,0.6923076923076923,17,8,2,"Ersan Ilyasova, Brandon Knight, Khris Middleton, Giannis Antetokounmpo, Zaza Pachulia",115,37,81,8,19,0.5275229357798165,19,2014-15,MIL,23.47826086956522,25,100
8,Giannis Antetokounmpo,203507,57,115,115,16,110,0.6666666666666666,10,0,4,"Ersan Ilyasova, Brandon Knight, Khris Middleton, Giannis Antetokounmpo, Zaza Pachulia",115,37,81,8,19,0.5275229357798165,19,2014-15,MIL,10.434782608695652,10,100
9,Zaza Pachulia,2585,57,115,115,14,110,0.3333333333333333,19,0,4,"Ersan Ilyasova, Brandon Knight, Khris Middleton, Giannis Antetokounmpo, Zaza Pachulia",115,37,81,8,19,0.5275229357798165,19,2014-15,MIL,9.130434782608695,19,100
10,O.J. Mayo,201564,137,273,278,64,308,0.5423728813559322,31,23,15,"O.J. Mayo, Larry Sanders, Brandon Knight, Giannis Antetokounmpo, Jabari Parker",276,92,197,13,40,0.5208333333333334,65,2014-15,MIL,17.582417582417584,54,237
11,Larry Sanders,202336,137,273,278,58,308,0.58,47,0,8,"O.J. Mayo, Larry Sanders, Brandon Knight, Giannis Antetokounmpo, Jabari Parker",276,92,197,13,40,0.5208333333333334,65,2014-15,MIL,15.934065934065934,47,237
12,Brandon Knight,202688,137,273,278,67,308,0.5789473684210527,29,15,28,"O.J. Mayo, Larry Sanders, Brandon Knight, Giannis Antetokounmpo, Jabari Parker",276,92,197,13,40,0.5208333333333334,65,2014-15,MIL,18.406593406593405,44,237
13,Giannis Antetokounmpo,203507,137,273,278,42,308,0.4117647058823529,45,2,8,"O.J. Mayo, Larry Sanders, Brandon Knight, Giannis Antetokounmpo, Jabari Parker",276,92,197,13,40,0.5208333333333334,65,2014-15,MIL,11.538461538461538,47,237
14,Jabari Parker,203953,137,273,278,45,308,0.4787234042553192,45,0,6,"O.J. Mayo, Larry Sanders, Brandon Knight, Giannis Antetokounmpo, Jabari Parker",276,92,197,13,40,0.5208333333333334,65,2014-15,MIL,12.362637362637363,45,237
15,Ersan Ilyasova,101141,43,88,83,18,85,0.42857142857142855,12,6,6,"Ersan Ilyasova, Jerryd Bayless, Khris Middleton, Giannis Antetokounmpo, Zaza Pachulia",90,26,53,5,19,0.5294117647058824,29,2014-15,MIL,15.340909090909092,18,72
16,Jerryd Bayless,201573,43,88,83,13,85,0.4642857142857143,8,2,9,"Ersan Ilyasova, Jerryd Bayless, Khris Middleton, Giannis Antetokounmpo, Zaza Pachulia",90,26,53,5,19,0.5294117647058824,29,2014-15,MIL,11.079545454545455,10,72
17,Khris Middleton,203114,43,88,83,22,85,0.55,9,11,0,"Ersan Ilyasova, Jerryd Bayless, Khris Middleton, Giannis Antetokounmpo, Zaza Pachulia",90,26,53,5,19,0.5294117647058824,29,2014-15,MIL,18.75,20,72
18,Giannis Antetokounmpo,203507,43,88,83,19,85,0.6785714285714286,11,0,6,"Ersan Ilyasova, Jerryd Bayless, Khris Middleton, Giannis Antetokounmpo, Zaza Pachulia",90,26,53,5,19,0.5294117647058824,29,2014-15,MIL,16.193181818181817,11,72
19,Zaza Pachulia,2585,43,88,83,18,85,0.5625,13,0,8,"Ersan Ilyasova, Jerryd Bayless, Khris Middleton, Giannis Antetokounmpo, Zaza Pachulia",90,26,53,5,19,0.5294117647058824,29,2014-15,MIL,15.340909090909092,13,72
20,Ersan Ilyasova,101141,26,46,47,21,38,0.5,14,5,4,"Ersan Ilyasova, Jared Dudley, Jerryd Bayless, Khris Middleton, Zaza Pachulia",56,19,35,3,11,0.5490196078431373,11,2014-15,MIL,34.23913043478261,19,46
21,Jared Dudley,201162,26,46,47,5,38,0.625,2,2,1,"Ersan Ilyasova, Jared Dudley, Jerryd Bayless, Khris Middleton, Zaza Pachulia",56,19,35,3,11,0.5490196078431373,11,2014-15,MIL,8.152173913043478,4,46
22,Jerryd Bayless,201573,26,46,47,8,38,0.6666666666666666,5,1,0,"Ersan Ilyasova, Jared Dudley, Jerryd Bayless, Khris Middleton, Zaza Pachulia",56,19,35,3,11,0.5490196078431373,11,2014-15,MIL,13.043478260869565,6,46
23,Khris Middleton,203114,26,46,47,11,38,0.5,7,3,2,"Ersan Ilyasova, Jared Dudley, Jerryd Bayless, Khris Middleton, Zaza Pachulia",56,19,35,3,11,0.5490196078431373,11,2014-15,MIL,17.934782608695652,10,46
24,Zaza Pachulia,2585,26,46,47,11,38,0.6111111111111112,7,0,4,"Ersan Ilyasova, Jared Dudley, Jerryd Bayless, Khris Middleton, Zaza Pachulia",56,19,35,3,11,0.5490196078431373,11,2014-15,MIL,17.934782608695652,7,46
25,Ersan Ilyasova,101141,28,51,53,12,53,0.42857142857142855,6,6,4,"Ersan Ilyasova, Khris Middleton, Giannis Antetokounmpo, Tyler Ennis, Zaza Pachulia",58,19,38,4,13,0.509090909090909,11,2014-15,MIL,17.647058823529413,12,51
26,Khris Middleton,203114,28,51,53,13,53,0.55,7,3,2,"Ersan Ilyasova, Khris Middleton, Giannis Antetokounmpo, Tyler Ennis, Zaza Pachulia",58,19,38,4,13,0.509090909090909,11,2014-15,MIL,19.11764705882353,10,51
27,Giannis Antetokounmpo,203507,28,51,53,12,53,0.8571428571428571,6,0,3,"Ersan Ilyasova, Khris Middleton, Giannis Antetokounmpo, Tyler Ennis, Zaza Pachulia",58,19,38,4,13,0.509090909090909,11,2014-15,MIL,17.647058823529413,6,51
28,Tyler Ennis,203898,28,51,53,7,53,0.35,6,4,0,"Ersan Ilyasova, Khris Middleton, Giannis Antetokounmpo, Tyler Ennis, Zaza Pachulia",58,19,38,4,13,0.509090909090909,11,2014-15,MIL,10.294117647058824,10,51
29,Zaza Pachulia,2585,28,51,53,14,53,0.5,13,0,2,"Ersan Ilyasova, Khris Middleton, Giannis Antetokounmpo, Tyler Ennis, Zaza Pachulia",58,19,38,4,13,0.509090909090909,11,2014-15,MIL,20.58823529411765,13,51
30,O.J. Mayo,201564,31,58,54,16,58,0.6153846153846154,6,6,2,"O.J. Mayo, Jerryd Bayless, Khris Middleton, Giannis Antetokounmpo, Zaza Pachulia",76,21,44,8,12,0.6333333333333333,10,2014-15,MIL,20.689655172413794,12,56
31,Jerryd Bayless,201573,31,58,54,14,58,0.5384615384615384,10,3,0,"O.J. Mayo, Jerryd Bayless, Khris Middleton, Giannis Antetokounmpo, Zaza Pachulia",76,21,44,8,12,0.6333333333333333,10,2014-15,MIL,18.103448275862068,13,56
32,Khris Middleton,203114,31,58,54,17,58,0.7727272727272727,7,2,4,"O.J. Mayo, Jerryd Bayless, Khris Middleton, Giannis Antetokounmpo, Zaza Pachulia",76,21,44,8,12,0.6333333333333333,10,2014-15,MIL,21.982758620689655,9,56
33,Giannis Antetokounmpo,203507,31,58,54,15,58,0.625,10,1,2,"O.J. Mayo, Jerryd Bayless, Khris Middleton, Giannis Antetokounmpo, Zaza Pachulia",76,21,44,8,12,0.6333333333333333,10,2014-15,MIL,19.396551724137932,11,56
34,Zaza Pachulia,2585,31,58,54,14,58,0.6363636363636364,11,0,2,"O.J. Mayo, Jerryd Bayless, Khris Middleton, Giannis Antetokounmpo, Zaza Pachulia",76,21,44,8,12,0.6333333333333333,10,2014-15,MIL,18.103448275862068,11,56
35,O.J. Mayo,201564,25,45,46,7,32,0.3888888888888889,7,2,0,"O.J. Mayo, Brandon Knight, Khris Middleton, Giannis Antetokounmpo, Zaza Pachulia",43,14,36,1,5,0.4574468085106383,14,2014-15,MIL,11.666666666666666,9,41
36,Brandon Knight,202688,25,45,46,7,32,0.2916666666666667,8,2,4,"O.J. Mayo, Brandon Knight, Khris Middleton, Giannis Antetokounmpo, Zaza Pachulia",43,14,36,1,5,0.4574468085106383,14,2014-15,MIL,11.666666666666666,10,41
37,Khris Middleton,203114,25,45,46,13,32,0.9285714285714286,6,0,3,"O.J. Mayo, Brandon Knight, Khris Middleton, Giannis Antetokounmpo, Zaza Pachulia",43,14,36,1,5,0.4574468085106383,14,2014-15,MIL,21.666666666666668,6,41
38,Giannis Antetokounmpo,203507,25,45,46,8,32,0.4,7,1,4,"O.J. Mayo, Brandon Knight, Khris Middleton, Giannis Antetokounmpo, Zaza Pachulia",43,14,36,1,5,0.4574468085106383,14,2014-15,MIL,13.333333333333334,8,41
