,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
0,Malik Beasley,1627736,5,12,12,3,13,1.5,0,1,0,"Malik Beasley, Jordan McLaughlin, Naz Reid, Anthony Edwards, Jaden McDaniels",11,1,4,2,3,0.6111111111111112,4,2021-22,MIN,18.75,1,7
1,Jordan McLaughlin,1629162,5,12,12,0,13,0.0,0,0,0,"Malik Beasley, Jordan McLaughlin, Naz Reid, Anthony Edwards, Jaden McDaniels",11,1,4,2,3,0.6111111111111112,4,2021-22,MIN,0.0,0,7
2,Naz Reid,1629675,5,12,12,4,13,1.0,1,0,2,"Malik Beasley, Jordan McLaughlin, Naz Reid, Anthony Edwards, Jaden McDaniels",11,1,4,2,3,0.6111111111111112,4,2021-22,MIN,25.0,1,7
3,Anthony Edwards,1630162,5,12,12,4,13,0.5,2,1,2,"Malik Beasley, Jordan McLaughlin, Naz Reid, Anthony Edwards, Jaden McDaniels",11,1,4,2,3,0.6111111111111112,4,2021-22,MIN,25.0,3,7
4,Jaden McDaniels,1630183,5,12,12,0,13,0.0,1,1,0,"Malik Beasley, Jordan McLaughlin, Naz Reid, Anthony Edwards, Jaden McDaniels",11,1,4,2,3,0.6111111111111112,4,2021-22,MIN,0.0,2,7
5,Taurean Prince,1627752,2,2,2,0,3,0.0,0,0,0,"Taurean Prince, Jarred Vanderbilt, Jordan McLaughlin, Naz Reid, Patrick Beverley",2,1,1,0,1,0.5,0,2021-22,MIN,0.0,0,2
6,Jarred Vanderbilt,1629020,2,2,2,0,3,0.0,0,0,0,"Taurean Prince, Jarred Vanderbilt, Jordan McLaughlin, Naz Reid, Patrick Beverley",2,1,1,0,1,0.5,0,2021-22,MIN,0.0,0,2
7,Jordan McLaughlin,1629162,2,2,2,2,3,1.0,1,0,0,"Taurean Prince, Jarred Vanderbilt, Jordan McLaughlin, Naz Reid, Patrick Beverley",2,1,1,0,1,0.5,0,2021-22,MIN,75.0,1,2
8,Naz Reid,1629675,2,2,2,0,3,0.0,0,0,0,"Taurean Prince, Jarred Vanderbilt, Jordan McLaughlin, Naz Reid, Patrick Beverley",2,1,1,0,1,0.5,0,2021-22,MIN,0.0,0,2
9,Patrick Beverley,201976,2,2,2,0,3,0.0,0,1,0,"Taurean Prince, Jarred Vanderbilt, Jordan McLaughlin, Naz Reid, Patrick Beverley",2,1,1,0,1,0.5,0,2021-22,MIN,0.0,1,2
