,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
0,Karl-Anthony Towns,1626157,11,26,26,16,30,0.8,5,2,6,"Karl-Anthony Towns, Taurean Prince, Jordan McLaughlin, Jaylen Nowell, Jaden McDaniels",35,9,10,3,7,0.8333333333333334,8,2021-22,MIN,46.15384615384615,7,17
1,Taurean Prince,1627752,11,26,26,0,30,0.0,0,1,0,"Karl-Anthony Towns, Taurean Prince, Jordan McLaughlin, Jaylen Nowell, Jaden McDaniels",35,9,10,3,7,0.8333333333333334,8,2021-22,MIN,0.0,1,17
2,Jordan McLaughlin,1629162,11,26,26,0,30,0.0,0,0,0,"Karl-Anthony Towns, Taurean Prince, Jordan McLaughlin, Jaylen Nowell, Jaden McDaniels",35,9,10,3,7,0.8333333333333334,8,2021-22,MIN,0.0,0,17
3,Jaylen Nowell,1629669,11,26,26,10,30,1.0,2,2,2,"Karl-Anthony Towns, Taurean Prince, Jordan McLaughlin, Jaylen Nowell, Jaden McDaniels",35,9,10,3,7,0.8333333333333334,8,2021-22,MIN,28.846153846153847,4,17
4,Jaden McDaniels,1630183,11,26,26,9,30,0.9,3,2,0,"Karl-Anthony Towns, Taurean Prince, Jordan McLaughlin, Jaylen Nowell, Jaden McDaniels",35,9,10,3,7,0.8333333333333334,8,2021-22,MIN,25.96153846153846,5,17
5,Malik Beasley,1627736,21,44,44,15,54,0.875,2,6,1,"Malik Beasley, Jordan McLaughlin, Naz Reid, Anthony Edwards, Jaden McDaniels",53,10,21,8,19,0.6071428571428571,9,2021-22,MIN,25.568181818181817,8,40
6,Jordan McLaughlin,1629162,21,44,44,3,54,0.5,0,3,0,"Malik Beasley, Jordan McLaughlin, Naz Reid, Anthony Edwards, Jaden McDaniels",53,10,21,8,19,0.6071428571428571,9,2021-22,MIN,5.113636363636363,3,40
7,Naz Reid,1629675,21,44,44,11,54,0.6111111111111112,6,1,5,"Malik Beasley, Jordan McLaughlin, Naz Reid, Anthony Edwards, Jaden McDaniels",53,10,21,8,19,0.6071428571428571,9,2021-22,MIN,18.75,7,40
8,Anthony Edwards,1630162,21,44,44,15,54,0.5,10,4,2,"Malik Beasley, Jordan McLaughlin, Naz Reid, Anthony Edwards, Jaden McDaniels",53,10,21,8,19,0.6071428571428571,9,2021-22,MIN,25.568181818181817,14,40
9,Jaden McDaniels,1630183,21,44,44,9,54,0.5625,3,5,1,"Malik Beasley, Jordan McLaughlin, Naz Reid, Anthony Edwards, Jaden McDaniels",53,10,21,8,19,0.6071428571428571,9,2021-22,MIN,15.340909090909092,8,40
10,D'Angelo Russell,1626156,3,6,6,2,5,0.3333333333333333,3,0,0,"D'Angelo Russell, Malik Beasley, Taurean Prince, Naz Reid, Patrick Beverley",10,3,5,1,2,0.7142857142857143,1,2021-22,MIN,25.0,3,7
11,Malik Beasley,1627736,3,6,6,0,5,0.0,0,0,0,"D'Angelo Russell, Malik Beasley, Taurean Prince, Naz Reid, Patrick Beverley",10,3,5,1,2,0.7142857142857143,1,2021-22,MIN,0.0,0,7
12,Taurean Prince,1627752,3,6,6,0,5,0.0,0,0,0,"D'Angelo Russell, Malik Beasley, Taurean Prince, Naz Reid, Patrick Beverley",10,3,5,1,2,0.7142857142857143,1,2021-22,MIN,0.0,0,7
13,Naz Reid,1629675,3,6,6,5,5,1.25,2,0,1,"D'Angelo Russell, Malik Beasley, Taurean Prince, Naz Reid, Patrick Beverley",10,3,5,1,2,0.7142857142857143,1,2021-22,MIN,62.5,2,7
14,Patrick Beverley,201976,3,6,6,3,5,0.75,0,2,0,"D'Angelo Russell, Malik Beasley, Taurean Prince, Naz Reid, Patrick Beverley",10,3,5,1,2,0.7142857142857143,1,2021-22,MIN,37.5,2,7
15,D'Angelo Russell,1626156,10,21,21,2,33,0.3333333333333333,2,1,0,"D'Angelo Russell, Malik Beasley, Taurean Prince, Jaylen Nowell, Naz Reid",22,7,12,2,9,0.5238095238095238,2,2021-22,MIN,7.142857142857143,3,21
