,Unnamed: 0,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
0,0.0,Justin Hamilton,203120,26,47,44,6,62,0.5,5,0,2,"Justin Hamilton, Lorenzo Brown, Zach LaVine, Adreian Payne, Andrew Wiggins",50,14,29,4,8,0.6097560975609756,10,2014-15,MIN,9.574468085106384,5,37
5,5.0,Thaddeus Young,201152,26,50,51,9,57,0.6428571428571429,6,1,0,"Thaddeus Young, Nikola Pekovic, Lorenzo Brown, Andrew Wiggins, Kevin Martin",47,12,38,4,7,0.47,12,2014-15,MIN,13.5,7,45
10,10.0,Justin Hamilton,203120,59,121,121,18,155,0.5294117647058824,11,2,8,"Justin Hamilton, Zach LaVine, Adreian Payne, Andrew Wiggins, Kevin Martin",115,39,95,3,10,0.4752066115702479,35,2014-15,MIN,11.15702479338843,13,105
15,15.0,Chase Budinger,201978,27,49,49,5,44,0.4166666666666667,2,4,1,"Chase Budinger, Gorgui Dieng, Zach LaVine, Andrew Wiggins, Kevin Martin",51,19,34,0,5,0.5543478260869565,16,2014-15,MIN,7.653061224489796,6,39
20,20.0,Chase Budinger,201978,36,73,70,7,70,0.35,7,3,0,"Chase Budinger, Justin Hamilton, Zach LaVine, Andrew Wiggins, Kevin Martin",78,24,50,4,11,0.5422535211267606,22,2014-15,MIN,7.191780821917808,10,61
25,25.0,Chase Budinger,201978,49,92,96,15,97,0.5,5,9,2,"Chase Budinger, Gorgui Dieng, Lorenzo Brown, Zach LaVine, Andrew Wiggins",93,22,50,5,15,0.5602409638554217,40,2014-15,MIN,12.228260869565217,14,65
30,30.0,Chase Budinger,201978,28,54,53,9,56,0.5,3,3,6,"Chase Budinger, Justin Hamilton, Zach LaVine, Adreian Payne, Andrew Wiggins",44,13,32,2,9,0.44,18,2014-15,MIN,12.5,6,41
35,35.0,Nikola Pekovic,201593,46,90,88,23,110,0.4259259259259259,24,0,8,"Nikola Pekovic, Ricky Rubio, Gorgui Dieng, Andrew Wiggins, Kevin Martin",109,32,70,4,14,0.5346534653465347,39,2014-15,MIN,19.166666666666668,24,84
40,40.0,Corey Brewer,201147,40,81,79,12,100,0.4285714285714285,10,1,6,"Corey Brewer, Anthony Bennett, Gorgui Dieng, Andrew Wiggins, Mo Williams",82,25,61,5,10,0.4939024390243902,24,2014-15,MIN,11.11111111111111,11,71
45,45.0,Thaddeus Young,201152,30,61,61,15,62,0.5357142857142857,11,0,6,"Thaddeus Young, Gorgui Dieng, Lorenzo Brown, Andrew Wiggins, Kevin Martin",72,21,50,4,7,0.5217391304347826,25,2014-15,MIN,18.442622950819672,11,57
50,50.0,Thaddeus Young,201152,32,65,64,24,54,0.6,13,2,10,"Thaddeus Young, Nikola Pekovic, Gorgui Dieng, Andrew Wiggins, Mo Williams",62,23,44,1,9,0.5083333333333333,15,2014-15,MIN,27.692307692307693,15,53
55,55.0,Gorgui Dieng,203476,52,93,92,12,112,0.5454545454545454,10,0,2,"Gorgui Dieng, Lorenzo Brown, Zach LaVine, Adreian Payne, Andrew Wiggins",94,32,67,5,13,0.5284090909090909,17,2014-15,MIN,9.67741935483871,10,80
60,60.0,Nikola Pekovic,201593,50,97,95,20,82,0.4166666666666667,22,0,4,"Nikola Pekovic, Ricky Rubio, Andrew Wiggins, Kevin Martin, Kevin Garnett",96,38,85,3,9,0.4615384615384615,21,2014-15,MIN,15.463917525773196,22,94
65,65.0,Thaddeus Young,201152,104,193,189,53,215,0.5,49,2,5,"Thaddeus Young, Robbie Hummel, Gorgui Dieng, Andrew Wiggins, Mo Williams",217,71,147,12,33,0.54,47,2014-15,MIN,20.59585492227979,51,180
70,70.0,Thaddeus Young,201152,126,250,245,59,246,0.6704545454545454,40,0,9,"Thaddeus Young, Nikola Pekovic, Ricky Rubio, Andrew Wiggins, Kevin Martin",277,91,185,15,37,0.5562248995983936,61,2014-15,MIN,17.7,40,222
75,75.0,Thaddeus Young,201152,24,45,47,4,46,0.4,4,0,2,"Thaddeus Young, Ricky Rubio, Gorgui Dieng, Andrew Wiggins, Kevin Martin",46,13,29,3,9,0.5227272727272727,13,2014-15,MIN,6.666666666666667,4,38
80,80.0,Corey Brewer,201147,20,40,40,8,41,0.5714285714285714,5,2,0,"Corey Brewer, Robbie Hummel, Gorgui Dieng, Shabazz Muhammad, Mo Williams",51,20,29,1,6,0.6710526315789473,8,2014-15,MIN,15.0,7,35
85,85.0,Ricky Rubio,201937,21,39,42,8,46,0.5714285714285714,4,2,3,"Ricky Rubio, Gary Neal, Gorgui Dieng, Andrew Wiggins, Kevin Garnett",46,13,26,1,4,0.5897435897435898,19,2014-15,MIN,15.384615384615383,6,30
90,90.0,Corey Brewer,201147,57,113,115,23,131,0.5,18,4,2,"Corey Brewer, Thaddeus Young, Gorgui Dieng, Andrew Wiggins, Mo Williams",124,41,84,9,19,0.5636363636363636,19,2014-15,MIN,15.265486725663717,22,103
95,95.0,Chase Budinger,201978,29,57,54,20,61,0.8333333333333334,5,4,7,"Chase Budinger, Justin Hamilton, Robbie Hummel, Zach LaVine, Andrew Wiggins",63,16,40,3,8,0.5338983050847458,26,2014-15,MIN,26.31578947368421,9,48
100,100.0,Thaddeus Young,201152,80,160,158,31,167,0.3780487804878049,31,3,14,"Thaddeus Young, Gorgui Dieng, Shabazz Muhammad, Andrew Wiggins, Mo Williams",190,60,121,11,25,0.5568862275449101,53,2014-15,MIN,14.53125,34,146
105,105.0,Thaddeus Young,201152,49,94,95,22,118,0.4583333333333333,20,3,3,"Thaddeus Young, Nikola Pekovic, Zach LaVine, Andrew Wiggins, Kevin Martin",103,36,80,5,10,0.5202020202020202,23,2014-15,MIN,17.5531914893617,23,90
110,110.0,Chase Budinger,201978,29,62,65,7,83,0.4375,5,2,2,"Chase Budinger, Anthony Bennett, Gorgui Dieng, Andrew Wiggins, Mo Williams",53,20,45,2,11,0.4416666666666666,8,2014-15,MIN,8.46774193548387,7,56
115,115.0,Thaddeus Young,201152,56,112,110,22,120,0.5,20,1,2,"Thaddeus Young, Nikola Pekovic, Andrew Wiggins, Mo Williams, Kevin Martin",122,37,81,4,17,0.5260869565217391,38,2014-15,MIN,14.732142857142858,21,98
120,120.0,Nikola Pekovic,201593,22,43,44,13,41,0.5416666666666666,8,0,8,"Nikola Pekovic, Ricky Rubio, Anthony Bennett, Andrew Wiggins, Kevin Martin",62,24,37,1,4,0.6595744680851063,13,2014-15,MIN,22.67441860465116,8,41
125,125.0,Corey Brewer,201147,32,63,63,13,64,0.7222222222222222,6,2,2,"Corey Brewer, Thaddeus Young, Nikola Pekovic, Ricky Rubio, Andrew Wiggins",68,23,51,3,7,0.5153846153846153,17,2014-15,MIN,15.476190476190476,8,58
130,130.0,Thaddeus Young,201152,21,43,44,12,44,0.6,6,2,4,"Thaddeus Young, Chase Budinger, Gorgui Dieng, Shabazz Muhammad, Mo Williams",48,16,32,1,5,0.5333333333333333,17,2014-15,MIN,20.930232558139537,8,37
135,135.0,Corey Brewer,201147,21,40,43,5,50,0.3571428571428571,5,1,2,"Corey Brewer, Thaddeus Young, Gorgui Dieng, Shabazz Muhammad, Zach LaVine",40,16,30,1,6,0.5,8,2014-15,MIN,9.375,6,36
140,140.0,Thaddeus Young,201152,29,54,55,13,45,0.5,10,1,4,"Thaddeus Young, Nikola Pekovic, Gorgui Dieng, Zach LaVine, Andrew Wiggins",59,20,39,3,5,0.6020408163265306,11,2014-15,MIN,18.05555555555556,11,44
145,145.0,Thaddeus Young,201152,151,290,295,65,358,0.4513888888888889,65,6,2,"Thaddeus Young, Gorgui Dieng, Shabazz Muhammad, Zach LaVine, Andrew Wiggins",304,108,227,14,37,0.5189003436426117,59,2014-15,MIN,16.810344827586206,71,264
150,150.0,Thaddeus Young,201152,71,144,142,31,150,0.4305555555555556,33,3,0,"Thaddeus Young, Chase Budinger, Gorgui Dieng, Andrew Wiggins, Mo Williams",140,51,110,5,15,0.5147058823529411,23,2014-15,MIN,16.145833333333332,36,125
155,155.0,Chase Budinger,201978,35,66,68,10,74,0.4545454545454545,7,4,0,"Chase Budinger, Lorenzo Brown, Zach LaVine, Adreian Payne, Andrew Wiggins",66,16,35,5,18,0.515625,23,2014-15,MIN,11.363636363636363,11,53
160,160.0,Corey Brewer,201147,145,283,280,46,296,0.3898305084745763,39,12,17,"Corey Brewer, Thaddeus Young, Gorgui Dieng, Zach LaVine, Andrew Wiggins",264,94,217,8,32,0.4631578947368421,79,2014-15,MIN,12.190812720848056,51,249
165,165.0,Ricky Rubio,201937,51,95,95,19,108,0.4318181818181818,13,7,5,"Ricky Rubio, Gary Neal, Gorgui Dieng, Adreian Payne, Andrew Wiggins",93,32,72,4,14,0.4690721649484536,26,2014-15,MIN,15.0,20,86
170,170.0,Ricky Rubio,201937,55,102,101,10,117,0.3333333333333333,12,3,0,"Ricky Rubio, Gorgui Dieng, Adreian Payne, Andrew Wiggins, Kevin Martin",100,34,78,2,16,0.4583333333333333,30,2014-15,MIN,7.352941176470588,15,94
175,175.0,Thaddeus Young,201152,27,54,52,13,51,0.5416666666666666,9,2,3,"Thaddeus Young, Gorgui Dieng, Andrew Wiggins, Mo Williams, Kevin Martin",66,21,34,3,10,0.6346153846153846,18,2014-15,MIN,18.05555555555556,11,44
180,180.0,Gorgui Dieng,203476,51,92,92,18,121,0.6923076923076923,12,0,4,"Gorgui Dieng, Zach LaVine, Adreian Payne, Andrew Wiggins, Kevin Martin",91,33,76,5,8,0.5,16,2014-15,MIN,14.673913043478262,12,84
185,185.0,Justin Hamilton,203120,31,64,62,4,85,0.5,2,1,2,"Justin Hamilton, Gorgui Dieng, Zach LaVine, Andrew Wiggins, Kevin Martin",49,16,39,2,6,0.4705882352941176,13,2014-15,MIN,4.6875,3,45
190,190.0,Nikola Pekovic,201593,43,82,80,20,90,0.5,18,0,4,"Nikola Pekovic, Ricky Rubio, Adreian Payne, Andrew Wiggins, Kevin Martin",81,30,74,3,10,0.4444444444444444,14,2014-15,MIN,18.29268292682927,18,84
0,,Karl-Anthony Towns,1626157,42,81,79,27,90,0.7105263157894737,16,0,7,"Karl-Anthony Towns, Ricky Rubio, Nemanja Bjelica, Shabazz Muhammad, Andrew Wiggins",90,31,55,3,16,0.5555555555555556,23,2015-16,MIN,25.0,16,71
5,,Nemanja Bjelica,202357,20,40,41,0,43,0.0,3,0,0,"Nemanja Bjelica, Gorgui Dieng, Zach LaVine, Andrew Wiggins, Kevin Martin",38,8,31,4,9,0.4222222222222222,11,2015-16,MIN,0.0,3,40
10,,Karl-Anthony Towns,1626157,31,65,63,9,81,0.5625,5,2,2,"Karl-Anthony Towns, Gorgui Dieng, Shabazz Muhammad, Zach LaVine, Andrew Wiggins",69,19,40,2,12,0.5075757575757576,31,2015-16,MIN,10.384615384615385,7,52
15,,Tyus Jones,1626145,33,61,65,9,63,0.6428571428571429,5,2,0,"Tyus Jones, Gorgui Dieng, Shabazz Muhammad, Zach LaVine, Adreian Payne",72,17,41,10,14,0.6,11,2015-16,MIN,11.065573770491802,7,55
20,,Karl-Anthony Towns,1626157,38,77,76,21,86,0.525,18,1,3,"Karl-Anthony Towns, Ricky Rubio, Nemanja Bjelica, Zach LaVine, Andrew Wiggins",87,29,51,3,13,0.5666666666666667,28,2015-16,MIN,20.454545454545453,19,64
25,,Karl-Anthony Towns,1626157,38,79,80,23,96,0.6764705882352942,15,0,4,"Karl-Anthony Towns, Ricky Rubio, Nemanja Bjelica, Andrew Wiggins, Kevin Martin",88,26,52,6,16,0.5641025641025641,21,2015-16,MIN,21.835443037974684,15,68
30,,Andre Miller,1889,27,49,51,7,58,0.7,4,0,2,"Andre Miller, Nemanja Bjelica, Gorgui Dieng, Shabazz Muhammad, Kevin Martin",61,22,35,2,11,0.5882352941176471,13,2015-16,MIN,10.714285714285714,4,46
35,,Karl-Anthony Towns,1626157,34,71,72,19,64,0.6333333333333333,11,3,2,"Karl-Anthony Towns, Zach LaVine, Andrew Wiggins, Kevin Martin, Kevin Garnett",78,24,47,8,17,0.5735294117647058,9,2015-16,MIN,20.070422535211268,14,64
40,,Karl-Anthony Towns,1626157,69,139,142,31,131,0.5344827586206896,24,2,6,"Karl-Anthony Towns, Ricky Rubio, Gorgui Dieng, Shabazz Muhammad, Andrew Wiggins",166,52,103,6,20,0.5582191780821918,53,2015-16,MIN,16.72661870503597,26,123
45,,Karl-Anthony Towns,1626157,41,75,75,24,86,0.5217391304347826,20,2,2,"Karl-Anthony Towns, Nikola Pekovic, Ricky Rubio, Andrew Wiggins, Tayshaun Prince",73,31,62,2,7,0.5069444444444444,7,2015-16,MIN,24.0,22,69
50,,Andre Miller,1889,38,72,73,7,70,0.875,3,1,1,"Andre Miller, Gorgui Dieng, Shabazz Muhammad, Zach LaVine, Damjan Rudez",87,26,45,5,14,0.6492537313432836,24,2015-16,MIN,7.291666666666667,4,59
55,,Karl-Anthony Towns,1626157,36,69,70,19,83,0.5588235294117647,15,0,5,"Karl-Anthony Towns, Zach LaVine, Andrew Wiggins, Tayshaun Prince, Kevin Garnett",69,25,52,3,6,0.5476190476190477,11,2015-16,MIN,20.652173913043477,15,58
60,,Karl-Anthony Towns,1626157,90,197,192,50,219,0.6578947368421053,25,2,25,"Karl-Anthony Towns, Ricky Rubio, Shabazz Muhammad, Zach LaVine, Andrew Wiggins",234,62,107,13,37,0.6256684491978609,95,2015-16,MIN,19.03553299492386,27,144
65,,Ricky Rubio,201937,25,50,52,15,46,0.625,4,3,10,"Ricky Rubio, Nemanja Bjelica, Gorgui Dieng, Zach LaVine, Andrew Wiggins",51,12,31,3,11,0.49038461538461536,20,2015-16,MIN,22.5,7,42
70,,Nemanja Bjelica,202357,144,297,294,25,296,0.36764705882352944,8,24,4,"Nemanja Bjelica, Gorgui Dieng, Shabazz Muhammad, Zach LaVine, Kevin Martin",294,79,170,19,65,0.5309090909090909,93,2015-16,MIN,6.313131313131313,32,235
75,,Karl-Anthony Towns,1626157,60,134,132,25,155,0.5,19,1,10,"Karl-Anthony Towns, Ricky Rubio, Zach LaVine, Andrew Wiggins, Tayshaun Prince",139,38,78,5,23,0.5348837209302325,61,2015-16,MIN,13.992537313432836,20,101
80,,Tyus Jones,1626145,22,43,42,8,50,0.6666666666666666,6,0,0,"Tyus Jones, Karl-Anthony Towns, Nemanja Bjelica, Shabazz Muhammad, Zach LaVine",45,17,29,2,9,0.5625,6,2015-16,MIN,13.953488372093023,6,38
85,,Karl-Anthony Towns,1626157,276,520,522,163,503,0.5506756756756757,130,7,27,"Karl-Anthony Towns, Ricky Rubio, Andrew Wiggins, Tayshaun Prince, Kevin Garnett",546,201,407,17,57,0.5270793036750484,120,2015-16,MIN,23.509615384615383,137,464
90,,Karl-Anthony Towns,1626157,24,47,49,18,60,0.6428571428571429,13,1,1,"Karl-Anthony Towns, Ricky Rubio, Shabazz Muhammad, Andrew Wiggins, Tayshaun Prince",42,15,37,2,8,0.4375,7,2015-16,MIN,28.72340425531915,14,45
95,,Gorgui Dieng,203476,47,86,93,11,99,0.6111111111111112,7,0,4,"Gorgui Dieng, Shabazz Muhammad, Zach LaVine, Adreian Payne, Kevin Martin",95,30,62,5,15,0.5402298850574713,24,2015-16,MIN,9.593023255813954,7,77
100,,Karl-Anthony Towns,1626157,67,134,128,44,106,0.6111111111111112,34,0,7,"Karl-Anthony Towns, Ricky Rubio, Nemanja Bjelica, Andrew Wiggins, Tayshaun Prince",136,47,102,1,14,0.5037037037037037,50,2015-16,MIN,24.62686567164179,34,116
105,,Karl-Anthony Towns,1626157,27,49,52,21,52,0.7,15,0,1,"Karl-Anthony Towns, Ricky Rubio, Adreian Payne, Andrew Wiggins, Tayshaun Prince",47,20,37,0,5,0.5108695652173914,9,2015-16,MIN,32.142857142857146,15,42
110,,Tyus Jones,1626145,22,43,42,5,34,0.5,3,1,2,"Tyus Jones, Karl-Anthony Towns, Gorgui Dieng, Zach LaVine, Andrew Wiggins",55,22,34,0,4,0.6395348837209303,12,2015-16,MIN,8.720930232558139,4,38
115,,Karl-Anthony Towns,1626157,27,59,57,14,66,0.5384615384615384,12,0,2,"Karl-Anthony Towns, Nemanja Bjelica, Shabazz Muhammad, Zach LaVine, Andrew Wiggins",56,20,43,1,7,0.4827586206896552,16,2015-16,MIN,17.796610169491526,12,50
