,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
0,Kevin Durant,201142,89,178,179,62,217,0.6224489795918368,26,10,30,"Kevin Durant, Russell Westbrook, Serge Ibaka, James Harden, Kendrick Perkins",209,56,123,11,30,0.5564516129032258,74,2010-11,OKC,26.123595505617978,36,153
1,Russell Westbrook,201566,89,178,179,71,217,0.4605263157894737,55,9,27,"Kevin Durant, Russell Westbrook, Serge Ibaka, James Harden, Kendrick Perkins",209,56,123,11,30,0.5564516129032258,74,2010-11,OKC,29.915730337078653,64,153
2,Serge Ibaka,201586,89,178,179,28,217,0.6363636363636364,18,0,9,"Kevin Durant, Russell Westbrook, Serge Ibaka, James Harden, Kendrick Perkins",209,56,123,11,30,0.5564516129032258,74,2010-11,OKC,11.797752808988765,18,153
3,James Harden,201935,89,178,179,28,217,0.7,8,11,2,"Kevin Durant, Russell Westbrook, Serge Ibaka, James Harden, Kendrick Perkins",209,56,123,11,30,0.5564516129032258,74,2010-11,OKC,11.797752808988765,19,153
4,Kendrick Perkins,2570,89,178,179,20,217,0.5263157894736842,16,0,6,"Kevin Durant, Russell Westbrook, Serge Ibaka, James Harden, Kendrick Perkins",209,56,123,11,30,0.5564516129032258,74,2010-11,OKC,8.426966292134832,16,153
5,Thabo Sefolosha,200757,229,422,421,44,417,0.46808510638297873,26,17,8,"Thabo Sefolosha, Kevin Durant, Russell Westbrook, Serge Ibaka, Kendrick Perkins",382,130,303,16,62,0.4680589680589681,89,2010-11,OKC,7.819905213270142,43,365
6,Kevin Durant,201142,229,422,421,129,417,0.49612403100775193,84,31,31,"Thabo Sefolosha, Kevin Durant, Russell Westbrook, Serge Ibaka, Kendrick Perkins",382,130,303,16,62,0.4680589680589681,89,2010-11,OKC,22.92654028436019,115,365
7,Russell Westbrook,201566,229,422,421,120,417,0.5042016806722689,90,14,31,"Thabo Sefolosha, Kevin Durant, Russell Westbrook, Serge Ibaka, Kendrick Perkins",382,130,303,16,62,0.4680589680589681,89,2010-11,OKC,21.327014218009477,104,365
8,Serge Ibaka,201586,229,422,421,56,417,0.3684210526315789,70,0,12,"Thabo Sefolosha, Kevin Durant, Russell Westbrook, Serge Ibaka, Kendrick Perkins",382,130,303,16,62,0.4680589680589681,89,2010-11,OKC,9.95260663507109,70,365
9,Kendrick Perkins,2570,229,422,421,33,417,0.4583333333333333,33,0,7,"Thabo Sefolosha, Kevin Durant, Russell Westbrook, Serge Ibaka, Kendrick Perkins",382,130,303,16,62,0.4680589680589681,89,2010-11,OKC,5.8649289099526065,33,365
