,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
0,Thabo Sefolosha,200757,7,16,16,4,15,1.0,2,0,0,"Thabo Sefolosha, Russell Westbrook, DJ White, James Harden, Nick Collison",15,5,14,0,0,0.4411764705882353,6,2010-11,OKC,18.75,2,14
1,Russell Westbrook,201566,7,16,16,6,15,0.6,4,0,2,"Thabo Sefolosha, Russell Westbrook, DJ White, James Harden, Nick Collison",15,5,14,0,0,0.4411764705882353,6,2010-11,OKC,28.125,4,14
2,DJ White,201591,7,16,16,0,15,0.0,3,0,0,"Thabo Sefolosha, Russell Westbrook, DJ White, James Harden, Nick Collison",15,5,14,0,0,0.4411764705882353,6,2010-11,OKC,0.0,3,14
3,James Harden,201935,7,16,16,1,15,0.16666666666666666,2,0,2,"Thabo Sefolosha, Russell Westbrook, DJ White, James Harden, Nick Collison",15,5,14,0,0,0.4411764705882353,6,2010-11,OKC,4.6875,2,14
4,Nick Collison,2555,7,16,16,4,15,0.5,3,0,2,"Thabo Sefolosha, Russell Westbrook, DJ White, James Harden, Nick Collison",15,5,14,0,0,0.4411764705882353,6,2010-11,OKC,18.75,3,14
5,Kevin Durant,201142,4,5,6,4,10,0.6666666666666666,3,0,0,"Kevin Durant, James Harden, Eric Maynor, Cole Aldrich, Nenad Krstic",4,2,6,0,1,0.2857142857142857,0,2010-11,OKC,60.0,3,7
6,James Harden,201935,4,5,6,0,10,0.0,0,0,0,"Kevin Durant, James Harden, Eric Maynor, Cole Aldrich, Nenad Krstic",4,2,6,0,1,0.2857142857142857,0,2010-11,OKC,0.0,0,7
7,Eric Maynor,201953,4,5,6,0,10,0.0,1,1,0,"Kevin Durant, James Harden, Eric Maynor, Cole Aldrich, Nenad Krstic",4,2,6,0,1,0.2857142857142857,0,2010-11,OKC,0.0,2,7
8,Cole Aldrich,202332,4,5,6,0,10,0.0,1,0,0,"Kevin Durant, James Harden, Eric Maynor, Cole Aldrich, Nenad Krstic",4,2,6,0,1,0.2857142857142857,0,2010-11,OKC,0.0,1,7
9,Nenad Krstic,2420,4,5,6,0,10,0.0,1,0,0,"Kevin Durant, James Harden, Eric Maynor, Cole Aldrich, Nenad Krstic",4,2,6,0,1,0.2857142857142857,0,2010-11,OKC,0.0,1,7
10,Jeff Green,201145,2,4,4,0,5,0.0,1,0,0,"Jeff Green, Daequan Cook, Russell Westbrook, James Harden, Nick Collison",2,1,3,0,1,0.25,0,2010-11,OKC,0.0,1,4
11,Daequan Cook,201161,2,4,4,0,5,0.0,0,1,0,"Jeff Green, Daequan Cook, Russell Westbrook, James Harden, Nick Collison",2,1,3,0,1,0.25,0,2010-11,OKC,0.0,1,4
12,Russell Westbrook,201566,2,4,4,0,5,0.0,0,0,0,"Jeff Green, Daequan Cook, Russell Westbrook, James Harden, Nick Collison",2,1,3,0,1,0.25,0,2010-11,OKC,0.0,0,4
13,James Harden,201935,2,4,4,0,5,0.0,0,0,0,"Jeff Green, Daequan Cook, Russell Westbrook, James Harden, Nick Collison",2,1,3,0,1,0.25,0,2010-11,OKC,0.0,0,4
14,Nick Collison,2555,2,4,4,2,5,0.5,2,0,0,"Jeff Green, Daequan Cook, Russell Westbrook, James Harden, Nick Collison",2,1,3,0,1,0.25,0,2010-11,OKC,37.5,2,4
15,Daequan Cook,201161,13,23,22,3,24,0.3,0,5,0,"Daequan Cook, James Harden, Eric Maynor, Cole Aldrich, Royal Ivey",19,2,8,5,16,0.3958333333333333,0,2010-11,OKC,9.782608695652174,5,24
16,James Harden,201935,13,23,22,8,24,0.4444444444444444,3,6,0,"Daequan Cook, James Harden, Eric Maynor, Cole Aldrich, Royal Ivey",19,2,8,5,16,0.3958333333333333,0,2010-11,OKC,26.08695652173913,9,24
17,Eric Maynor,201953,13,23,22,3,24,0.3,3,2,0,"Daequan Cook, James Harden, Eric Maynor, Cole Aldrich, Royal Ivey",19,2,8,5,16,0.3958333333333333,0,2010-11,OKC,9.782608695652174,5,24
18,Cole Aldrich,202332,13,23,22,2,24,1.0,1,0,0,"Daequan Cook, James Harden, Eric Maynor, Cole Aldrich, Royal Ivey",19,2,8,5,16,0.3958333333333333,0,2010-11,OKC,6.521739130434782,1,24
19,Royal Ivey,2767,13,23,22,3,24,0.375,1,3,0,"Daequan Cook, James Harden, Eric Maynor, Cole Aldrich, Royal Ivey",19,2,8,5,16,0.3958333333333333,0,2010-11,OKC,9.782608695652174,4,24
20,Kevin Durant,201142,90,172,173,68,178,0.62,29,11,28,"Kevin Durant, Russell Westbrook, Serge Ibaka, James Harden, Kendrick Perkins",192,46,105,10,27,0.5502958579881657,84,2010-11,OKC,29.651162790697676,40,132
21,Russell Westbrook,201566,90,172,173,46,178,0.4423076923076923,34,6,25,"Kevin Durant, Russell Westbrook, Serge Ibaka, James Harden, Kendrick Perkins",192,46,105,10,27,0.5502958579881657,84,2010-11,OKC,20.058139534883722,40,132
22,Serge Ibaka,201586,90,172,173,36,178,0.6,23,0,14,"Kevin Durant, Russell Westbrook, Serge Ibaka, James Harden, Kendrick Perkins",192,46,105,10,27,0.5502958579881657,84,2010-11,OKC,15.69767441860465,23,132
23,James Harden,201935,90,172,173,24,178,0.6,9,10,3,"Kevin Durant, Russell Westbrook, Serge Ibaka, James Harden, Kendrick Perkins",192,46,105,10,27,0.5502958579881657,84,2010-11,OKC,10.465116279069768,19,132
24,Kendrick Perkins,2570,90,172,173,18,178,0.5294117647058824,10,0,14,"Kevin Durant, Russell Westbrook, Serge Ibaka, James Harden, Kendrick Perkins",192,46,105,10,27,0.5502958579881657,84,2010-11,OKC,7.848837209302325,10,132
25,Thabo Sefolosha,200757,3,7,6,0,5,0.0,0,0,0,"Thabo Sefolosha, Kevin Durant, Jeff Green, James Harden, Eric Maynor",6,1,3,1,2,0.5,2,2010-11,OKC,0.0,0,5
26,Kevin Durant,201142,3,7,6,2,5,0.5,2,0,0,"Thabo Sefolosha, Kevin Durant, Jeff Green, James Harden, Eric Maynor",6,1,3,1,2,0.5,2,2010-11,OKC,21.428571428571427,2,5
27,Jeff Green,201145,3,7,6,0,5,0.0,0,1,0,"Thabo Sefolosha, Kevin Durant, Jeff Green, James Harden, Eric Maynor",6,1,3,1,2,0.5,2,2010-11,OKC,0.0,1,5
28,James Harden,201935,3,7,6,3,5,1.5,0,1,0,"Thabo Sefolosha, Kevin Durant, Jeff Green, James Harden, Eric Maynor",6,1,3,1,2,0.5,2,2010-11,OKC,32.142857142857146,1,5
