,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
0,Jonas Jerebko,201973,4,9,8,2,9,1.0,1,0,0,"Jonas Jerebko, Ekpe Udoh, Alec Burks, Raul Neto, David Stockton",10,4,5,0,2,0.625,2,2017-18,UTA,16.666666666666668,1,7
1,Ekpe Udoh,202327,4,9,8,0,9,0.0,0,0,0,"Jonas Jerebko, Ekpe Udoh, Alec Burks, Raul Neto, David Stockton",10,4,5,0,2,0.625,2,2017-18,UTA,0.0,0,7
2,Alec Burks,202692,4,9,8,4,9,0.6666666666666666,2,1,0,"Jonas Jerebko, Ekpe Udoh, Alec Burks, Raul Neto, David Stockton",10,4,5,0,2,0.625,2,2017-18,UTA,33.333333333333336,3,7
3,Raul Neto,203526,4,9,8,2,9,1.0,0,0,2,"Jonas Jerebko, Ekpe Udoh, Alec Burks, Raul Neto, David Stockton",10,4,5,0,2,0.625,2,2017-18,UTA,16.666666666666668,0,7
4,David Stockton,204065,4,9,8,2,9,0.3333333333333333,2,1,0,"Jonas Jerebko, Ekpe Udoh, Alec Burks, Raul Neto, David Stockton",10,4,5,0,2,0.625,2,2017-18,UTA,16.666666666666668,3,7
5,Donovan Mitchell,1628378,2,5,5,0,11,0.0,1,0,0,"Donovan Mitchell, Derrick Favors, Rudy Gobert, Dante Exum, Joe Ingles",2,0,1,0,1,0.3333333333333333,2,2017-18,UTA,0.0,1,2
6,Derrick Favors,202324,2,5,5,0,11,0.0,0,0,0,"Donovan Mitchell, Derrick Favors, Rudy Gobert, Dante Exum, Joe Ingles",2,0,1,0,1,0.3333333333333333,2,2017-18,UTA,0.0,0,2
7,Rudy Gobert,203497,2,5,5,2,11,1.0,0,0,2,"Donovan Mitchell, Derrick Favors, Rudy Gobert, Dante Exum, Joe Ingles",2,0,1,0,1,0.3333333333333333,2,2017-18,UTA,30.0,0,2
8,Dante Exum,203957,2,5,5,0,11,0.0,0,1,0,"Donovan Mitchell, Derrick Favors, Rudy Gobert, Dante Exum, Joe Ingles",2,0,1,0,1,0.3333333333333333,2,2017-18,UTA,0.0,1,2
9,Joe Ingles,204060,2,5,5,0,11,0.0,0,0,0,"Donovan Mitchell, Derrick Favors, Rudy Gobert, Dante Exum, Joe Ingles",2,0,1,0,1,0.3333333333333333,2,2017-18,UTA,0.0,0,2
10,Royce O'Neale,1626220,10,19,18,14,12,1.1666666666666667,4,2,0,"Royce O'Neale, Donovan Mitchell, Jonas Jerebko, Rudy Gobert, Joe Ingles",18,5,7,2,8,0.5625,2,2017-18,UTA,55.26315789473684,6,15
11,Donovan Mitchell,1628378,10,19,18,2,12,0.16666666666666666,3,3,0,"Royce O'Neale, Donovan Mitchell, Jonas Jerebko, Rudy Gobert, Joe Ingles",18,5,7,2,8,0.5625,2,2017-18,UTA,7.894736842105263,6,15
12,Jonas Jerebko,201973,10,19,18,2,12,1.0,0,0,2,"Royce O'Neale, Donovan Mitchell, Jonas Jerebko, Rudy Gobert, Joe Ingles",18,5,7,2,8,0.5625,2,2017-18,UTA,7.894736842105263,0,15
13,Rudy Gobert,203497,10,19,18,0,12,0.0,0,0,0,"Royce O'Neale, Donovan Mitchell, Jonas Jerebko, Rudy Gobert, Joe Ingles",18,5,7,2,8,0.5625,2,2017-18,UTA,0.0,0,15
14,Joe Ingles,204060,10,19,18,0,12,0.0,0,3,0,"Royce O'Neale, Donovan Mitchell, Jonas Jerebko, Rudy Gobert, Joe Ingles",18,5,7,2,8,0.5625,2,2017-18,UTA,0.0,3,15
15,Royce O'Neale,1626220,9,17,20,6,17,1.0,3,0,0,"Royce O'Neale, Donovan Mitchell, Derrick Favors, Jae Crowder, Joe Ingles",22,6,9,3,8,0.6111111111111112,2,2017-18,UTA,26.470588235294116,3,17
16,Donovan Mitchell,1628378,9,17,20,9,17,0.5625,4,4,0,"Royce O'Neale, Donovan Mitchell, Derrick Favors, Jae Crowder, Joe Ingles",22,6,9,3,8,0.6111111111111112,2,2017-18,UTA,39.705882352941174,8,17
17,Derrick Favors,202324,9,17,20,0,17,0.0,0,0,0,"Royce O'Neale, Donovan Mitchell, Derrick Favors, Jae Crowder, Joe Ingles",22,6,9,3,8,0.6111111111111112,2,2017-18,UTA,0.0,0,17
18,Jae Crowder,203109,9,17,20,0,17,0.0,1,2,0,"Royce O'Neale, Donovan Mitchell, Derrick Favors, Jae Crowder, Joe Ingles",22,6,9,3,8,0.6111111111111112,2,2017-18,UTA,0.0,3,17
19,Joe Ingles,204060,9,17,20,7,17,0.875,1,2,2,"Royce O'Neale, Donovan Mitchell, Derrick Favors, Jae Crowder, Joe Ingles",22,6,9,3,8,0.6111111111111112,2,2017-18,UTA,30.88235294117647,3,17
20,Donovan Mitchell,1628378,18,39,36,14,40,0.6363636363636364,6,5,0,"Donovan Mitchell, Ricky Rubio, Derrick Favors, Jae Crowder, Rudy Gobert",39,13,20,3,10,0.609375,4,2017-18,UTA,26.923076923076923,11,30
21,Ricky Rubio,201937,18,39,36,7,40,0.4375,5,3,0,"Donovan Mitchell, Ricky Rubio, Derrick Favors, Jae Crowder, Rudy Gobert",39,13,20,3,10,0.609375,4,2017-18,UTA,13.461538461538462,8,30
22,Derrick Favors,202324,18,39,36,14,40,0.7777777777777778,7,1,2,"Donovan Mitchell, Ricky Rubio, Derrick Favors, Jae Crowder, Rudy Gobert",39,13,20,3,10,0.609375,4,2017-18,UTA,26.923076923076923,8,30
23,Jae Crowder,203109,18,39,36,0,40,0.0,1,1,0,"Donovan Mitchell, Ricky Rubio, Derrick Favors, Jae Crowder, Rudy Gobert",39,13,20,3,10,0.609375,4,2017-18,UTA,0.0,2,30
24,Rudy Gobert,203497,18,39,36,4,40,1.0,1,0,2,"Donovan Mitchell, Ricky Rubio, Derrick Favors, Jae Crowder, Rudy Gobert",39,13,20,3,10,0.609375,4,2017-18,UTA,7.6923076923076925,1,30
25,Donovan Mitchell,1628378,3,5,6,5,1,0.625,1,1,4,"Donovan Mitchell, Jonas Jerebko, Derrick Favors, Dante Exum, Joe Ingles",8,2,2,0,1,0.6666666666666666,6,2017-18,UTA,75.0,2,3
26,Jonas Jerebko,201973,3,5,6,2,1,1.0,1,0,0,"Donovan Mitchell, Jonas Jerebko, Derrick Favors, Dante Exum, Joe Ingles",8,2,2,0,1,0.6666666666666666,6,2017-18,UTA,30.0,1,3
27,Derrick Favors,202324,3,5,6,1,1,0.5,0,0,2,"Donovan Mitchell, Jonas Jerebko, Derrick Favors, Dante Exum, Joe Ingles",8,2,2,0,1,0.6666666666666666,6,2017-18,UTA,15.0,0,3
28,Dante Exum,203957,3,5,6,0,1,0.0,0,0,0,"Donovan Mitchell, Jonas Jerebko, Derrick Favors, Dante Exum, Joe Ingles",8,2,2,0,1,0.6666666666666666,6,2017-18,UTA,0.0,0,3
29,Joe Ingles,204060,3,5,6,0,1,0.0,0,0,0,"Donovan Mitchell, Jonas Jerebko, Derrick Favors, Dante Exum, Joe Ingles",8,2,2,0,1,0.6666666666666666,6,2017-18,UTA,0.0,0,3
30,Donovan Mitchell,1628378,13,24,25,13,28,0.5909090909090909,7,3,2,"Donovan Mitchell, Derrick Favors, Jae Crowder, Rudy Gobert, Joe Ingles",31,8,17,4,7,0.5344827586206896,9,2017-18,UTA,40.625,10,24
31,Derrick Favors,202324,13,24,25,3,28,0.25,2,1,6,"Donovan Mitchell, Derrick Favors, Jae Crowder, Rudy Gobert, Joe Ingles",31,8,17,4,7,0.5344827586206896,9,2017-18,UTA,9.375,3,24
32,Jae Crowder,203109,13,24,25,2,28,0.3333333333333333,3,0,0,"Donovan Mitchell, Derrick Favors, Jae Crowder, Rudy Gobert, Joe Ingles",31,8,17,4,7,0.5344827586206896,9,2017-18,UTA,6.25,3,24
33,Rudy Gobert,203497,13,24,25,4,28,0.6666666666666666,2,0,1,"Donovan Mitchell, Derrick Favors, Jae Crowder, Rudy Gobert, Joe Ingles",31,8,17,4,7,0.5344827586206896,9,2017-18,UTA,12.5,2,24
34,Joe Ingles,204060,13,24,25,9,28,0.75,3,3,0,"Donovan Mitchell, Derrick Favors, Jae Crowder, Rudy Gobert, Joe Ingles",31,8,17,4,7,0.5344827586206896,9,2017-18,UTA,28.125,6,24
35,Royce O'Neale,1626220,2,4,5,0,13,0.0,0,1,0,"Royce O'Neale, Donovan Mitchell, Alec Burks, Rudy Gobert, Raul Neto",7,2,2,1,3,0.7,0,2017-18,UTA,0.0,1,5
36,Donovan Mitchell,1628378,2,4,5,5,13,1.25,1,1,0,"Royce O'Neale, Donovan Mitchell, Alec Burks, Rudy Gobert, Raul Neto",7,2,2,1,3,0.7,0,2017-18,UTA,93.75,2,5
37,Alec Burks,202692,2,4,5,0,13,0.0,0,0,0,"Royce O'Neale, Donovan Mitchell, Alec Burks, Rudy Gobert, Raul Neto",7,2,2,1,3,0.7,0,2017-18,UTA,0.0,0,5
