,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
0,Royce O'Neale,1626220,7,13,14,0,15,0.0,0,0,0,"Royce O'Neale, Rudy Gobert, Raul Neto, Rodney Hood, Joe Johnson",16,4,6,2,3,0.8,2,2017-18,UTA,0.0,0,9
1,Rudy Gobert,203497,7,13,14,2,15,1.0,0,0,2,"Royce O'Neale, Rudy Gobert, Raul Neto, Rodney Hood, Joe Johnson",16,4,6,2,3,0.8,2,2017-18,UTA,11.538461538461538,0,9
2,Raul Neto,203526,7,13,14,3,15,0.75,1,1,0,"Royce O'Neale, Rudy Gobert, Raul Neto, Rodney Hood, Joe Johnson",16,4,6,2,3,0.8,2,2017-18,UTA,17.307692307692307,2,9
3,Rodney Hood,203918,7,13,14,6,15,0.75,3,1,0,"Royce O'Neale, Rudy Gobert, Raul Neto, Rodney Hood, Joe Johnson",16,4,6,2,3,0.8,2,2017-18,UTA,34.61538461538461,4,9
4,Joe Johnson,2207,7,13,14,5,15,0.8333333333333334,2,1,0,"Royce O'Neale, Rudy Gobert, Raul Neto, Rodney Hood, Joe Johnson",16,4,6,2,3,0.8,2,2017-18,UTA,28.846153846153847,3,9
5,Donovan Mitchell,1628378,15,29,26,21,37,0.9090909090909091,8,1,5,"Donovan Mitchell, Ekpe Udoh, Rodney Hood, Joe Ingles, Joe Johnson",38,12,19,3,9,0.6166666666666667,6,2017-18,UTA,54.310344827586206,9,28
6,Ekpe Udoh,202327,15,29,26,5,37,0.625,4,0,1,"Donovan Mitchell, Ekpe Udoh, Rodney Hood, Joe Ingles, Joe Johnson",38,12,19,3,9,0.6166666666666667,6,2017-18,UTA,12.931034482758621,4,28
7,Rodney Hood,203918,15,29,26,3,37,0.21428571428571427,2,5,0,"Donovan Mitchell, Ekpe Udoh, Rodney Hood, Joe Ingles, Joe Johnson",38,12,19,3,9,0.6166666666666667,6,2017-18,UTA,7.758620689655173,7,28
8,Joe Ingles,204060,15,29,26,5,37,1.25,1,1,0,"Donovan Mitchell, Ekpe Udoh, Rodney Hood, Joe Ingles, Joe Johnson",38,12,19,3,9,0.6166666666666667,6,2017-18,UTA,12.931034482758621,2,28
9,Joe Johnson,2207,15,29,26,4,37,0.3333333333333333,4,2,0,"Donovan Mitchell, Ekpe Udoh, Rodney Hood, Joe Ingles, Joe Johnson",38,12,19,3,9,0.6166666666666667,6,2017-18,UTA,10.344827586206897,6,28
10,Royce O'Neale,1626220,3,6,7,0,10,0.0,0,1,0,"Royce O'Neale, Derrick Favors, Jae Crowder, Raul Neto, Joe Ingles",7,3,4,0,2,0.5833333333333334,1,2017-18,UTA,0.0,1,6
