SEASON_ID,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,GAME_TYPE,SEASON,Opponent,At Home,Win,Opponent PTS,Opponent FGM,Opponent FGA,Opponent FG_PCT,Opponent FG3M,Opponent FG3A,Opponent FG3_PCT,Opponent FTM,Opponent FTA,Opponent FT_PCT,Opponent OREB,Opponent DREB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent Win
42012,SAS,0041200407,2013-06-20,SAS @ MIA,88,31,82,0.378,6,19,0.316,20,22,0.909,12,31,43,13,12,3,14,19,4,2012-13,MIA,0,0,95,36,82,0.439,12,32,0.375,11,16,0.688,11,32,14,8,4,16,19,1
42012,MIA,0041200407,2013-06-20,MIA vs. SAS,95,36,82,0.439,12,32,0.375,11,16,0.688,11,32,43,14,8,4,16,19,4,2012-13,SAS,1,1,88,31,82,0.378,6,19,0.316,20,22,0.909,12,31,13,12,3,14,19,0
42012,MIA,0041200406,2013-06-18,MIA vs. SAS,103,38,81,0.469,11,19,0.579,16,21,0.762,12,30,42,23,10,6,15,26,4,2012-13,SAS,1,1,100,37,85,0.435,5,18,0.278,21,28,0.75,12,33,13,8,2,13,21,0
42012,SAS,0041200406,2013-06-18,SAS @ MIA,100,37,85,0.435,5,18,0.278,21,28,0.75,12,33,45,13,8,2,13,21,4,2012-13,MIA,0,0,103,38,81,0.469,11,19,0.579,16,21,0.762,12,30,23,10,6,15,26,1
42012,SAS,0041200405,2013-06-16,SAS vs. MIA,114,42,70,0.6,9,22,0.409,21,26,0.808,5,31,36,21,5,8,18,21,4,2012-13,MIA,1,1,104,37,86,0.43,11,23,0.478,19,23,0.826,12,22,25,8,3,13,24,0
42012,MIA,0041200405,2013-06-16,MIA @ SAS,104,37,86,0.43,11,23,0.478,19,23,0.826,12,22,34,25,8,3,13,24,4,2012-13,SAS,0,0,114,42,70,0.6,9,22,0.409,21,26,0.808,5,31,21,5,8,18,21,1
42012,MIA,0041200404,2013-06-13,MIA @ SAS,109,45,85,0.529,4,12,0.333,15,17,0.882,7,34,41,23,13,7,9,26,4,2012-13,SAS,0,1,93,31,70,0.443,8,16,0.5,23,31,0.742,5,31,21,5,4,18,18,0
42012,SAS,0041200404,2013-06-13,SAS vs. MIA,93,31,70,0.443,8,16,0.5,23,31,0.742,5,31,36,21,5,4,18,18,4,2012-13,MIA,1,0,109,45,85,0.529,4,12,0.333,15,17,0.882,7,34,23,13,7,9,26,1
42012,MIA,0041200403,2013-06-11,MIA @ SAS,77,31,76,0.408,8,18,0.444,7,10,0.7,9,27,36,21,9,8,16,21,4,2012-13,SAS,0,0,113,43,88,0.489,16,32,0.5,11,19,0.579,19,33,29,10,4,12,13,1
42012,SAS,0041200403,2013-06-11,SAS vs. MIA,113,43,88,0.489,16,32,0.5,11,19,0.579,19,33,52,29,10,4,12,13,4,2012-13,MIA,1,1,77,31,76,0.408,8,18,0.444,7,10,0.7,9,27,21,9,8,16,21,0
42012,MIA,0041200402,2013-06-09,MIA vs. SAS,103,41,83,0.494,10,19,0.526,11,14,0.786,9,27,36,22,9,6,6,17,4,2012-13,SAS,1,1,84,32,78,0.41,10,20,0.5,10,14,0.714,15,29,16,3,4,16,14,0
42012,SAS,0041200402,2013-06-09,SAS @ MIA,84,32,78,0.41,10,20,0.5,10,14,0.714,15,29,44,16,3,4,16,14,4,2012-13,MIA,0,0,103,41,83,0.494,10,19,0.526,11,14,0.786,9,27,22,9,6,6,17,1
42012,MIA,0041200401,2013-06-06,MIA vs. SAS,88,34,78,0.436,8,25,0.32,12,17,0.706,9,37,46,20,4,2,8,12,4,2012-13,SAS,1,0,92,35,84,0.417,7,23,0.304,15,18,0.833,6,31,16,6,5,4,12,1
42012,SAS,0041200401,2013-06-06,SAS @ MIA,92,35,84,0.417,7,23,0.304,15,18,0.833,6,31,37,16,6,5,4,12,4,2012-13,MIA,0,1,88,34,78,0.436,8,25,0.32,12,17,0.706,9,37,20,4,2,8,12,0
42012,IND,0041200307,2013-06-03,IND @ MIA,76,28,69,0.406,6,20,0.3,14,20,0.7,8,29,37,14,3,3,21,28,4,2012-13,MIA,0,0,99,30,77,0.39,6,16,0.375,33,38,0.868,15,28,14,11,5,10,22,1
42012,MIA,0041200307,2013-06-03,MIA vs. IND,99,30,77,0.39,6,16,0.375,33,38,0.868,15,28,43,14,11,5,10,22,4,2012-13,IND,1,1,76,28,69,0.406,6,20,0.3,14,20,0.7,8,29,14,3,3,21,28,0
42012,IND,0041200306,2013-06-01,IND vs. MIA,91,37,74,0.5,6,11,0.545,11,18,0.611,15,38,53,19,5,3,18,19,4,2012-13,MIA,1,1,77,26,72,0.361,10,18,0.556,15,19,0.789,9,24,10,10,6,13,21,0
42012,MIA,0041200306,2013-06-01,MIA @ IND,77,26,72,0.361,10,18,0.556,15,19,0.789,9,24,33,10,10,6,13,21,4,2012-13,IND,0,0,91,37,74,0.5,6,11,0.545,11,18,0.611,15,38,19,5,3,18,19,1
42012,IND,0041200305,2013-05-30,IND @ MIA,79,31,69,0.449,5,13,0.385,12,15,0.8,6,27,33,11,6,5,17,19,4,2012-13,MIA,0,0,90,38,75,0.507,7,18,0.389,7,12,0.583,6,26,19,6,7,10,11,1
42012,MIA,0041200305,2013-05-30,MIA vs. IND,90,38,75,0.507,7,18,0.389,7,12,0.583,6,26,32,19,6,7,10,11,4,2012-13,IND,1,1,79,31,69,0.449,5,13,0.385,12,15,0.8,6,27,11,6,5,17,19,0
